State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,House Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
51.0,10.0,1.0,First call,50-59,White,Male,Geringer,Cubin,Disapprove,Approve,,No,No,No,Worse,Dole,Republican,30 to 50K,Conservative,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.626
51.0,10.0,2.0,First call,30-39,White,Female,,Farris,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Perot,Democrat,30 to 50K,Liberal,18 to 64,State,South,30 to 44,30 to 39,Democrat,30 to 39,0.463
51.0,10.0,3.0,First call,45-49,White,Female,Vinich,Farris,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Independent/Other,40 to 49,0.449
51.0,10.0,4.0,First call,40-44,White,Female,Geringer,Farris,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,15 to 30K,Liberal,18 to 64,State,South,30 to 44,40 to 49,Democrat,40 to 49,0.46499999999999997
51.0,10.0,5.0,First call,30-39,White,Male,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Dole,Republican,50 to 75K,Moderate,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.626
51.0,10.0,6.0,First call,40-44,White,Male,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.626
51.0,10.0,7.0,First call,30-39,White,Female,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Moderate,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.5589999999999999
51.0,10.0,8.0,First call,40-44,White,Male,Vinich,Farris,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Democrat,40 to 49,0.502
51.0,10.0,9.0,First call,45-49,White,Male,Vinich,Farris,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Democrat,40 to 49,0.502
51.0,10.0,10.0,First call,30-39,White,Female,Geringer,Cubin,Approve,Approve,Neither,No,No,No,Better,Perot,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.5589999999999999
51.0,10.0,11.0,First call,40-44,White,Male,Geringer,Farris,Disapprove,Disapprove,Neither,Yes,Yes,No,Same,Perot,Democrat,50 to 75K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Democrat,40 to 49,0.521
51.0,10.0,12.0,First call,40-44,White,Male,Geringer,Farris,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,100K or more,Moderate,18 to 64,State,South,30 to 44,40 to 49,Democrat,40 to 49,0.521
51.0,10.0,13.0,First call,,White,Male,Vinich,Farris,Approve,Disapprove,,,,,,Dole,,,,,State,South,,,,,0.502
51.0,10.0,14.0,First call,40-44,White,Female,Other,Cubin,Disapprove,Disapprove,Oppose Clinton,,Yes,,Worse,Dole,Republican,15 to 30K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.641
51.0,10.0,15.0,First call,18-24,White,Female,Vinich,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,30 to 50K,Moderate,18 to 64,State,South,18 to 29,18 to 24,Republican,18 to 24,0.628
51.0,10.0,16.0,First call,50-59,White,Female,Geringer,Cubin,Approve,Disapprove,Neither,No,Yes,No,Same,Perot,Democrat,Under 15K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Democrat,50 to 64,0.5589999999999999
51.0,10.0,17.0,Second call,60-64,White,Female,Geringer,Cubin,Disapprove,Approve,Neither,No,No,Yes,Worse,Dole,Republican,15 to 30K,Conservative,18 to 64,State,South,60 and over,60 and over,Republican,50 to 64,0.6799999999999999
51.0,10.0,18.0,Second call,30-39,White,Female,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,100K or more,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.5589999999999999
51.0,10.0,19.0,Second call,40-44,White,Female,Geringer,Cubin,Approve,Disapprove,Neither,No,No,,Same,Clinton,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.5589999999999999
51.0,10.0,20.0,Second call,30-39,White,Male,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,75 to 100K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.626
51.0,10.0,21.0,Second call,45-49,White,Female,Vinich,Cubin,Approve,Approve,Neither,No,Yes,No,Same,Dole,Republican,75 to 100K,Liberal,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.54
51.0,10.0,22.0,Second call,18-24,White,Male,Geringer,Cubin,Disapprove,Approve,Neither,No,Yes,Yes,Same,Did Not Vote,Republican,75 to 100K,Moderate,18 to 64,State,South,18 to 29,18 to 24,Republican,18 to 24,0.73
51.0,10.0,23.0,Second call,30-39,White,Female,Vinich,Farris,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Clinton,Democrat,100K or more,Moderate,18 to 64,State,South,30 to 44,30 to 39,Democrat,30 to 39,0.449
51.0,10.0,24.0,Second call,40-44,White,Female,Other,Farris,Approve,Disapprove,Neither,No,No,No,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.534
51.0,10.0,25.0,Second call,45-49,White,Female,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.5589999999999999
51.0,10.0,26.0,Second call,18-24,White,Male,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,No,Better,Did Not Vote,Republican,50 to 75K,Conservative,18 to 64,State,South,18 to 29,18 to 24,Republican,18 to 24,0.73
51.0,10.0,27.0,Second call,65 and over,White,Female,Geringer,Cubin,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,15 to 30K,Moderate,65 and over,State,South,60 and over,60 and over,Democrat,65 and over,0.6799999999999999
51.0,10.0,28.0,Second call,65 and over,White,Male,Geringer,Farris,Approve,Approve,Neither,No,No,Yes,Same,Clinton,Republican,15 to 30K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,0.632
51.0,10.0,29.0,Second call,50-59,White,Male,Vinich,Farris,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Democrat,50 to 64,0.502
51.0,10.0,30.0,Second call,50-59,White,Female,Geringer,Cubin,,,Neither,,Yes,Yes,Same,Dole,Democrat,30 to 50K,,18 to 64,State,South,45 to 59,50 to 59,Democrat,50 to 64,0.5589999999999999
51.0,10.0,31.0,Third call,45-49,White,Female,Geringer,Cubin,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.5589999999999999
51.0,10.0,32.0,Third call,40-44,White,Female,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.5589999999999999
51.0,10.0,33.0,Third call,50-59,White,Male,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.626
51.0,10.0,34.0,Third call,45-49,White,Female,Vinich,Farris,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Democrat,40 to 49,0.449
51.0,10.0,35.0,Third call,45-49,White,Female,Vinich,Farris,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Democrat,40 to 49,0.449
51.0,10.0,36.0,Third call,30-39,Asian,Female,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Perot,Republican,30 to 50K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.5589999999999999
51.0,10.0,37.0,Third call,30-39,White,Male,Vinich,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.604
51.0,10.0,38.0,Third call,40-44,White,Female,Geringer,Cubin,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Independent/Other,40 to 49,0.5589999999999999
51.0,10.0,39.0,Third call,40-44,White,Male,Vinich,Farris,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Republican,30 to 50K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.502
51.0,10.0,40.0,Third call,40-44,White,Male,Vinich,Farris,Approve,Disapprove,,No,No,No,Worse,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Democrat,40 to 49,0.502
51.0,10.0,41.0,Third call,40-44,Hispanic,Female,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Perot,Republican,50 to 75K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.388
51.0,10.0,42.0,Third call,40-44,White,Male,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.626
51.0,10.0,43.0,Third call,40-44,White,Male,Vinich,Farris,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Something else,50 to 75K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Independent/Other,40 to 49,0.502
51.0,10.0,44.0,Third call,30-39,White,Male,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Dole,Independent,30 to 50K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Independent/Other,30 to 39,0.626
51.0,10.0,45.0,Third call,30-39,White,Male,Geringer,Cubin,Approve,Disapprove,Neither,No,No,No,Same,Perot,Independent,30 to 50K,Moderate,18 to 64,State,South,30 to 44,30 to 39,Independent/Other,30 to 39,0.626
51.0,10.0,46.0,Third call,50-59,White,Female,Vinich,Farris,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Independent,30 to 50K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.449
51.0,10.0,47.0,Third call,40-44,White,Male,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,30 to 50K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.626
51.0,10.0,48.0,Third call,50-59,White,Male,Geringer,Cubin,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.626
51.0,10.0,49.0,Third call,18-24,White,Male,Geringer,,Disapprove,,Neither,No,,,Same,Dole,Republican,15 to 30K,Conservative,18 to 64,State,South,18 to 29,18 to 24,Republican,18 to 24,0.6799999999999999
51.0,10.0,50.0,Third call,25-29,White,Male,Geringer,Cubin,Approve,Approve,Neither,No,No,No,Better,Perot,Independent,50 to 75K,Moderate,18 to 64,State,South,18 to 29,25 to 29,Independent/Other,25 to 29,0.73
51.0,10.0,51.0,Third call,60-64,White,Female,Vinich,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Independent,50 to 75K,Conservative,18 to 64,State,South,60 and over,60 and over,Independent/Other,50 to 64,0.6549999999999999
