V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39
1.0,0.0,G,6.0,5.0,1.0,First call,1.0,30-39,White,Male,Campbell,Owens,,No,Disapprove,Disapprove,White,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Republican,30 to 39,0.48800000000000004,
1.0,0.0,G,6.0,5.0,2.0,First call,1.0,50-59,White,Female,Lamm,Schoettler,,No,Approve,,White,Neither,No,No,No,Yes,Same,Perot,Democrat,Postgrad,100K or more,Liberal,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Democrat,50 to 64,0.6669999999999999,
1.0,0.0,G,6.0,5.0,3.0,First call,1.0,30-39,Black,Female,Lamm,Schoettler,,No,Approve,Disapprove,Black,Neither,No,No,No,No,Same,Clinton,Independent,College grad,100K or more,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Independent/Other,30 to 39,0.579,
1.0,0.0,G,6.0,5.0,4.0,First call,1.0,30-39,White,Female,Campbell,Owens,,No,Disapprove,Disapprove,White,Oppose Clinton,No,No,Yes,Yes,Better,Dole,Republican,Some college,75 to 100K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Republican,30 to 39,0.501,
1.0,0.0,G,6.0,5.0,5.0,First call,1.0,50-59,White,Female,Campbell,Schoettler,,No,Approve,Disapprove,White,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Democrat,50 to 64,0.611,
1.0,0.0,G,6.0,5.0,6.0,First call,1.0,25-29,White,Male,Campbell,Owens,,No,Approve,Approve,White,Support Clinton,No,No,No,No,Better,Clinton,Republican,College grad,50 to 75K,Conservative,18 to 64,National,Complete,Denver/Boulder,18 to 29,25 to 29,Republican,25 to 29,0.508,
1.0,0.0,G,6.0,5.0,7.0,First call,1.0,60-64,White,Male,Lamm,Schoettler,,No,Disapprove,Disapprove,White,Neither,No,No,Yes,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Liberal,18 to 64,National,Complete,Denver/Boulder,60 and over,60 and over,Democrat,50 to 64,0.947,
1.0,0.0,G,6.0,5.0,8.0,First call,1.0,18-24,White,Female,Lamm,Schoettler,,No,Approve,Disapprove,White,Neither,No,No,No,No,Better,Did not vote,Independent,HS grad,100K or more,Moderate,18 to 64,National,Complete,Denver/Boulder,18 to 29,18 to 24,Independent/Other,18 to 24,0.694,
1.0,0.0,G,6.0,5.0,9.0,First call,1.0,40-44,White,Female,Campbell,Owens,,No,Disapprove,Disapprove,White,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Republican,40 to 49,0.501,
1.0,0.0,G,6.0,5.0,10.0,First call,1.0,50-59,White,Male,Campbell,Owens,,No,Disapprove,,White,,,,,,Better,,Republican,,100K or more,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,11.0,First call,1.0,40-44,White,Male,Campbell,Schoettler,,No,Approve,,White,,,,,,Same,,Republican,,,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Republican,40 to 49,0.595,
1.0,0.0,G,6.0,5.0,12.0,First call,1.0,40-44,White,Male,Campbell,Schoettler,,,Approve,,White,,,,,,,,,,,,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,,40 to 49,0.595,
1.0,0.0,G,6.0,5.0,13.0,First call,1.0,30-39,White,Female,Lamm,Schoettler,,No,Approve,,White,,,,,,Better,,Democrat,,30 to 50K,Liberal,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Democrat,30 to 39,0.6669999999999999,
1.0,0.0,G,6.0,5.0,14.0,First call,1.0,30-39,White,Female,Lamm,Schoettler,,No,Approve,,White,,,,,,Better,,Democrat,,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Democrat,30 to 39,0.6669999999999999,
1.0,0.0,G,6.0,5.0,15.0,First call,1.0,45-49,White,Male,Campbell,Owens,,No,Disapprove,,White,,,,,,Better,,Republican,,100K or more,Conservative,18 to 64,National,Complete,Denver/Boulder,45 to 59,40 to 49,Republican,40 to 49,0.48800000000000004,
1.0,0.0,G,6.0,5.0,16.0,First call,1.0,40-44,White,Male,Lamm,Schoettler,,No,Approve,,White,,,,,,Same,,Independent,,100K or more,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Independent/Other,40 to 49,0.6489999999999999,
1.0,0.0,G,6.0,5.0,17.0,First call,1.0,30-39,Hispanic,Female,Lamm,Schoettler,,Yes,Approve,,Hispanic,,,,,,Worse,,Democrat,,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Democrat,30 to 39,0.579,
1.0,0.0,G,6.0,5.0,18.0,First call,1.0,60-64,White,Female,Campbell,Owens,,No,Disapprove,,White,,,,,,Better,,Republican,,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,60 and over,60 and over,Republican,50 to 64,0.732,
1.0,0.0,G,6.0,5.0,19.0,Second call,1.0,30-39,White,Male,Campbell,Owens,,No,Disapprove,Approve,White,Neither,No,No,No,Yes,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Republican,30 to 39,0.48800000000000004,
1.0,0.0,G,6.0,5.0,20.0,Second call,1.0,30-39,Black,Female,Lamm,Schoettler,,No,Approve,Disapprove,Black,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Democrat,30 to 39,0.579,
1.0,0.0,G,6.0,5.0,21.0,Second call,1.0,45-49,White,Male,Lamm,Schoettler,,No,Approve,Disapprove,White,Neither,No,No,No,No,Worse,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,40 to 49,Democrat,40 to 49,0.6489999999999999,
1.0,0.0,G,6.0,5.0,22.0,Second call,1.0,50-59,White,Male,Campbell,Owens,,,Disapprove,Approve,White,Neither,,,,,,Dole,,,,,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,23.0,Second call,1.0,65 and over,Asian,Male,Campbell,Schoettler,,No,Approve,Disapprove,Asian,Neither,No,No,No,Yes,Better,Clinton,Independent,Postgrad,100K or more,Moderate,65 and over,National,Complete,Denver/Boulder,60 and over,60 and over,Independent/Other,65 and over,0.867,
1.0,0.0,G,6.0,5.0,24.0,Second call,1.0,65 and over,White,Male,Lamm,Schoettler,,No,Approve,Disapprove,White,Neither,No,No,No,Yes,Better,Clinton,Democrat,No HS,30 to 50K,Liberal,65 and over,National,Complete,Denver/Boulder,60 and over,60 and over,Democrat,65 and over,0.947,
1.0,0.0,G,6.0,5.0,25.0,Second call,1.0,50-59,White,Male,Campbell,Owens,,No,Disapprove,Approve,White,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,College grad,100K or more,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,26.0,Second call,1.0,65 and over,White,Female,Campbell,Owens,,No,Disapprove,Approve,White,Neither,No,,,Yes,Same,Clinton,Independent,College grad,50 to 75K,Moderate,65 and over,National,Complete,Denver/Boulder,60 and over,60 and over,Independent/Other,65 and over,0.732,
1.0,0.0,G,6.0,5.0,27.0,Second call,1.0,65 and over,White,Male,Campbell,Owens,,No,Disapprove,,White,,,,,,Better,,Republican,,75 to 100K,Conservative,65 and over,National,Complete,Denver/Boulder,60 and over,60 and over,Republican,65 and over,0.713,
1.0,0.0,G,6.0,5.0,28.0,Second call,1.0,40-44,White,Male,Campbell,Owens,,No,Disapprove,,White,,,,,,Better,,Independent,,30 to 50K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Independent/Other,40 to 49,0.48800000000000004,
1.0,0.0,G,6.0,5.0,29.0,Second call,1.0,50-59,White,Male,Campbell,Owens,,No,Disapprove,,White,,,,,,Same,,Independent,,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Independent/Other,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,30.0,Second call,1.0,50-59,White,Female,Campbell,Owens,,No,Disapprove,,White,,,,,,Same,,Republican,,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.501,
1.0,0.0,G,6.0,5.0,31.0,Second call,1.0,50-59,White,Male,Campbell,Owens,,No,Disapprove,,White,,,,,,Better,,Republican,,100K or more,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,32.0,Second call,1.0,65 and over,White,Female,Lamm,Owens,,No,Approve,,White,,,,,,Same,,Independent,,30 to 50K,Moderate,65 and over,National,Complete,Denver/Boulder,60 and over,60 and over,Independent/Other,65 and over,0.8,
1.0,0.0,G,6.0,5.0,33.0,Second call,1.0,45-49,White,Male,Lamm,Schoettler,,,Approve,,White,,,,,,,,,,,,18 to 64,National,Not complete,Denver/Boulder,45 to 59,40 to 49,,40 to 49,0.6489999999999999,
1.0,0.0,G,6.0,5.0,34.0,Second call,1.0,45-49,White,Female,Campbell,Schoettler,,No,Disapprove,,White,,,,,,Better,,Independent,,100K or more,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,40 to 49,Independent/Other,40 to 49,0.611,
1.0,0.0,G,6.0,5.0,35.0,Third call,1.0,30-39,White,Male,Campbell,Owens,,No,Approve,Disapprove,White,Neither,No,No,Yes,No,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Republican,30 to 39,0.48800000000000004,
1.0,0.0,G,6.0,5.0,36.0,Third call,1.0,18-24,White,Female,Lamm,Schoettler,,No,Approve,Disapprove,White,Neither,No,No,No,No,Same,Did not vote,Independent,Some college,30 to 50K,Moderate,18 to 64,National,Complete,Denver/Boulder,18 to 29,18 to 24,Independent/Other,18 to 24,0.694,
1.0,0.0,G,6.0,5.0,37.0,Third call,1.0,30-39,Hispanic,Female,Lamm,Schoettler,,Yes,Approve,Disapprove,Hispanic,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Democrat,30 to 39,0.579,
1.0,0.0,G,6.0,5.0,38.0,Third call,1.0,45-49,White,Female,Lamm,Schoettler,,No,Approve,,White,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,National,Complete,Denver/Boulder,45 to 59,40 to 49,Democrat,40 to 49,0.6669999999999999,
1.0,0.0,G,6.0,5.0,39.0,Third call,1.0,50-59,White,Male,Campbell,Owens,,No,Approve,Approve,White,Neither,No,No,No,Yes,Better,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,40.0,Third call,1.0,50-59,White,Male,Campbell,Owens,,No,Disapprove,Approve,White,Neither,No,,,,Same,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,41.0,Third call,1.0,45-49,White,Female,Campbell,Owens,,No,Disapprove,Approve,White,Neither,Yes,No,Yes,Yes,Same,Dole,Independent,Postgrad,50 to 75K,Conservative,18 to 64,National,Complete,Denver/Boulder,45 to 59,40 to 49,Independent/Other,40 to 49,0.501,
1.0,0.0,G,6.0,5.0,42.0,Third call,1.0,45-49,White,Male,Campbell,Schoettler,,No,Approve,Disapprove,White,Support Clinton,No,No,No,Yes,Same,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,40 to 49,Independent/Other,40 to 49,0.595,
