V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
1.0,0.0,G,3.0,1.0,1.0,First call,1.0,60-64,Other,Male,Ranger,Johnson,No,Approve,Approve,,Support Clinton,No,No,Yes,Better,Clinton,Democrat,No HS,30 to 50K,Liberal,18 to 64,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,50 to 64,0.91
1.0,0.0,G,3.0,1.0,2.0,First call,1.0,30-39,Other,Female,Ranger,Johnson,No,Disapprove,Approve,,Oppose Clinton,Yes,Yes,Yes,Better,Other,Republican,No HS,Under 15K,Moderate,18 to 64,Yes,State,Complete,Desert area,30 to 44,30 to 39,Republican,30 to 39,0.908
1.0,0.0,G,3.0,1.0,3.0,First call,1.0,25-29,Other,Female,Ranger,Johnson,No,Disapprove,Approve,,Oppose Clinton,Yes,Yes,Yes,Same,Did not vote,Democrat,No HS,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,18 to 29,25 to 29,Democrat,25 to 29,0.899
1.0,0.0,G,3.0,1.0,4.0,First call,1.0,40-44,Other,Female,McCain,Hull,No,Disapprove,Disapprove,,Oppose Clinton,Yes,Yes,Yes,Same,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,No,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,1.015
1.0,0.0,G,3.0,1.0,5.0,First call,1.0,45-49,Other,Female,McCain,Johnson,,Approve,Disapprove,,,,,,,,,,,,18 to 64,No,State,Not complete,Desert area,45 to 59,40 to 49,,40 to 49,0.8660000000000001
1.0,0.0,G,3.0,1.0,6.0,First call,1.0,65 and over,Hispanic,Male,McCain,Johnson,Yes,Approve,Approve,,Support Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Liberal,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.748
1.0,0.0,G,3.0,1.0,7.0,First call,1.0,45-49,Hispanic,Female,McCain,Hull,Yes,Approve,Approve,,Support Clinton,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,Yes,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.876
1.0,0.0,G,3.0,1.0,8.0,First call,1.0,50-59,Other,Female,McCain,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Desert area,45 to 59,50 to 59,Democrat,50 to 64,0.871
1.0,0.0,G,3.0,1.0,9.0,First call,1.0,40-44,Other,Female,McCain,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Conservative,18 to 64,Yes,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.871
1.0,0.0,G,3.0,1.0,10.0,First call,1.0,65 and over,Other,Male,McCain,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Better,Clinton,Democrat,No HS,Under 15K,Liberal,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.867
1.0,0.0,G,3.0,1.0,11.0,First call,1.0,25-29,White,Male,Ranger,Johnson,No,Approve,Disapprove,White,,,,,,,,,,,18 to 64,Yes,State,Not complete,Desert area,18 to 29,25 to 29,,25 to 29,0.957
1.0,0.0,G,3.0,1.0,12.0,First call,1.0,30-39,Other,Female,McCain,Hull,No,Approve,Approve,,Support Clinton,Yes,No,No,Better,Clinton,Democrat,No HS,Under 15K,Moderate,18 to 64,Yes,State,Complete,Desert area,30 to 44,30 to 39,Democrat,30 to 39,1.023
1.0,0.0,G,3.0,1.0,13.0,First call,1.0,18-24,Other,Male,McCain,Johnson,No,Approve,Disapprove,,Support Clinton,No,No,No,Better,Clinton,Republican,HS grad,15 to 30K,Moderate,18 to 64,No,State,Complete,Desert area,18 to 29,18 to 24,Republican,18 to 24,0.912
1.0,0.0,G,3.0,1.0,14.0,Second call,1.0,30-39,Other,Female,McCain,Johnson,No,Approve,Disapprove,,Neither,No,No,,Same,Dole,Something else,HS grad,Under 15K,Liberal,18 to 64,,State,Complete,Desert area,30 to 44,30 to 39,Independent/Other,30 to 39,0.868
1.0,0.0,G,3.0,1.0,15.0,Second call,1.0,45-49,Other,Male,Ranger,Johnson,,Approve,Approve,,Support Clinton,No,Yes,No,Better,Clinton,Independent,Some college,30 to 50K,Liberal,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Independent/Other,40 to 49,0.955
