State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,State lottery,Beasley: Personal life,Reason for Cong Vote,Religious Right,Hollings: Too long?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Video Poker,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Governor issues,Clinton as person
41.0,1.0,1.0,First call,45-49,White,Male,Inglis,Beasley,Disapprove,Disapprove,Favor,Not a factor,Oppose Clinton,No,Yes,No,Yes,No,Better,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,Favor,State,Complete,Rural,45 to 59,40 to 49,Republican,40 to 49,1.057,Taxes,Moral/ethic,Unfavorable
41.0,1.0,2.0,First call,45-49,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Oppose Clinton,Yes,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Oppose,State,Complete,Rural,45 to 59,40 to 49,Republican,40 to 49,1.048,,Gambling,Unfavorable
41.0,1.0,3.0,First call,30-39,White,Male,Inglis,Beasley,Disapprove,Approve,Oppose,Most important,Neither,Yes,Yes,Yes,Yes,Yes,Better,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,Rural,30 to 44,30 to 39,Republican,30 to 39,1.057,Education,State taxes,Unfavorable
41.0,1.0,4.0,First call,45-49,White,Male,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Neither,No,No,Yes,Yes,Yes,Same,Dole,Democrat,College grad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,1.057,Clin/Lwnsky,Gambling,Unfavorable
41.0,1.0,5.0,First call,30-39,Black,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,Yes,No,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,1.408,Taxes,Confederate flag,Favorable
41.0,1.0,6.0,First call,65 and over,White,Female,Hollings,Hodges,Approve,Disapprove,Oppose,One factor,Neither,No,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,15 to 30K,Moderate,65 and over,Oppose,State,Complete,Rural,60 and over,60 and over,Democrat,65 and over,1.401,Education,Education,Favorable
41.0,1.0,7.0,First call,40-44,Black,Male,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,No,No,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,40 to 49,Democrat,40 to 49,1.408,Social Security,Gambling,Favorable
41.0,1.0,8.0,First call,45-49,White,Male,Inglis,Beasley,Disapprove,Disapprove,Oppose,Not a factor,Neither,Yes,Yes,Yes,Yes,No,Better,Dole,Democrat,Postgrad,,Conservative,18 to 64,Oppose,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,1.057,Education,Moral/ethic,Unfavorable
41.0,1.0,9.0,First call,65 and over,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Oppose Clinton,Yes,Yes,No,No,Yes,Same,Dole,Republican,Postgrad,30 to 50K,Conservative,65 and over,Oppose,State,Complete,Rural,60 and over,60 and over,Republican,65 and over,1.262,Social Security,Gambling,Unfavorable
41.0,1.0,10.0,Second call,65 and over,White,Male,Hollings,Hodges,Approve,Disapprove,Oppose,,Neither,No,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Conservative,65 and over,Oppose,State,Complete,Rural,60 and over,60 and over,Democrat,65 and over,1.414,Education,Education,Favorable
