State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,If only these cands,Reason for Cong Vote,State economy condition,Carry weapon easier?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Taxes for stadiums,Party ID,Education,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Governor issues,Future of st economy,Clinton as person
24.0,8.0,1.0,First call,50-59,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,College grad,100K or more,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Republican,50 to 64,1.105,State taxes,About the same,Unfavorable
24.0,8.0,2.0,First call,65 and over,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,Yes,Yes,Yes,Yes,Better,Dole,Oppose,Republican,Some college,75 to 100K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Republican,65 and over,1.33,State taxes,About the same,Unfavorable
24.0,8.0,3.0,First call,50-59,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Democrat,50 to 64,0.777,Education,About the same,
24.0,8.0,4.0,First call,60-64,White,Male,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,Yes,Yes,Yes,Same,Dole,Favor,Republican,HS grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Republican,50 to 64,1.33,State taxes,Better,Unfavorable
24.0,8.0,5.0,First call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Better,Clinton,Oppose,Democrat,Postgrad,30 to 50K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,1.046,Education,Better,Unfavorable
24.0,8.0,6.0,First call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Excellent,No,No,No,Yes,Same,Dole,Oppose,,Postgrad,,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,,65 and over,1.046,Education,Better,Favorable
24.0,8.0,7.0,First call,65 and over,White,Female,Humphrey,Approve,Approve,Humphrey,Support Clinton,Good,No,No,No,No,Better,Clinton,Oppose,Independent,Some college,30 to 50K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,0.936,State taxes,About the same,Favorable
24.0,8.0,8.0,First call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Same,Clinton,Oppose,Democrat,Postgrad,15 to 30K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.936,Education,About the same,Unfavorable
24.0,8.0,9.0,First call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,Yes,Better,Clinton,Oppose,Democrat,Postgrad,30 to 50K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,1.046,Crime/drugs,About the same,Favorable
24.0,8.0,10.0,First call,65 and over,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,,No,Yes,Same,Perot,Oppose,Republican,HS grad,50 to 75K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Republican,65 and over,1.191,Education,About the same,Unfavorable
24.0,8.0,11.0,First call,60-64,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Excellent,No,No,No,Yes,Same,Clinton,Oppose,Democrat,Some college,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,50 to 64,0.936,Farm policy,About the same,Unfavorable
24.0,8.0,12.0,First call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Same,Clinton,Oppose,Democrat,HS grad,Under 15K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.936,Crime/drugs,Better,Unfavorable
24.0,8.0,13.0,First call,30-39,White,Female,Coleman,Disapprove,Disapprove,Coleman,Oppose Clinton,Good,No,Yes,Yes,Yes,Better,Dole,Oppose,Democrat,Some college,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,0.989,Abortion,About the same,Unfavorable
24.0,8.0,14.0,First call,45-49,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,Yes,Yes,Yes,Yes,Worse,Dole,Oppose,Independent,Some college,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Independent/Other,40 to 49,0.989,Farm policy,About the same,Unfavorable
24.0,8.0,15.0,Second call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,College grad,Under 15K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.936,Education,About the same,Favorable
24.0,8.0,16.0,Second call,60-64,White,Female,Ventura,Approve,Disapprove,Humphrey,Neither,Not so good,No,No,Yes,Yes,Worse,Clinton,Oppose,Democrat,Some college,,Moderate,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,50 to 64,2.285,,About the same,Unfavorable
24.0,8.0,17.0,Second call,65 and over,White,Female,Coleman,Disapprove,Disapprove,Coleman,Oppose Clinton,Not so good,Yes,Yes,Yes,No,Worse,Dole,Oppose,Independent,HS grad,15 to 30K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,1.191,Abortion,Worse,Unfavorable
24.0,8.0,18.0,Second call,60-64,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Independent,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,50 to 64,0.936,State taxes,About the same,Unfavorable
24.0,8.0,19.0,Second call,30-39,White,Female,Ventura,Disapprove,Disapprove,Coleman,Neither,Good,No,No,No,Yes,Better,Dole,Oppose,Republican,College grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,1.896,,Better,Unfavorable
24.0,8.0,20.0,Second call,50-59,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,Yes,Yes,Yes,Yes,Same,Dole,Oppose,Independent,College grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Independent/Other,50 to 64,1.105,State taxes,About the same,Unfavorable
24.0,8.0,21.0,Second call,18-24,White,Male,Coleman,Approve,Approve,Coleman,Oppose Clinton,Good,Yes,No,No,Yes,Better,Did not vote,Oppose,Independent,No HS,Under 15K,Conservative,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Independent/Other,18 to 24,1.168,Farm policy,About the same,Unfavorable
24.0,8.0,22.0,Second call,60-64,White,Male,Humphrey,Approve,Approve,Humphrey,Neither,Excellent,No,No,No,No,Same,Clinton,Oppose,Independent,Postgrad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,50 to 64,1.046,Education,Better,Favorable
24.0,8.0,23.0,Second call,50-59,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Excellent,No,Yes,Yes,No,Better,Dole,Oppose,Republican,Postgrad,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Republican,50 to 64,1.105,Economy/jobs,About the same,Unfavorable
24.0,8.0,24.0,Third call,50-59,White,Female,Humphrey,,,Humphrey,,,No,,,,,,Oppose,,,,,18 to 64,2.0,Not complete,Rep areas,45 to 59,50 to 59,,50 to 64,0.777,Education,,
24.0,8.0,25.0,Third call,45-49,White,Male,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Good,No,Yes,Yes,No,Same,Dole,Oppose,Republican,College grad,100K or more,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Republican,40 to 49,1.105,State taxes,About the same,Unfavorable
24.0,8.0,26.0,Third call,45-49,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,No,Same,Did not vote,Oppose,Republican,Postgrad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Republican,40 to 49,1.105,Education,About the same,Unfavorable
24.0,8.0,27.0,Third call,30-39,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,College grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,0.777,Economy/jobs,Better,Favorable
24.0,8.0,28.0,Third call,50-59,White,Female,Coleman,Approve,Disapprove,Coleman,Neither,Good,No,No,No,Yes,Same,Clinton,Oppose,Independent,HS grad,,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Independent/Other,50 to 64,0.989,State taxes,About the same,Unfavorable
24.0,8.0,29.0,Third call,30-39,White,Male,Coleman,Disapprove,Disapprove,Coleman,Oppose Clinton,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Something else,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Independent/Other,30 to 39,1.105,Economy/jobs,About the same,Unfavorable
24.0,8.0,30.0,Third call,50-59,White,Female,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Independent,Some college,15 to 30K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Independent/Other,50 to 64,0.989,,About the same,Unfavorable
24.0,8.0,31.0,Third call,40-44,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Excellent,No,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Democrat,40 to 49,0.777,Economy/jobs,About the same,Unfavorable
24.0,8.0,32.0,Third call,30-39,White,Female,Humphrey,,Approve,Humphrey,Neither,Good,,No,No,Yes,Better,Clinton,,Democrat,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,0.777,,About the same,Unfavorable
24.0,8.0,33.0,Third call,30-39,White,Male,Ventura,Disapprove,Approve,Would not vote,,Good,,Yes,Yes,Yes,Better,Did not vote,Oppose,Independent,Some college,,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Independent/Other,30 to 39,2.119,Economy/jobs,Better,Unfavorable
24.0,8.0,34.0,Third call,50-59,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Poor,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,HS grad,75 to 100K,Liberal,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Republican,50 to 64,1.105,,About the same,Unfavorable
24.0,8.0,35.0,Third call,40-44,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,No,Yes,Better,Dole,Favor,Republican,College grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Republican,40 to 49,0.989,Education,Better,Unfavorable
24.0,8.0,36.0,Third call,40-44,White,Male,Ventura,Approve,Disapprove,Would not vote,Neither,Good,Yes,No,No,No,Worse,Clinton,Oppose,Something else,HS grad,15 to 30K,Liberal,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Independent/Other,40 to 49,2.119,Gun Control,Better,Favorable
