State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,House Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Amend A: Bar prop tax,Income,Ideology,Age (65 and over),Daschle: Clin-Lwnsky,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
42.0,4.0,1.0,First call,50-59,White,Female,Daschle,Hunhoff,Moser,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.194
42.0,4.0,2.0,First call,30-39,White,Female,Daschle,Janklow,Moser,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,No,50 to 75K,Moderate,18 to 64,,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,0.283
42.0,4.0,3.0,First call,65 and over,White,Female,Daschle,Hunhoff,Thune,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Independent,No,Under 15K,Moderate,65 and over,Disapprove,State,Complete,Northeast,60 and over,60 and over,Independent/Other,65 and over,0.227
42.0,4.0,4.0,First call,30-39,Other,Male,Other,Other,Thune,Disapprove,Disapprove,Neither,No,No,Yes,Worse,Perot,Independent,No,Under 15K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,0.534
42.0,4.0,5.0,First call,60-64,White,Male,Schmidt,Janklow,Thune,Approve,Approve,Neither,No,No,Yes,Same,Dole,Republican,No,50 to 75K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,60 and over,60 and over,Republican,50 to 64,0.32999999999999996
42.0,4.0,6.0,First call,40-44,White,Male,Daschle,Janklow,Moser,Approve,Disapprove,Support Clinton,No,No,Yes,Same,Clinton,Independent,No,50 to 75K,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Independent/Other,40 to 49,0.318
42.0,4.0,7.0,First call,25-29,White,Female,Schmidt,Janklow,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,Yes,50 to 75K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,25 to 29,Republican,25 to 29,0.295
42.0,4.0,8.0,First call,30-39,White,Male,Daschle,Other,Thune,Disapprove,Disapprove,Neither,No,Yes,No,Same,Other,Independent,Yes,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,0.49700000000000005
42.0,4.0,9.0,First call,45-49,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,No,15 to 30K,Liberal,18 to 64,Approve,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,0.222
42.0,4.0,10.0,First call,25-29,White,Female,Daschle,Janklow,Thune,Approve,Approve,Neither,Yes,Yes,Yes,Same,Did not vote,Something else,,50 to 75K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,25 to 29,Independent/Other,25 to 29,0.38499999999999995
