V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
1.0,0.0,G,44.0,11.0,1.0,First call,1.0,65 and over,Hispanic,,,Perry,Mattox,Yes,Approve,Approve,No Effect,White,State Level,Support Clinton,No,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,No High School,"$30,000-$50,000",Conservative,65 and Over,Yes,State,Complete,South,60 and Over,60 and Over,Democrat,65 and Over,0.939,,Better,Favorable
1.0,0.0,G,44.0,11.0,2.0,First call,1.0,65 and over,White,Female,Bush,Perry,Cornyn,No,Disapprove,Approve,,White,Local Level,Neither,Yes,Not So Good,Run for President,Yes,Yes,No,Same,Dole,Republican,High School Graduate,"Under $15,000",Conservative,65 and Over,Yes,State,Complete,South,60 and Over,60 and Over,Republican,65 and Over,1.51,Education,Better,
1.0,0.0,G,44.0,11.0,3.0,First call,1.0,60-64,Hispanic,Male,Bush,Sharp,Cornyn,Yes,Approve,Disapprove,No Effect,Hispanic,Local Level,Support Clinton,No,Good,Run for President,No,No,No,Better,Clinton,Democrat,High School Graduate,"$30,000-$50,000",Liberal,18-64,Yes,State,Complete,South,60 and Over,60 and Over,Democrat,50-64,1.217,Crime/Drugs,Better,Favorable
1.0,0.0,G,44.0,11.0,4.0,First call,1.0,25-29,Hispanic,Female,Bush,Sharp,Mattox,Yes,Approve,Approve,No Effect,Hispanic,State Level,Neither,No,Excellent,Serve out Term,No,No,Yes,Better,Clinton,Something Else,College Graduate,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,South,18-29,25-29,Independent/Other,25-29,0.811,Economy/Jobs,Same,Favorable
1.0,0.0,G,44.0,11.0,5.0,First call,1.0,65 and over,White,Male,Bush,Perry,,No,Disapprove,Disapprove,,White,Local Level,Oppose Clinton,,Good,Serve out Term,Yes,No,Yes,Same,Dole,Independent,Some College,"$50,000-$75,000",Conservative,65 and Over,Yes,State,Complete,South,60 and Over,60 and Over,Independent/Other,65 and Over,1.574,,Better,Unfavorable
1.0,0.0,G,44.0,11.0,6.0,First call,1.0,40-44,Hispanic,Female,Mauro,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,White,Local Level,Neither,No,Good,Serve out Term,No,No,No,Better,Clinton,Independent,Postgrad,"$30,000-$50,000",Moderate,18-64,No,State,Complete,South,30-44,40-49,Independent/Other,40-49,0.708,Crime/Drugs,Better,Favorable
1.0,0.0,G,44.0,11.0,7.0,First call,1.0,50-59,Hispanic,Female,Mauro,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,Hispanic,State Level,Support Clinton,No,Good,Run for President,No,No,No,Better,Clinton,Democrat,College Graduate,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,South,45-59,50-59,Democrat,50-64,0.708,Education,Better,Favorable
1.0,0.0,G,44.0,11.0,8.0,First call,1.0,45-49,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,No Effect,White,Local Level,Neither,No,Good,Run for President,No,No,Yes,Same,Did Not Vote,Independent,Some College,"$15,000-$30,000",Conservative,18-64,Yes,State,Complete,South,45-59,40-49,Independent/Other,40-49,1.315,Economy/Jobs,Better,Unfavorable
1.0,0.0,G,44.0,11.0,9.0,First call,1.0,25-29,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,Local Level,Oppose Clinton,No,Good,Run for President,No,Yes,Yes,Same,Dole,Republican,Postgrad,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,South,18-29,25-29,Republican,25-29,1.3719999999999999,Taxes,Same,Unfavorable
1.0,0.0,G,44.0,11.0,10.0,First call,1.0,40-44,White,Female,Mauro,Sharp,,No,Approve,Disapprove,More Likely,White,Local Level,Support Clinton,No,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,Some College,"$15,000-$30,000",Liberal,18-64,No,State,Complete,South,30-44,40-49,Democrat,40-49,1.042,Education,Better,Favorable
1.0,0.0,G,44.0,11.0,11.0,First call,1.0,40-44,White,Female,Bush,Sharp,Mattox,,,,Less Likely,White,State Level,,No,,Run for President,,,,,,,,,,18-64,Yes,State,Not Complete,South,30-44,40-49,,40-49,1.081,Taxes,,
1.0,0.0,G,44.0,11.0,12.0,First call,1.0,40-44,Hispanic,Female,Bush,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,Hispanic,State Level,Support Clinton,No,Not So Good,Run for President,No,No,Yes,Better,Clinton,Something Else,College Graduate,"$30,000-$50,000",Conservative,18-64,No,State,Complete,South,30-44,40-49,Independent/Other,40-49,0.779,Education,Same,Unfavorable
1.0,0.0,G,44.0,11.0,13.0,Second call,1.0,30-39,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,,White,State Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,No,Worse,Other,Republican,Some College,"Under $15,000",Moderate,18-64,Yes,State,Complete,South,30-44,30-39,Republican,30-39,1.192,Education,Better,Unfavorable
1.0,0.0,G,44.0,11.0,14.0,Second call,1.0,65 and over,Hispanic,,Mauro,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,Hispanic,,Support Clinton,No,Good,Run for President,No,No,No,Worse,Clinton,Democrat,,"$15,000-$30,000",,65 and Over,Yes,State,Complete,South,60 and Over,60 and Over,Democrat,65 and Over,0.995,Welfare,Same,Favorable
1.0,0.0,G,44.0,11.0,15.0,Second call,1.0,45-49,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,Local Level,Support Clinton,No,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,Postgrad,"$15,000-$30,000",Liberal,18-64,No,State,Complete,South,45-59,40-49,Democrat,40-49,0.987,Economy/Jobs,Same,Favorable
1.0,0.0,G,44.0,11.0,16.0,Second call,1.0,60-64,Hispanic,Female,Mauro,Sharp,Mattox,Yes,Approve,Disapprove,More Likely,Hispanic,State Level,Support Clinton,Yes,Good,,No,No,No,Better,Clinton,Democrat,High School Graduate,"$15,000-$30,000",Moderate,18-64,No,State,Complete,South,60 and Over,60 and Over,Democrat,50-64,0.9,,Better,Favorable
1.0,0.0,G,44.0,11.0,17.0,Second call,1.0,45-49,White,Male,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,State Level,Neither,No,Good,Serve out Term,No,No,No,Same,Clinton,Independent,Some College,"$30,000-$50,000",Liberal,18-64,Yes,State,Complete,South,45-59,40-49,Independent/Other,40-49,1.087,Education,Same,Favorable
1.0,0.0,G,44.0,11.0,18.0,Second call,1.0,65 and over,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,No Effect,White,State Level,Neither,No,Good,Serve out Term,Yes,Yes,No,Same,Dole,Republican,Some College,"$15,000-$30,000",Conservative,65 and Over,Yes,State,Complete,South,60 and Over,60 and Over,Republican,65 and Over,1.51,Education,Better,Unfavorable
1.0,0.0,G,44.0,11.0,19.0,Second call,1.0,65 and over,Hispanic,Female,Mauro,Sharp,Mattox,Yes,Approve,Approve,Less Likely,Hispanic,State Level,Neither,No,Not So Good,,No,No,Yes,Better,Clinton,Democrat,No High School,"Under $15,000",Moderate,65 and Over,,State,Complete,South,60 and Over,60 and Over,Democrat,65 and Over,0.9,Education,Better,Favorable
1.0,0.0,G,44.0,11.0,20.0,Second call,1.0,50-59,Hispanic,Female,Bush,Sharp,Mattox,,Approve,,No Effect,Hispanic,State Level,Support Clinton,Yes,Good,Run for President,No,No,No,Better,Clinton,Democrat,No High School,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,South,45-59,50-59,Democrat,50-64,0.779,Education,Same,Favorable
1.0,0.0,G,44.0,11.0,21.0,Second call,1.0,65 and over,Hispanic,Female,Mauro,Sharp,Mattox,No,Approve,Approve,More Likely,Hispanic,Local Level,Support Clinton,No,Excellent,Serve out Term,No,No,No,Better,Clinton,Democrat,Some College,"$15,000-$30,000",Liberal,65 and Over,No,State,Complete,South,60 and Over,60 and Over,Democrat,65 and Over,0.9,Welfare,Better,Favorable
1.0,0.0,G,44.0,11.0,22.0,Second call,1.0,65 and over,Hispanic,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,Hispanic,Local Level,Support Clinton,No,Good,Serve out Term,No,No,No,Same,Clinton,Democrat,High School Graduate,"Under $15,000",Moderate,65 and Over,No,State,Complete,South,60 and Over,60 and Over,Democrat,65 and Over,0.9,Welfare,Better,Favorable
1.0,0.0,G,44.0,11.0,23.0,Second call,1.0,40-44,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,State Level,Oppose Clinton,Yes,Good,Serve out Term,No,No,Yes,Better,Dole,Republican,Postgrad,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,South,30-44,40-49,Republican,40-49,1.315,Economy/Jobs,Same,Unfavorable
1.0,0.0,G,44.0,11.0,24.0,Second call,1.0,60-64,Hispanic,Male,Mauro,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,Hispanic,State Level,Support Clinton,No,Excellent,Serve out Term,No,No,Yes,Better,Clinton,Democrat,College Graduate,"$75,000-$100,000",Conservative,18-64,Yes,State,Complete,South,60 and Over,60 and Over,Democrat,50-64,0.995,Education,Better,Favorable
1.0,0.0,G,44.0,11.0,25.0,Second call,1.0,65 and over,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,Local Level,Oppose Clinton,No,Good,Serve out Term,No,No,No,Same,Perot,Independent,No High School,"$15,000-$30,000",Conservative,65 and Over,Yes,State,Complete,South,60 and Over,60 and Over,Independent/Other,65 and Over,1.668,Education,Better,Unfavorable
