V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1.0,0.0,G,28.0,1.0,1.0,First call,1.0,65 and over,White,Female,Johans,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Yes,No,Same,Republican,15 to 30K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.7349999999999999
1.0,0.0,G,28.0,1.0,2.0,First call,1.0,50-59,White,Male,Hoppner,Disapprove,Approve,Neither,No,No,Yes,Yes,Yes,Better,Republican,75 to 100K,For,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.828
1.0,0.0,G,28.0,1.0,3.0,First call,1.0,60-64,White,Female,Hoppner,Approve,Disapprove,Neither,Yes,Yes,No,No,Yes,Same,Republican,15 to 30K,For,Moderate,18 to 64,State,CD 3,60 and over,60 and over,Republican,50 to 64,2.086
1.0,0.0,G,28.0,1.0,4.0,First call,1.0,45-49,White,Male,Hoppner,Disapprove,Disapprove,Neither,No,Yes,No,No,No,Same,Democrat,50 to 75K,Against,Moderate,18 to 64,State,CD 3,45 to 59,40 to 49,Democrat,40 to 49,1.379
1.0,0.0,G,28.0,1.0,5.0,First call,1.0,50-59,White,Male,Johans,,Disapprove,Neither,No,No,No,,Yes,Worse,Republican,75 to 100K,Against,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.5230000000000001
1.0,0.0,G,28.0,1.0,6.0,First call,1.0,25-29,White,Male,Johans,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,No,Worse,Republican,15 to 30K,Against,Conservative,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,1.4060000000000001
1.0,0.0,G,28.0,1.0,7.0,First call,1.0,25-29,White,Female,Johans,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Yes,Same,Republican,15 to 30K,Against,Moderate,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,1.403
1.0,0.0,G,28.0,1.0,8.0,First call,1.0,60-64,White,Female,Hoppner,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Yes,Worse,Republican,Under 15K,For,Conservative,18 to 64,State,CD 3,60 and over,60 and over,Republican,50 to 64,2.086
1.0,0.0,G,28.0,1.0,9.0,First call,1.0,65 and over,White,Male,Hoppner,Disapprove,Disapprove,Neither,Yes,No,Yes,Yes,Yes,Same,Republican,15 to 30K,For,Moderate,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,2.089
1.0,0.0,G,28.0,1.0,10.0,First call,1.0,65 and over,White,Female,Johans,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,No,Same,Independent,15 to 30K,For,Conservative,65 and over,State,CD 3,60 and over,60 and over,Independent/Other,65 and over,2.302
