State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Ashcroft good Pres?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Senate importance,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person
26.0,6.0,1.0,First call,50-59,White,Male,Bond,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,No,Same,Dole,Independent,Postgrad,75 to 100K,Conservative,18 to 64,Moral Values,State,Complete,North/Southeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.6689999999999999,Unfavorable
26.0,6.0,2.0,First call,45-49,White,Male,Bond,Approve,Disapprove,Neither,No,No,No,No,No,Same,Clinton,Democrat,HS grad,50 to 75K,Liberal,18 to 64,Issues,State,Complete,North/Southeast,45 to 59,40 to 49,Democrat,40 to 49,0.6689999999999999,Favorable
26.0,6.0,3.0,First call,50-59,White,Male,Bond,Approve,Disapprove,Neither,No,No,No,No,Yes,Better,Clinton,Independent,HS grad,50 to 75K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.6689999999999999,Unfavorable
26.0,6.0,4.0,First call,30-39,White,Male,Nixon,Approve,Disapprove,,No,No,No,No,Yes,Same,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,30 to 39,Democrat,30 to 39,0.6829999999999999,Unfavorable
26.0,6.0,5.0,First call,50-59,White,Male,Nixon,Approve,Disapprove,,No,No,,,,,,,,,,18 to 64,Issues,State,Not complete,North/Southeast,45 to 59,50 to 59,,50 to 64,0.6829999999999999,Unfavorable
26.0,6.0,6.0,First call,25-29,White,Female,Other,Disapprove,Approve,Oppose Clinton,No,Yes,No,Yes,Yes,Same,Dole,Independent,HS grad,50 to 75K,Liberal,18 to 64,Moral Values,State,Complete,North/Southeast,18 to 29,25 to 29,Independent/Other,25 to 29,0.886,Unfavorable
26.0,6.0,7.0,First call,50-59,White,Male,Bond,Disapprove,Approve,Neither,No,Yes,Yes,Yes,No,Same,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Issues,State,Complete,North/Southeast,45 to 59,50 to 59,Republican,50 to 64,0.6689999999999999,Unfavorable
26.0,6.0,8.0,First call,40-44,White,Female,Nixon,Approve,Disapprove,Neither,No,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,40 to 49,Democrat,40 to 49,0.613,Unfavorable
26.0,6.0,9.0,First call,25-29,White,Male,Bond,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Yes,Same,Dole,Republican,Postgrad,15 to 30K,Moderate,18 to 64,Moral Values,State,Complete,North/Southeast,18 to 29,25 to 29,Republican,25 to 29,0.724,Unfavorable
26.0,6.0,10.0,First call,18-24,White,Female,Bond,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Yes,Same,Perot,Republican,Some college,30 to 50K,Conservative,18 to 64,Issues,State,Complete,North/Southeast,18 to 29,18 to 24,Republican,18 to 24,0.6489999999999999,Unfavorable
26.0,6.0,11.0,First call,45-49,White,Male,Nixon,Approve,Disapprove,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Issues,State,Complete,North/Southeast,45 to 59,40 to 49,Democrat,40 to 49,0.6829999999999999,Favorable
26.0,6.0,12.0,First call,60-64,White,Male,Nixon,Approve,Disapprove,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,60 and over,60 and over,Democrat,50 to 64,0.887,Favorable
26.0,6.0,13.0,Second call,25-29,White,Male,Bond,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,No,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Issues,State,Complete,North/Southeast,18 to 29,25 to 29,Republican,25 to 29,0.724,Unfavorable
26.0,6.0,14.0,Second call,30-39,White,Male,Nixon,Approve,Disapprove,Neither,,Yes,No,No,No,Same,,Democrat,HS grad,30 to 50K,Moderate,18 to 64,,State,Complete,North/Southeast,30 to 44,30 to 39,Democrat,30 to 39,0.6829999999999999,Favorable
