State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Lottery to fund educ,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
1.0,8.0,1.0,First call,40-44,White,Male,Sudith,Siegelman,Approve,Disapprove,,,,,,,,,,,,18 to 64,Favor,State,Not complete,North,30 to 44,40 to 49,,40 to 49,1.478
1.0,8.0,2.0,First call,65 and over,White,Male,Shelby,Siegelman,Approve,Disapprove,,No,,,,,,,,,,65 and over,Favor,State,Not complete,North,60 and over,65 and over,,65 and over,1.1480000000000001
1.0,8.0,3.0,First call,60-64,White,Female,Sudith,Siegelman,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Perot,Independent,HS grad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,North,60 and over,65 and over,Independent/Other,50 to 64,1.584
1.0,8.0,4.0,First call,25-29,White,Male,,Siegelman,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,Favor,State,Complete,North,18 to 29,25 to 29,Republican,25 to 29,1.314
1.0,8.0,5.0,First call,50-59,White,Female,Shelby,Siegelman,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.112
1.0,8.0,6.0,First call,30-39,White,Female,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Same,Perot,Democrat,HS grad,100K or more,Moderate,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.506
1.0,8.0,7.0,First call,65 and over,White,Male,,Siegelman,Approve,Disapprove,Neither,,No,No,Yes,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,65 and over,Favor,State,Complete,North,60 and over,65 and over,Democrat,65 and over,1.278
1.0,8.0,8.0,First call,18-24,White,Female,Sudith,Siegelman,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,North,18 to 29,18 to 24,Democrat,18 to 24,1.63
1.0,8.0,9.0,First call,40-44,White,Male,Sudith,James,Approve,Disapprove,Neither,No,No,No,No,Better,Dole,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,2.5620000000000003
1.0,8.0,10.0,First call,65 and over,White,Male,Sudith,Siegelman,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Moderate,65 and over,Favor,State,Complete,North,60 and over,65 and over,Democrat,65 and over,1.554
1.0,8.0,11.0,First call,40-44,White,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Independent,Some college,50 to 75K,Liberal,18 to 64,Favor,State,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,1.478
1.0,8.0,12.0,First call,50-59,White,Female,Shelby,James,Disapprove,Approve,Neither,No,No,Yes,Yes,Worse,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Republican,50 to 64,1.9289999999999998
1.0,8.0,13.0,First call,18-24,White,Female,Shelby,James,Disapprove,Disapprove,,Yes,,,,,,,,,,18 to 64,Favor,State,Not complete,North,18 to 29,18 to 24,,18 to 24,2.09
1.0,8.0,14.0,Second call,,White,Male,,James,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Democrat,College grad,30 to 50K,Liberal,,Favor,State,Complete,North,,,Democrat,,2.103
1.0,8.0,15.0,Second call,30-39,White,Male,Shelby,James,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,Better,Dole,Independent,Some college,30 to 50K,Conservative,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Independent/Other,30 to 39,1.893
1.0,8.0,16.0,Second call,60-64,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,Yes,No,No,Yes,Same,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,Favor,State,Complete,North,60 and over,65 and over,Democrat,50 to 64,1.584
1.0,8.0,17.0,Second call,50-59,White,Female,Shelby,Siegelman,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Something else,HS grad,Under 15K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,1.112
1.0,8.0,18.0,Second call,65 and over,White,Female,Shelby,Siegelman,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Some college,Under 15K,Conservative,65 and over,Favor,State,Complete,North,60 and over,65 and over,Democrat,65 and over,1.17
1.0,8.0,19.0,Second call,60-64,White,Male,Shelby,James,Disapprove,Disapprove,,Yes,Yes,Yes,Yes,Same,Clinton,Independent,Some college,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,North,60 and over,65 and over,Independent/Other,50 to 64,1.9929999999999999
1.0,8.0,20.0,Second call,50-59,White,Female,Shelby,James,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Clinton,Democrat,Postgrad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.9289999999999998
1.0,8.0,21.0,Third call,50-59,White,Male,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,Yes,Yes,Same,Perot,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.478
1.0,8.0,22.0,Third call,50-59,White,Female,Sudith,Siegelman,Disapprove,,,No,,,,,,,,,,18 to 64,Favor,State,Not complete,North,45 to 59,50 to 59,,50 to 64,1.506
1.0,8.0,23.0,Third call,65 and over,White,Female,Sudith,Siegelman,Disapprove,,,No,,,,,,,,,,65 and over,Favor,State,Not complete,North,60 and over,65 and over,,65 and over,1.584
1.0,8.0,24.0,Third call,50-59,White,Female,Shelby,James,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Yes,Worse,Dole,,Some college,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,,50 to 64,1.9289999999999998
1.0,8.0,25.0,Third call,50-59,White,Female,,James,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Democrat,HS grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,2.145
1.0,8.0,26.0,Third call,60-64,White,Female,Shelby,Siegelman,Approve,,Support Clinton,,No,No,,Same,Clinton,Democrat,,,,18 to 64,Favor,State,Complete,North,60 and over,65 and over,Democrat,50 to 64,1.17
1.0,8.0,27.0,Third call,50-59,White,Male,Shelby,James,Disapprove,Disapprove,Neither,No,,Yes,,Same,Other,Independent,Postgrad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,1.893
1.0,8.0,28.0,Third call,50-59,White,Male,Sudith,Siegelman,Approve,Disapprove,,No,,,,,,,,,,18 to 64,Favor,State,Not complete,North,45 to 59,50 to 59,,50 to 64,1.478
1.0,8.0,29.0,Third call,40-44,White,Male,Shelby,James,Approve,Approve,,Yes,,,,,,,,,,18 to 64,Oppose,State,Not complete,North,30 to 44,40 to 49,,40 to 49,1.893
1.0,8.0,30.0,Third call,65 and over,White,Male,Shelby,James,Disapprove,Approve,Oppose Clinton,Yes,No,No,Yes,Better,Dole,Independent,HS grad,15 to 30K,Conservative,65 and over,Oppose,State,Complete,North,60 and over,65 and over,Independent/Other,65 and over,1.9929999999999999
1.0,8.0,31.0,Third call,30-39,White,Female,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.506
1.0,8.0,32.0,Third call,30-39,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Conservative,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.506
1.0,8.0,33.0,Third call,45-49,White,Male,Shelby,Siegelman,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,1.092
1.0,8.0,34.0,Third call,18-24,White,Female,,Siegelman,Disapprove,Disapprove,Neither,Yes,No,No,No,Same,Dole,Independent,No HS,15 to 30K,Moderate,18 to 64,Favor,State,Complete,North,18 to 29,18 to 24,Independent/Other,18 to 24,1.3399999999999999
1.0,8.0,35.0,Third call,40-44,White,Female,Shelby,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Same,Dole,Independent,HS grad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,1.112
1.0,8.0,36.0,Third call,30-39,White,Male,Shelby,Siegelman,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Independent,Postgrad,50 to 75K,Conservative,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Independent/Other,30 to 39,1.092
