V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
1.0,0.0,G,7.0,3.0,1.0,First call,1.0,45-49,Black,Female,,Kennelly,Approve,Disapprove,Support Clinton,Good,No,No,No,Same,Clinton,Democrat,HS grad,75 to 100K,Moderate,18 to 64,State,Complete,Large Cities,45 to 59,40 to 49,Democrat,40 to 49,0.751,
1.0,0.0,G,7.0,3.0,2.0,First call,1.0,45-49,Black,Female,,Kennelly,Approve,Approve,Support Clinton,Good,No,No,No,Same,Clinton,Democrat,HS grad,50 to 75K,Conservative,18 to 64,State,Complete,Large Cities,45 to 59,40 to 49,Democrat,40 to 49,0.751,Favorable
1.0,0.0,G,7.0,3.0,3.0,First call,1.0,,Black,,Dodd,,Approve,Disapprove,Support Clinton,Not so good,No,No,No,Better,Clinton,Democrat,,30 to 50K,Moderate,,State,Complete,Large Cities,,,Democrat,,0.722,Favorable
1.0,0.0,G,7.0,3.0,4.0,First call,1.0,,Asian,Male,Dodd,Rowland,Approve,,,,,,,,,,,,,,State,Not complete,Large Cities,,,,,1.024,
1.0,0.0,G,7.0,3.0,5.0,First call,1.0,45-49,Black,Female,Dodd,Rowland,Approve,Disapprove,Neither,Good,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,State,Complete,Large Cities,45 to 59,40 to 49,Democrat,40 to 49,0.75,Favorable
1.0,0.0,G,7.0,3.0,6.0,First call,1.0,18-24,Black,Female,Franks,Rowland,Approve,Disapprove,Support Clinton,Good,No,No,No,Same,Did not vote,Democrat,Postgrad,15 to 30K,Liberal,18 to 64,State,Complete,Large Cities,18 to 29,18 to 24,Democrat,18 to 24,0.859,Favorable
1.0,0.0,G,7.0,3.0,7.0,First call,1.0,40-44,Hispanic,Female,Dodd,Kennelly,Approve,Disapprove,Neither,Not so good,No,No,Yes,Worse,Clinton,Republican,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Large Cities,30 to 44,40 to 49,Republican,40 to 49,0.6849999999999999,Favorable
1.0,0.0,G,7.0,3.0,8.0,Second call,1.0,50-59,Black,Female,Dodd,Kennelly,Approve,Approve,Support Clinton,Not so good,No,No,No,Worse,Clinton,,HS grad,30 to 50K,Liberal,18 to 64,State,Complete,Large Cities,45 to 59,50 to 59,,50 to 64,0.6849999999999999,Favorable
1.0,0.0,G,7.0,3.0,9.0,Second call,1.0,65 and over,White,Male,Franks,Rowland,Disapprove,Approve,Neither,Good,Yes,Yes,,Worse,Dole,Republican,,,Moderate,65 and over,State,Complete,Large Cities,60 and over,60 and over,Republican,65 and over,2.112,Unfavorable
1.0,0.0,G,7.0,3.0,10.0,Second call,1.0,50-59,Hispanic,Female,Dodd,Kennelly,Approve,Approve,Support Clinton,Good,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Conservative,18 to 64,State,Complete,Large Cities,45 to 59,50 to 59,Democrat,50 to 64,0.6849999999999999,Favorable
1.0,0.0,G,7.0,3.0,11.0,Second call,1.0,60-64,Black,Female,Dodd,Rowland,Approve,Approve,Support Clinton,Poor,No,No,No,Worse,Clinton,Independent,Some college,,Liberal,18 to 64,State,Complete,Large Cities,60 and over,60 and over,Independent/Other,50 to 64,1.099,Favorable
1.0,0.0,G,7.0,3.0,12.0,Second call,1.0,65 and over,Hispanic,Female,Dodd,Kennelly,Approve,Disapprove,Support Clinton,Good,No,No,Yes,Worse,Clinton,Democrat,No HS,Under 15K,Moderate,65 and over,State,Complete,Large Cities,60 and over,60 and over,Democrat,65 and over,1.005,Favorable
1.0,0.0,G,7.0,3.0,13.0,Second call,1.0,18-24,Black,Male,Franks,Kennelly,Approve,Disapprove,Support Clinton,Poor,Yes,No,No,Better,Did not vote,Democrat,No HS,Under 15K,Conservative,18 to 64,State,Complete,Large Cities,18 to 29,18 to 24,Democrat,18 to 24,0.89,Favorable
1.0,0.0,G,7.0,3.0,14.0,Second call,1.0,30-39,Hispanic,Female,Dodd,Other,Approve,Approve,Neither,Good,No,No,No,Better,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,State,Complete,Large Cities,30 to 44,30 to 39,Democrat,30 to 39,0.658,Favorable
1.0,0.0,G,7.0,3.0,15.0,Second call,1.0,40-44,Black,Female,Dodd,Kennelly,Approve,Disapprove,Support Clinton,Good,No,Yes,Yes,Same,Clinton,Democrat,HS grad,Under 15K,Conservative,18 to 64,State,Complete,Large Cities,30 to 44,40 to 49,Democrat,40 to 49,0.6849999999999999,Favorable
1.0,0.0,G,7.0,3.0,16.0,Second call,1.0,30-39,Hispanic,Male,Dodd,Kennelly,Approve,Disapprove,Support Clinton,Good,No,No,Yes,Worse,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Large Cities,30 to 44,30 to 39,Democrat,30 to 39,0.777,Favorable
1.0,0.0,G,7.0,3.0,17.0,Second call,1.0,65 and over,White,Female,,Rowland,Disapprove,Disapprove,Oppose Clinton,Good,Yes,Yes,Yes,Worse,Dole,Republican,No HS,,Moderate,65 and over,State,Complete,Large Cities,60 and over,60 and over,Republican,65 and over,1.456,Unfavorable
1.0,0.0,G,7.0,3.0,18.0,Second call,1.0,25-29,Black,Male,Franks,Rowland,Approve,Disapprove,Support Clinton,Good,No,No,Yes,Better,Clinton,Something else,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Large Cities,18 to 29,25 to 29,Independent/Other,25 to 29,0.9740000000000001,Unfavorable
1.0,0.0,G,7.0,3.0,19.0,Second call,1.0,40-44,Asian,Male,Dodd,Kennelly,Approve,Disapprove,Support Clinton,Good,No,No,No,Same,,Democrat,No HS,15 to 30K,Moderate,18 to 64,State,Complete,Large Cities,30 to 44,40 to 49,Democrat,40 to 49,0.9369999999999999,Favorable
1.0,0.0,G,7.0,3.0,20.0,Second call,1.0,50-59,Black,Female,Dodd,Kennelly,Approve,Approve,Neither,Good,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,State,Complete,Large Cities,45 to 59,50 to 59,Democrat,50 to 64,0.6849999999999999,Favorable
1.0,0.0,G,7.0,3.0,21.0,Second call,1.0,50-59,Black,Female,Dodd,Rowland,Approve,Approve,Support Clinton,Good,No,No,No,Better,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,State,Complete,Large Cities,45 to 59,50 to 59,Democrat,50 to 64,0.75,Favorable
1.0,0.0,G,7.0,3.0,22.0,Second call,1.0,30-39,Black,Female,,Kennelly,Approve,Disapprove,Support Clinton,Good,No,No,No,Better,Clinton,Independent,Some college,,Conservative,18 to 64,State,Complete,Large Cities,30 to 44,30 to 39,Independent/Other,30 to 39,0.751,Favorable
