State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places)
20.0,1.0,1.0,First call,25-29,White,Female,King,Approve,Disapprove,Oppose Clinton,No,No,No,Better,Clinton,Democrat,Under 15K,Moderate,18 to 64,State,Cd #2,18 to 29,25 to 29,Democrat,25 to 29,0.489
20.0,1.0,2.0,First call,30-39,White,Male,King,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Clinton,Democrat,,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.541
20.0,1.0,3.0,First call,60-64,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #2,60 and over,60 and over,Democrat,50 to 64,0.703
20.0,1.0,4.0,First call,65 and over,White,Female,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,15 to 30K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.652
20.0,1.0,5.0,First call,25-29,White,Female,Other,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,50 to 75K,Liberal,18 to 64,State,Cd #2,18 to 29,25 to 29,Democrat,25 to 29,0.521
20.0,1.0,6.0,First call,65 and over,White,Female,Longley,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Republican,Under 15K,Conservative,65 and over,State,Cd #2,60 and over,60 and over,Republican,65 and over,0.8170000000000001
20.0,1.0,7.0,First call,45-49,,Male,Other,Disapprove,Approve,,Yes,Yes,Yes,Better,Clinton,Independent,30 to 50K,,18 to 64,State,Cd #2,45 to 59,40 to 49,Independent/Other,40 to 49,0.576
20.0,1.0,8.0,First call,18-24,White,Female,King,,Disapprove,Neither,No,No,Yes,Better,Did not vote,Democrat,50 to 75K,Liberal,18 to 64,State,Cd #2,18 to 29,18 to 24,Democrat,18 to 24,0.489
20.0,1.0,9.0,First call,30-39,White,Female,Longley,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Republican,Under 15K,Conservative,18 to 64,State,Cd #2,30 to 44,30 to 39,Republican,30 to 39,0.628
20.0,1.0,10.0,First call,50-59,White,Female,King,Disapprove,Disapprove,Neither,No,Yes,Yes,Better,Dole,Republican,100K or more,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Republican,50 to 64,0.501
20.0,1.0,11.0,Second call,65 and over,White,,King,Approve,Approve,Neither,No,No,Yes,Same,,Independent,15 to 30K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.703
20.0,1.0,12.0,Second call,30-39,White,Male,King,Approve,Disapprove,Neither,No,Yes,Yes,Same,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.541
20.0,1.0,13.0,Second call,50-59,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,30 to 50K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.541
20.0,1.0,14.0,Second call,65 and over,White,Female,King,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Independent,30 to 50K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.652
