V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
1.0,0.0,G,38.0,1.0,1.0,First call,1.0,40-44,White,Female,Wyden,Sizemore,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,HS grad,Under 15K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,40 to 49,Republican,40 to 49,0.646,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,2.0,First call,1.0,30-39,White,Male,Lim,Sizemore,Disapprove,Disapprove,Support Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,HS grad,,Moderate,18 to 64,Pro-environment,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,3.0,First call,1.0,65 and over,White,Female,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,HS grad,50 to 75K,Conservative,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.552,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,4.0,First call,1.0,30-39,White,Male,Wyden,Sizemore,Approve,Disapprove,Neither,No,No,No,No,Same,Perot,Republican,HS grad,Under 15K,Liberal,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.6799999999999999,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,5.0,First call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,,Under 15K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.599,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,6.0,First call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.631,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,7.0,First call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,Yes,No,Yes,Yes,Same,Dole,Republican,Some college,Under 15K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.631,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,8.0,First call,1.0,65 and over,White,Male,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Perot,Republican,HS grad,75 to 100K,Conservative,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.5820000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,9.0,First call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,Approve,Neither,No,No,Yes,No,Better,Clinton,Independent,Some college,15 to 30K,Moderate,65 and over,,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.599,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,10.0,First call,1.0,30-39,White,Male,Wyden,Kitzhaber,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.6829999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,11.0,Second call,1.0,65 and over,White,Male,Lim,Kitzhaber,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,Some college,30 to 50K,Conservative,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.5840000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,12.0,Second call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,Yes,No,No,No,Worse,Clinton,Democrat,HS grad,,Liberal,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.631,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,13.0,Second call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,,Neither,No,No,No,No,Worse,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.599,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,14.0,Second call,1.0,40-44,White,Male,Lim,Sizemore,Disapprove,Approve,Neither,No,Yes,Yes,No,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,,State,Complete,East/West,30 to 44,40 to 49,Republican,40 to 49,0.628,Unfavorable,Exit poll
