V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1.0,0.0,G,13.0,12.0,1.0,First call,1.0,45-49,White,Female,Crapo,Kempthorne,Approve,Approve,Neither,No,No,No,Same,,Something else,15 to 30K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Independent/Other,40 to 49,1.412
1.0,0.0,G,13.0,12.0,2.0,First call,1.0,40-44,White,Female,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,100K or more,Conservative,18 to 64,State,Ada County,30 to 44,40 to 49,Republican,40 to 49,1.412
1.0,0.0,G,13.0,12.0,3.0,First call,1.0,60-64,White,Male,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.7840000000000003
1.0,0.0,G,13.0,12.0,4.0,First call,1.0,50-59,White,Female,Crapo,Kempthorne,Disapprove,Approve,Neither,No,No,No,Same,Dole,Independent,75 to 100K,Conservative,18 to 64,State,Ada County,45 to 59,50 to 59,Independent/Other,50 to 64,1.412
1.0,0.0,G,13.0,12.0,5.0,First call,1.0,40-44,White,Male,Crapo,Kempthorne,Disapprove,Disapprove,Neither,No,Yes,No,Same,Perot,Republican,30 to 50K,Moderate,18 to 64,State,Ada County,30 to 44,40 to 49,Republican,40 to 49,1.477
1.0,0.0,G,13.0,12.0,6.0,First call,1.0,65 and over,White,Female,Mauk,Huntley,Approve,Disapprove,Neither,No,No,Yes,Same,,,30 to 50K,Moderate,65 and over,State,Ada County,60 and over,60 and over,,65 and over,1.359
1.0,0.0,G,13.0,12.0,7.0,First call,1.0,50-59,White,Male,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Ada County,45 to 59,50 to 59,Republican,50 to 64,1.477
1.0,0.0,G,13.0,12.0,8.0,First call,1.0,50-59,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Republican,50 to 64,1.477
1.0,0.0,G,13.0,12.0,9.0,First call,1.0,60-64,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Neither,,Yes,,Same,Dole,Republican,75 to 100K,,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.708
1.0,0.0,G,13.0,12.0,10.0,First call,1.0,45-49,White,Male,Mauk,Huntley,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Ada County,45 to 59,40 to 49,Democrat,40 to 49,1.176
1.0,0.0,G,13.0,12.0,11.0,First call,1.0,,White,Female,Mauk,Huntley,Approve,Disapprove,,,,,,Dole,,,,,State,Ada County,,,,,1.1219999999999999
1.0,0.0,G,13.0,12.0,12.0,First call,1.0,45-49,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,No,Same,Dole,Independent,50 to 75K,Conservative,18 to 64,State,Ada County,45 to 59,40 to 49,Independent/Other,40 to 49,1.412
1.0,0.0,G,13.0,12.0,13.0,First call,1.0,45-49,White,Male,Crapo,Kempthorne,Approve,Approve,Neither,No,No,Yes,Better,Dole,Republican,75 to 100K,Liberal,18 to 64,State,Ada County,45 to 59,40 to 49,Republican,40 to 49,1.477
1.0,0.0,G,13.0,12.0,14.0,Second call,1.0,30-39,White,Female,Mauk,Huntley,Approve,Disapprove,Support Clinton,No,No,Yes,Same,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,Ada County,30 to 44,30 to 39,Democrat,30 to 39,1.1219999999999999
1.0,0.0,G,13.0,12.0,15.0,Second call,1.0,65 and over,White,Male,Mauk,Huntley,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,15 to 30K,Conservative,65 and over,State,Ada County,60 and over,60 and over,Democrat,65 and over,1.42
1.0,0.0,G,13.0,12.0,16.0,Second call,1.0,45-49,White,Male,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Worse,Dole,,15 to 30K,Conservative,18 to 64,State,Ada County,45 to 59,40 to 49,,40 to 49,1.477
1.0,0.0,G,13.0,12.0,17.0,Second call,1.0,65 and over,White,Male,Mauk,Huntley,Approve,,Neither,No,No,No,Same,Clinton,Democrat,15 to 30K,Moderate,65 and over,State,Ada County,60 and over,60 and over,Democrat,65 and over,1.42
1.0,0.0,G,13.0,12.0,18.0,Second call,1.0,30-39,White,Male,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Independent,50 to 75K,Moderate,18 to 64,State,Ada County,30 to 44,30 to 39,Independent/Other,30 to 39,1.477
1.0,0.0,G,13.0,12.0,19.0,Second call,1.0,40-44,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Clinton,Something else,Under 15K,Moderate,18 to 64,State,Ada County,30 to 44,40 to 49,Independent/Other,40 to 49,1.412
1.0,0.0,G,13.0,12.0,20.0,Second call,1.0,50-59,White,Female,Crapo,Kempthorne,Approve,Approve,Neither,No,No,No,Same,Did not vote,Democrat,30 to 50K,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Democrat,50 to 64,1.412
1.0,0.0,G,13.0,12.0,21.0,Second call,1.0,50-59,White,Male,Mauk,Huntley,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Better,Perot,Democrat,30 to 50K,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Democrat,50 to 64,1.176
1.0,0.0,G,13.0,12.0,22.0,Second call,1.0,,White,Female,Crapo,Kempthorne,,,,,,,,,,,,,State,Ada County,,,,,1.412
1.0,0.0,G,13.0,12.0,23.0,Second call,1.0,60-64,White,Male,Mauk,Other,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Ada County,60 and over,60 and over,Democrat,50 to 64,2.2880000000000003
1.0,0.0,G,13.0,12.0,24.0,Second call,1.0,50-59,White,Female,Mauk,Huntley,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Clinton,Independent,50 to 75K,Liberal,18 to 64,State,Ada County,45 to 59,50 to 59,Independent/Other,50 to 64,1.1219999999999999
1.0,0.0,G,13.0,12.0,25.0,Second call,1.0,60-64,White,Female,Mauk,Huntley,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Ada County,60 and over,60 and over,Democrat,50 to 64,1.359
1.0,0.0,G,13.0,12.0,26.0,Second call,1.0,65 and over,White,Male,Mauk,Kempthorne,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,100K or more,Moderate,65 and over,State,Ada County,60 and over,60 and over,Democrat,65 and over,1.6219999999999999
1.0,0.0,G,13.0,12.0,27.0,Second call,1.0,50-59,White,Female,Crapo,Huntley,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Republican,50 to 64,1.236
1.0,0.0,G,13.0,12.0,28.0,Second call,1.0,65 and over,White,Female,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,Ada County,60 and over,60 and over,Republican,65 and over,1.708
1.0,0.0,G,13.0,12.0,29.0,Third call,1.0,40-44,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Neither,Yes,Yes,No,Better,Dole,Democrat,75 to 100K,Moderate,18 to 64,State,Ada County,30 to 44,40 to 49,Democrat,40 to 49,1.412
1.0,0.0,G,13.0,12.0,30.0,Third call,1.0,60-64,White,Male,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,100K or more,Moderate,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.7840000000000003
1.0,0.0,G,13.0,12.0,31.0,Third call,1.0,18-24,White,Female,Crapo,Kempthorne,Approve,Approve,Neither,No,No,No,Better,Did not vote,Something else,,,18 to 64,State,Ada County,18 to 29,18 to 24,Independent/Other,18 to 24,1.5699999999999998
1.0,0.0,G,13.0,12.0,32.0,Third call,1.0,45-49,White,Female,Crapo,Kempthorne,Approve,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Ada County,45 to 59,40 to 49,Republican,40 to 49,1.412
1.0,0.0,G,13.0,12.0,33.0,Third call,1.0,40-44,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Ada County,30 to 44,40 to 49,Republican,40 to 49,1.412
1.0,0.0,G,13.0,12.0,34.0,Third call,1.0,45-49,White,Female,Mauk,Huntley,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,100K or more,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Democrat,40 to 49,1.1219999999999999
1.0,0.0,G,13.0,12.0,35.0,Third call,1.0,50-59,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Independent,100K or more,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Independent/Other,50 to 64,1.477
1.0,0.0,G,13.0,12.0,36.0,Third call,1.0,30-39,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Ada County,30 to 44,30 to 39,Republican,30 to 39,1.477
1.0,0.0,G,13.0,12.0,37.0,Third call,1.0,60-64,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.708
1.0,0.0,G,13.0,12.0,38.0,Third call,1.0,45-49,White,Male,Crapo,Kempthorne,Disapprove,Disapprove,Neither,No,Yes,Yes,Same,Dole,Something else,50 to 75K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Independent/Other,40 to 49,1.477
1.0,0.0,G,13.0,12.0,39.0,Third call,1.0,40-44,White,Male,Mauk,Huntley,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Ada County,30 to 44,40 to 49,Democrat,40 to 49,1.176
1.0,0.0,G,13.0,12.0,40.0,Third call,1.0,30-39,,Male,Crapo,Kempthorne,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Ada County,30 to 44,30 to 39,Republican,30 to 39,1.477
1.0,0.0,G,13.0,12.0,41.0,Third call,1.0,18-24,White,Female,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,No,Same,Perot,Independent,15 to 30K,Liberal,18 to 64,State,Ada County,18 to 29,18 to 24,Independent/Other,18 to 24,1.5699999999999998
1.0,0.0,G,13.0,12.0,42.0,Third call,1.0,18-24,White,Female,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Ada County,18 to 29,18 to 24,Republican,18 to 24,1.5699999999999998
1.0,0.0,G,13.0,12.0,43.0,Third call,1.0,30-39,White,Male,Crapo,Kempthorne,Disapprove,Disapprove,Neither,Yes,Yes,No,Better,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Ada County,30 to 44,30 to 39,Republican,30 to 39,1.477
1.0,0.0,G,13.0,12.0,44.0,Third call,1.0,60-64,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.708
1.0,0.0,G,13.0,12.0,45.0,Third call,1.0,30-39,White,Female,Mauk,Huntley,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,50 to 75K,Liberal,18 to 64,State,Ada County,30 to 44,30 to 39,Democrat,30 to 39,1.1219999999999999
1.0,0.0,G,13.0,12.0,46.0,Third call,1.0,60-64,White,Female,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,75 to 100K,Moderate,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.708
1.0,0.0,G,13.0,12.0,47.0,Third call,1.0,18-24,White,Female,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,Ada County,18 to 29,18 to 24,Republican,18 to 24,1.5699999999999998
1.0,0.0,G,13.0,12.0,48.0,Third call,1.0,30-39,White,Female,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,No,Better,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Ada County,30 to 44,30 to 39,Republican,30 to 39,1.412
1.0,0.0,G,13.0,12.0,49.0,Third call,1.0,18-24,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,No,Better,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Ada County,18 to 29,18 to 24,Republican,18 to 24,1.6400000000000001
1.0,0.0,G,13.0,12.0,50.0,Third call,1.0,18-24,,Female,Crapo,Kempthorne,Disapprove,Approve,,Yes,No,No,Better,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Ada County,18 to 29,18 to 24,Republican,18 to 24,1.5699999999999998
1.0,0.0,G,13.0,12.0,51.0,Third call,1.0,60-64,White,Female,Mauk,Kempthorne,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Ada County,60 and over,60 and over,Democrat,50 to 64,1.552
1.0,0.0,G,13.0,12.0,52.0,Third call,1.0,25-29,White,Female,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,No,No,Yes,Worse,Dole,Republican,30 to 50K,Moderate,18 to 64,State,Ada County,18 to 29,25 to 29,Republican,25 to 29,1.5699999999999998
1.0,0.0,G,13.0,12.0,53.0,Third call,1.0,45-49,White,Male,Crapo,Kempthorne,Disapprove,,Neither,No,Yes,Yes,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Republican,40 to 49,1.477
1.0,0.0,G,13.0,12.0,54.0,Third call,1.0,30-39,White,Female,Crapo,Kempthorne,Approve,Approve,Neither,No,No,,Same,Clinton,Republican,50 to 75K,Conservative,18 to 64,State,Ada County,30 to 44,30 to 39,Republican,30 to 39,1.412
1.0,0.0,G,13.0,12.0,55.0,Third call,1.0,45-49,White,Male,Crapo,Kempthorne,Approve,Approve,Neither,No,No,Yes,Same,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Republican,40 to 49,1.477
1.0,0.0,G,13.0,12.0,56.0,Third call,1.0,45-49,White,Female,Crapo,Kempthorne,Disapprove,Approve,,,,,,,,,,18 to 64,State,Ada County,45 to 59,40 to 49,,40 to 49,1.412
1.0,0.0,G,13.0,12.0,57.0,Third call,1.0,30-39,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,No,No,No,Better,Dole,Republican,100K or more,Moderate,18 to 64,State,Ada County,30 to 44,30 to 39,Republican,30 to 39,1.477
1.0,0.0,G,13.0,12.0,58.0,Third call,1.0,30-39,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Neither,No,No,,Same,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Ada County,30 to 44,30 to 39,Republican,30 to 39,1.412
1.0,0.0,G,13.0,12.0,59.0,Third call,1.0,45-49,Hispanic,Male,Crapo,Kempthorne,Approve,Approve,Neither,No,No,No,Same,Dole,Republican,30 to 50K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Republican,40 to 49,1.411
1.0,0.0,G,13.0,12.0,60.0,Third call,1.0,60-64,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,,Yes,Yes,No,Worse,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.708
1.0,0.0,G,13.0,12.0,61.0,Third call,1.0,18-24,Other,Female,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Did not vote,Something else,75 to 100K,Conservative,18 to 64,State,Ada County,18 to 29,18 to 24,Independent/Other,18 to 24,1.5699999999999998
