V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1.0,0.0,G,40.0,3.0,1.0,First call,1.0,45-49,White,Female,York,Approve,Approve,Neither,No,Yes,Yes,Same,Dole,Independent,30 to 50K,Moderate,18 to 64,York,State,Warwick/suburbs,45 to 59,40 to 49,Independent/Other,40 to 49,0.705
1.0,0.0,G,40.0,3.0,2.0,First call,1.0,65 and over,White,Male,Almond,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Worse,Dole,Republican,Under 15K,Conservative,65 and over,Almond,State,Warwick/suburbs,60 and over,60 and over,Republican,65 and over,1.055
1.0,0.0,G,40.0,3.0,3.0,First call,1.0,45-49,White,Female,York,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Better,Clinton,Democrat,100K or more,Conservative,18 to 64,York,State,Warwick/suburbs,45 to 59,40 to 49,Democrat,40 to 49,0.705
1.0,0.0,G,40.0,3.0,4.0,First call,1.0,65 and over,White,Male,Almond,Disapprove,Disapprove,Neither,No,No,Yes,Same,Perot,Republican,15 to 30K,Conservative,65 and over,Almond,State,Warwick/suburbs,60 and over,60 and over,Republican,65 and over,1.055
1.0,0.0,G,40.0,3.0,5.0,First call,1.0,65 and over,White,Male,York,Approve,Approve,Support Clinton,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,65 and over,York,State,Warwick/suburbs,60 and over,60 and over,Democrat,65 and over,0.877
1.0,0.0,G,40.0,3.0,6.0,First call,1.0,65 and over,White,Male,Almond,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,15 to 30K,Liberal,65 and over,Almond,State,Warwick/suburbs,60 and over,60 and over,Democrat,65 and over,1.055
1.0,0.0,G,40.0,3.0,7.0,First call,1.0,65 and over,White,Female,Almond,Approve,Approve,Oppose Clinton,No,No,,Worse,Dole,Independent,,Conservative,65 and over,Almond,State,Warwick/suburbs,60 and over,60 and over,Independent/Other,65 and over,1.134
1.0,0.0,G,40.0,3.0,8.0,First call,1.0,65 and over,White,Female,York,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Independent,30 to 50K,Moderate,65 and over,York,State,Warwick/suburbs,60 and over,60 and over,Independent/Other,65 and over,0.945
1.0,0.0,G,40.0,3.0,9.0,First call,1.0,65 and over,White,Female,Almond,,,,,,,,Clinton,,,,65 and over,Almond,State,Warwick/suburbs,60 and over,60 and over,,65 and over,1.134
1.0,0.0,G,40.0,3.0,10.0,First call,1.0,30-39,White,Female,Almond,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Independent,30 to 50K,Moderate,18 to 64,Almond,State,Warwick/suburbs,30 to 44,30 to 39,Independent/Other,30 to 39,0.8480000000000001
1.0,0.0,G,40.0,3.0,11.0,First call,1.0,45-49,White,Female,Almond,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,75 to 100K,Conservative,18 to 64,Almond,State,Warwick/suburbs,45 to 59,40 to 49,Democrat,40 to 49,0.8480000000000001
1.0,0.0,G,40.0,3.0,12.0,First call,1.0,60-64,White,Female,York,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Republican,75 to 100K,Moderate,18 to 64,York,State,Warwick/suburbs,60 and over,60 and over,Republican,50 to 64,0.945
1.0,0.0,G,40.0,3.0,13.0,First call,1.0,18-24,White,Male,York,Approve,Approve,Neither,No,No,Yes,Same,Did not vote,Independent,50 to 75K,Liberal,18 to 64,York,State,Warwick/suburbs,18 to 29,18 to 24,Independent/Other,18 to 24,0.798
1.0,0.0,G,40.0,3.0,14.0,First call,1.0,50-59,White,Female,York,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,30 to 50K,Liberal,18 to 64,York,State,Warwick/suburbs,45 to 59,50 to 59,Democrat,50 to 64,0.705
1.0,0.0,G,40.0,3.0,15.0,Second call,1.0,45-49,White,Male,York,Approve,Disapprove,Neither,No,No,Yes,Worse,Clinton,Democrat,30 to 50K,Conservative,18 to 64,,State,Warwick/suburbs,45 to 59,40 to 49,Democrat,40 to 49,0.656
1.0,0.0,G,40.0,3.0,16.0,Second call,1.0,65 and over,White,Female,York,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,75 to 100K,Conservative,65 and over,York,State,Warwick/suburbs,60 and over,60 and over,Democrat,65 and over,0.945
1.0,0.0,G,40.0,3.0,17.0,Second call,1.0,45-49,White,Female,Almond,Approve,,Neither,No,No,No,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,Almond,State,Warwick/suburbs,45 to 59,40 to 49,Democrat,40 to 49,0.8480000000000001
1.0,0.0,G,40.0,3.0,18.0,Second call,1.0,50-59,White,Female,York,Approve,Approve,Neither,No,No,Yes,Same,Clinton,Democrat,75 to 100K,Liberal,18 to 64,York,State,Warwick/suburbs,45 to 59,50 to 59,Democrat,50 to 64,0.705
1.0,0.0,G,40.0,3.0,19.0,Second call,1.0,65 and over,White,Male,York,Approve,Disapprove,Neither,No,No,Yes,Worse,Clinton,Independent,Under 15K,Moderate,65 and over,York,State,Warwick/suburbs,60 and over,60 and over,Independent/Other,65 and over,0.877
1.0,0.0,G,40.0,3.0,20.0,Second call,1.0,45-49,White,Female,Almond,Approve,,Support Clinton,No,No,No,Same,Clinton,Democrat,,Conservative,18 to 64,Almond,State,Warwick/suburbs,45 to 59,40 to 49,Democrat,40 to 49,0.8480000000000001
1.0,0.0,G,40.0,3.0,21.0,Second call,1.0,30-39,White,Male,York,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Something else,75 to 100K,Moderate,18 to 64,York,State,Warwick/suburbs,30 to 44,30 to 39,Independent/Other,30 to 39,0.656
1.0,0.0,G,40.0,3.0,22.0,Second call,1.0,18-24,White,Female,York,Approve,Disapprove,Neither,No,No,No,Worse,Did not vote,Democrat,100K or more,Liberal,18 to 64,York,State,Warwick/suburbs,18 to 29,18 to 24,Democrat,18 to 24,0.8580000000000001
1.0,0.0,G,40.0,3.0,23.0,Second call,1.0,40-44,White,Female,York,Approve,Approve,Neither,No,No,No,Same,Clinton,Independent,15 to 30K,Conservative,18 to 64,York,State,Warwick/suburbs,30 to 44,40 to 49,Independent/Other,40 to 49,0.705
1.0,0.0,G,40.0,3.0,24.0,Third call,1.0,45-49,White,Female,York,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,York,State,Warwick/suburbs,45 to 59,40 to 49,Democrat,40 to 49,0.705
1.0,0.0,G,40.0,3.0,25.0,Third call,1.0,30-39,White,Male,Almond,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Independent,30 to 50K,Moderate,18 to 64,Almond,State,Warwick/suburbs,30 to 44,30 to 39,Independent/Other,30 to 39,0.786
1.0,0.0,G,40.0,3.0,26.0,Third call,1.0,65 and over,White,Female,York,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,Under 15K,Liberal,65 and over,York,State,Warwick/suburbs,60 and over,60 and over,Democrat,65 and over,0.945
1.0,0.0,G,40.0,3.0,27.0,Third call,1.0,45-49,,Female,York,Approve,Approve,Neither,No,No,No,Worse,Clinton,Democrat,30 to 50K,Liberal,18 to 64,York,State,Warwick/suburbs,45 to 59,40 to 49,Democrat,40 to 49,0.705
1.0,0.0,G,40.0,3.0,28.0,Third call,1.0,45-49,White,Male,Almond,Approve,Disapprove,Support Clinton,No,No,No,Same,Perot,Independent,50 to 75K,Moderate,18 to 64,Almond,State,Warwick/suburbs,45 to 59,40 to 49,Independent/Other,40 to 49,0.786
1.0,0.0,G,40.0,3.0,29.0,Third call,1.0,40-44,White,Male,Almond,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,15 to 30K,Conservative,18 to 64,Almond,State,Warwick/suburbs,30 to 44,40 to 49,Democrat,40 to 49,0.786
1.0,0.0,G,40.0,3.0,30.0,Third call,1.0,,Asian,Male,Almond,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,,,,Almond,State,Warwick/suburbs,,,Democrat,,0.786
1.0,0.0,G,40.0,3.0,31.0,Third call,1.0,40-44,White,Female,Almond,Approve,Approve,Neither,No,No,No,Same,Clinton,Independent,50 to 75K,Moderate,18 to 64,Almond,State,Warwick/suburbs,30 to 44,40 to 49,Independent/Other,40 to 49,0.8480000000000001
1.0,0.0,G,40.0,3.0,32.0,Third call,1.0,30-39,White,,Almond,Disapprove,Approve,Neither,Yes,Yes,,Same,Other,Democrat,30 to 50K,Moderate,18 to 64,Almond,State,Warwick/suburbs,30 to 44,30 to 39,Democrat,30 to 39,0.8480000000000001
1.0,0.0,G,40.0,3.0,33.0,Third call,1.0,45-49,White,Male,Almond,Approve,Approve,Neither,No,No,Yes,Better,Clinton,Republican,50 to 75K,Moderate,18 to 64,Almond,State,Warwick/suburbs,45 to 59,40 to 49,Republican,40 to 49,0.786
1.0,0.0,G,40.0,3.0,34.0,Third call,1.0,50-59,White,Female,Almond,Approve,Approve,Neither,No,No,Yes,Same,Dole,Independent,30 to 50K,Moderate,18 to 64,Almond,State,Warwick/suburbs,45 to 59,50 to 59,Independent/Other,50 to 64,0.8480000000000001
1.0,0.0,G,40.0,3.0,35.0,Third call,1.0,25-29,White,Male,Almond,Disapprove,Disapprove,Neither,No,No,No,Same,Perot,Democrat,15 to 30K,Moderate,18 to 64,Almond,State,Warwick/suburbs,18 to 29,25 to 29,Democrat,25 to 29,0.9580000000000001
1.0,0.0,G,40.0,3.0,36.0,Third call,1.0,30-39,White,Female,Almond,Approve,Approve,Neither,Yes,Yes,Yes,Better,Clinton,Independent,30 to 50K,Liberal,18 to 64,Almond,State,Warwick/suburbs,30 to 44,30 to 39,Independent/Other,30 to 39,0.8480000000000001
1.0,0.0,G,40.0,3.0,37.0,Third call,1.0,30-39,White,Male,York,Approve,Approve,Support Clinton,No,No,Yes,Same,Clinton,Independent,30 to 50K,Conservative,18 to 64,York,State,Warwick/suburbs,30 to 44,30 to 39,Independent/Other,30 to 39,0.656
1.0,0.0,G,40.0,3.0,38.0,Third call,1.0,40-44,Other,Female,York,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,York,State,Warwick/suburbs,30 to 44,40 to 49,Democrat,40 to 49,0.705
1.0,0.0,G,40.0,3.0,39.0,Third call,1.0,25-29,White,Female,Almond,Approve,Approve,Neither,No,No,No,Better,Clinton,Independent,50 to 75K,Conservative,18 to 64,Almond,State,Warwick/suburbs,18 to 29,25 to 29,Independent/Other,25 to 29,1.031
1.0,0.0,G,40.0,3.0,40.0,Third call,1.0,25-29,White,Male,Almond,Approve,Approve,Neither,No,No,No,Better,Did not vote,,30 to 50K,,18 to 64,Almond,State,Warwick/suburbs,18 to 29,25 to 29,,25 to 29,0.9580000000000001
1.0,0.0,G,40.0,3.0,41.0,Third call,1.0,65 and over,White,Male,Almond,Approve,Disapprove,Oppose Clinton,Yes,Yes,No,Same,Perot,Independent,75 to 100K,Conservative,65 and over,Almond,State,Warwick/suburbs,60 and over,60 and over,Independent/Other,65 and over,1.055
1.0,0.0,G,40.0,5.0,1.0,First call,1.0,60-64,White,Male,York,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,100K or more,Liberal,18 to 64,York,State,Warwick/suburbs,60 and over,60 and over,Democrat,50 to 64,0.857
1.0,0.0,G,40.0,5.0,2.0,First call,1.0,30-39,White,Female,Almond,Disapprove,Approve,Neither,No,No,Yes,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,Almond,State,Warwick/suburbs,30 to 44,30 to 39,Democrat,30 to 39,0.8260000000000001
1.0,0.0,G,40.0,5.0,3.0,First call,1.0,50-59,White,Female,Almond,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Independent,,Moderate,18 to 64,Almond,State,Warwick/suburbs,45 to 59,50 to 59,Independent/Other,50 to 64,0.8260000000000001
