State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places)
19.0,9.0,1.0,First call,30-39,Hispanic,Male,Breaux,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,15 to 30K,Moderate,18 to 64,National,Protestant North,30 to 44,30 to 39,Democrat,30 to 39,0.386
19.0,9.0,2.0,First call,45-49,White,Male,Breaux,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Independent,15 to 30K,Moderate,18 to 64,National,Protestant North,45 to 59,40 to 49,Independent/Other,40 to 49,0.27399999999999997
19.0,9.0,3.0,First call,50-59,White,Male,Breaux,Disapprove,Disapprove,Neither,No,No,Yes,No,Same,Dole,Republican,100K or more,Conservative,18 to 64,National,Protestant North,45 to 59,50 to 59,Republican,50 to 64,0.27399999999999997
19.0,9.0,4.0,First call,40-44,White,Male,Donelon,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,,Republican,,Conservative,18 to 64,National,Protestant North,30 to 44,40 to 49,Republican,40 to 49,0.279
19.0,9.0,5.0,First call,45-49,White,Female,Breaux,Disapprove,Approve,Neither,No,No,No,No,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,National,Protestant North,45 to 59,40 to 49,Republican,40 to 49,0.298
19.0,9.0,6.0,First call,50-59,White,Male,Donelon,Disapprove,Disapprove,Neither,No,No,No,Yes,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,National,Protestant North,45 to 59,50 to 59,Republican,50 to 64,0.279
19.0,9.0,7.0,First call,40-44,White,Female,Breaux,Approve,,,,,,,Same,,Independent,75 to 100K,Moderate,18 to 64,National,Protestant North,30 to 44,40 to 49,Independent/Other,40 to 49,0.298
19.0,9.0,8.0,First call,45-49,White,Female,Donelon,Disapprove,,,,,,,Worse,,Republican,75 to 100K,Conservative,18 to 64,National,Protestant North,45 to 59,40 to 49,Republican,40 to 49,0.302
19.0,9.0,9.0,First call,60-64,White,Male,Breaux,Approve,,,,,,,Better,,Democrat,15 to 30K,Conservative,18 to 64,National,Protestant North,60 and over,60 and over,Democrat,50 to 64,0.297
19.0,9.0,10.0,First call,65 and over,White,Male,Breaux,Disapprove,,,,,,,Same,,Republican,30 to 50K,Conservative,65 and over,National,Protestant North,60 and over,60 and over,Republican,65 and over,0.297
19.0,9.0,11.0,First call,40-44,White,Female,Breaux,Disapprove,,,,,,,Same,,Republican,100K or more,Moderate,18 to 64,National,Protestant North,30 to 44,40 to 49,Republican,40 to 49,0.298
19.0,9.0,12.0,First call,30-39,White,Male,Donelon,Disapprove,,,,,,,,,,,,18 to 64,National,Protestant North,30 to 44,30 to 39,,30 to 39,0.279
19.0,9.0,13.0,Second call,45-49,White,Female,Breaux,Approve,Disapprove,Neither,No,No,Yes,Yes,Better,Dole,Republican,75 to 100K,Conservative,18 to 64,National,Protestant North,45 to 59,40 to 49,Republican,40 to 49,0.298
19.0,9.0,14.0,Second call,65 and over,White,Female,Breaux,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,30 to 50K,Moderate,65 and over,National,Protestant North,60 and over,60 and over,Democrat,65 and over,0.321
19.0,9.0,15.0,Second call,65 and over,White,Female,Breaux,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Moderate,65 and over,National,Protestant North,60 and over,60 and over,Republican,65 and over,0.321
19.0,9.0,16.0,Second call,65 and over,White,Female,Donelon,Disapprove,Disapprove,Neither,Yes,,Yes,No,Same,Dole,Republican,,Conservative,65 and over,National,Protestant North,60 and over,60 and over,Republican,65 and over,0.32499999999999996
19.0,9.0,17.0,Second call,65 and over,White,Female,Breaux,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Worse,Dole,Republican,15 to 30K,Moderate,65 and over,National,Protestant North,60 and over,60 and over,Republican,65 and over,0.321
19.0,9.0,18.0,Second call,65 and over,White,Female,Breaux,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,,Dole,Independent,,Moderate,65 and over,National,Protestant North,60 and over,60 and over,Independent/Other,65 and over,0.321
19.0,9.0,19.0,Second call,65 and over,Hispanic,Female,Donelon,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,,Clinton,Democrat,100K or more,Liberal,65 and over,National,Protestant North,60 and over,60 and over,Democrat,65 and over,0.457
19.0,9.0,20.0,Second call,45-49,White,Female,Breaux,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,75 to 100K,Moderate,18 to 64,National,Protestant North,45 to 59,40 to 49,Democrat,40 to 49,0.298
19.0,9.0,21.0,Second call,45-49,White,Male,Donelon,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,National,Protestant North,45 to 59,40 to 49,Republican,40 to 49,0.279
19.0,9.0,22.0,Second call,65 and over,White,Female,Donelon,Disapprove,,,,,,,,,,,,65 and over,National,Protestant North,60 and over,60 and over,,65 and over,0.32499999999999996
19.0,9.0,23.0,Second call,65 and over,White,Male,Donelon,Approve,,,,,,,Same,,Republican,50 to 75K,Conservative,65 and over,National,Protestant North,60 and over,60 and over,Republican,65 and over,0.301
