State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,House Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places)
35.0,7.0,1.0,First call,65 and over,White,Male,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Worse,Dole,Republican,Under 15K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.537
35.0,7.0,2.0,First call,65 and over,White,Male,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Same,Dole,Republican,15 to 30K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.537
35.0,7.0,3.0,First call,50-59,White,Female,Dorgan,Pomeroy,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Clinton,Independent,Under 15K,Conservative,18 to 64,State,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.716
35.0,7.0,4.0,First call,50-59,White,Female,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Worse,Dole,Republican,Under 15K,Conservative,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.976
35.0,7.0,5.0,First call,45-49,White,Male,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,15 to 30K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,1.188
35.0,7.0,6.0,First call,40-44,White,Female,Dorgan,Pomeroy,Approve,Approve,Neither,No,Yes,Yes,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Democrat,40 to 49,0.716
35.0,7.0,7.0,First call,65 and over,White,Male,Nalewaja,Cramer,Approve,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,75 to 100K,Moderate,65 and over,State,South,60 and over,60 and over,Democrat,65 and over,1.537
35.0,7.0,8.0,First call,45-49,White,Male,Nalewaja,Cramer,Disapprove,Approve,Neither,,,,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,1.188
35.0,7.0,9.0,First call,65 and over,White,Female,Nalewaja,Other,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Moderate,65 and over,State,South,60 and over,60 and over,Republican,65 and over,2.25
35.0,7.0,10.0,First call,65 and over,White,Female,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,,Yes,Yes,Worse,Dole,Republican,Under 15K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.262
35.0,7.0,11.0,First call,65 and over,White,Male,Dorgan,Pomeroy,Disapprove,Disapprove,Neither,No,No,Yes,Same,Dole,Independent,,Conservative,65 and over,State,South,60 and over,60 and over,Independent/Other,65 and over,1.125
35.0,7.0,12.0,Second call,50-59,White,Male,Dorgan,Pomeroy,Approve,,Neither,No,No,Yes,Same,Dole,,Under 15K,Conservative,18 to 64,State,South,45 to 59,50 to 59,,50 to 64,0.8740000000000001
35.0,7.0,13.0,Second call,60-64,White,Female,Dorgan,Cramer,Disapprove,Disapprove,Neither,No,Yes,Yes,Same,Clinton,Independent,30 to 50K,Moderate,18 to 64,State,South,60 and over,60 and over,Independent/Other,50 to 64,0.8620000000000001
35.0,7.0,14.0,Second call,65 and over,White,Male,Nalewaja,Cramer,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.537
