V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42
1.0,0.0,G,11.0,2.0,1.0,First call,1.0,30-39,White,Male,Coles,Barnes,Approve,Disapprove,Neither,No,Excellent,No,No,No,Better,Dole,Both,Republican,College grad,50 to 75K,Conservative,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Republican,30 to 39,0.39499999999999996,Economy/jobs,Ethic/moral,Unfavorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,2.0,First call,1.0,30-39,White,Female,Coverdale,Millner,Disapprove,Approve,Neither,Yes,Good,Yes,Yes,Yes,Better,Dole,Neither,Something else,Some college,30 to 50K,Conservative,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Independent/Other,30 to 39,0.6489999999999999,Taxes,Ethic/moral,Unfavorable,Favorable,No
1.0,0.0,G,11.0,2.0,3.0,First call,1.0,30-39,White,Female,Coles,Barnes,Approve,Disapprove,Support Clinton,No,Good,No,No,No,Better,Clinton,Barnes,Democrat,College grad,50 to 75K,Moderate,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Democrat,30 to 39,0.433,Health Care,Ethic/moral,Unfavorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,4.0,First call,1.0,40-44,White,Female,Coles,Millner,Approve,Disapprove,Neither,No,Good,No,No,No,Better,Clinton,Both,Democrat,Some college,30 to 50K,Liberal,18 to 64,State,Complete,North and South,30 to 44,40 to 49,Democrat,40 to 49,0.571,Education,Ethic/moral,Favorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,5.0,First call,1.0,60-64,White,Male,Coles,Barnes,Approve,Disapprove,Neither,No,Good,No,No,Yes,Same,Clinton,Barnes,Independent,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,North and South,60 and over,60 and over,Independent/Other,50 to 64,0.481,Health Care,Education,Favorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,6.0,First call,1.0,30-39,White,Male,Loftman,Cashin,Disapprove,Disapprove,Neither,No,Good,Yes,Yes,Yes,Worse,,,,Some college,30 to 50K,,18 to 64,State,Complete,North and South,30 to 44,30 to 39,,30 to 39,0.21100000000000002,,,Unfavorable,,No
1.0,0.0,G,11.0,2.0,7.0,First call,1.0,25-29,White,Male,Coverdale,Millner,Disapprove,Approve,Neither,No,Excellent,Yes,Yes,No,Same,Dole,Millner,Republican,Some college,30 to 50K,Conservative,18 to 64,State,Complete,North and South,18 to 29,25 to 29,Republican,25 to 29,0.777,Taxes,State taxes,Unfavorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,8.0,First call,1.0,40-44,White,Female,Coles,Barnes,Approve,Approve,Neither,No,Good,No,No,Yes,Same,Clinton,Barnes,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,State,Complete,North and South,30 to 44,40 to 49,Democrat,40 to 49,0.433,Health Care,,Favorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,9.0,First call,1.0,25-29,White,Female,Coles,Barnes,Approve,Approve,Neither,No,Excellent,No,No,No,Better,Clinton,Both,Something else,Postgrad,75 to 100K,Liberal,18 to 64,State,Complete,North and South,18 to 29,25 to 29,Independent/Other,25 to 29,0.571,Education,Education,Favorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,10.0,First call,1.0,40-44,White,Male,Coverdale,Millner,Disapprove,Approve,Oppose Clinton,No,Good,Yes,Yes,No,Better,Dole,Millner,Republican,Some college,100K or more,Conservative,18 to 64,State,Complete,North and South,30 to 44,40 to 49,Republican,40 to 49,0.591,Clin/Lwnskny,Economy/jobs,Unfavorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,11.0,First call,1.0,25-29,Black,Female,Coles,Barnes,Approve,Disapprove,Neither,No,Good,No,No,No,Better,Did not vote,Barnes,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,State,Complete,North and South,18 to 29,25 to 29,Democrat,25 to 29,0.38899999999999996,Economy/jobs,Economy/jobs,Favorable,Unfavorable,No
1.0,0.0,G,11.0,2.0,12.0,First call,1.0,50-59,White,Male,Coverdale,Millner,Approve,Approve,Neither,No,Good,No,Yes,Yes,Same,Dole,Both,Democrat,Some college,30 to 50K,Moderate,18 to 64,State,Complete,North and South,45 to 59,50 to 59,Democrat,50 to 64,0.591,Taxes,State taxes,Unfavorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,13.0,First call,1.0,30-39,White,Female,Coles,Millner,Disapprove,Disapprove,Neither,Yes,Good,No,Yes,No,Worse,Perot,Both,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Democrat,30 to 39,0.571,Economy/jobs,Education,Unfavorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,14.0,First call,1.0,30-39,Black,Female,Coles,Barnes,Approve,Approve,Support Clinton,No,Excellent,Yes,Yes,Yes,Better,Clinton,Barnes,Democrat,HS grad,15 to 30K,Liberal,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Democrat,30 to 39,0.295,Health Care,Ethic/moral,Favorable,Favorable,No
1.0,0.0,G,11.0,2.0,15.0,First call,1.0,50-59,White,Male,Coverdale,Millner,Approve,Disapprove,Neither,No,Good,No,No,Yes,Same,Clinton,Millner,Republican,College grad,100K or more,,18 to 64,State,Complete,North and South,45 to 59,50 to 59,Republican,50 to 64,0.591,Economy/jobs,Economy/jobs,Favorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,16.0,First call,1.0,30-39,White,Male,Coverdale,Millner,Disapprove,Approve,Neither,No,Good,Yes,No,No,Worse,Dole,Neither,Republican,College grad,50 to 75K,Conservative,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Republican,30 to 39,0.591,Taxes,State taxes,Unfavorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,17.0,First call,1.0,45-49,White,Female,Coverdale,Barnes,Approve,Disapprove,Neither,No,Good,No,No,Yes,Same,Clinton,Both,Democrat,HS grad,50 to 75K,Moderate,18 to 64,State,Complete,North and South,45 to 59,40 to 49,Democrat,40 to 49,0.493,Taxes,State taxes,Favorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,18.0,First call,1.0,30-39,White,Female,Coles,Barnes,Disapprove,Disapprove,Neither,Yes,Poor,Yes,Yes,No,Same,Other,Barnes,Independent,HS grad,30 to 50K,Conservative,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Independent/Other,30 to 39,0.433,Social Security,Education,Unfavorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,19.0,Second call,1.0,30-39,White,Female,Loftman,Cashin,Disapprove,Disapprove,Oppose Clinton,No,Good,Yes,Yes,Yes,Same,Perot,Millner,Something else,College grad,100K or more,Moderate,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Independent/Other,30 to 39,0.231,Taxes,State taxes,Unfavorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,20.0,Second call,1.0,30-39,Other,Male,Coverdale,Millner,Disapprove,Approve,Neither,No,Excellent,Yes,Yes,No,Same,Dole,Both,Independent,College grad,75 to 100K,Moderate,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Independent/Other,30 to 39,0.591,,State taxes,Unfavorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,21.0,Second call,1.0,30-39,White,Female,,Barnes,Approve,,Neither,,Good,No,Yes,No,Better,Clinton,Barnes,Democrat,HS grad,30 to 50K,Liberal,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Democrat,30 to 39,0.458,,Education,Unfavorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,22.0,Second call,1.0,30-39,White,Female,Loftman,Cashin,Disapprove,Approve,Neither,No,Not so good,Yes,Yes,Yes,Better,Clinton,Neither,Independent,College grad,50 to 75K,Moderate,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Independent/Other,30 to 39,0.231,Taxes,Ethic/moral,Unfavorable,Favorable,No
1.0,0.0,G,11.0,2.0,23.0,Second call,1.0,30-39,White,Female,Coverdale,Millner,Disapprove,Approve,Oppose Clinton,Yes,Good,Yes,Yes,Yes,Same,Did not vote,Millner,Republican,Some college,30 to 50K,Conservative,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Republican,30 to 39,0.6489999999999999,Education,Education,Unfavorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,24.0,Second call,1.0,30-39,Black,Female,Coles,Barnes,Approve,Disapprove,Neither,No,Excellent,No,No,No,Better,Clinton,Neither,Democrat,College grad,50 to 75K,Moderate,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Democrat,30 to 39,0.295,Economy/jobs,Economy/jobs,Favorable,Unfavorable,No
1.0,0.0,G,11.0,2.0,25.0,Second call,1.0,30-39,White,Male,Coverdale,Barnes,Disapprove,Approve,Neither,Yes,Good,Yes,Yes,Yes,Same,Perot,Barnes,Independent,HS grad,30 to 50K,Moderate,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Independent/Other,30 to 39,0.447,,,Unfavorable,Favorable,Yes
1.0,0.0,G,11.0,2.0,26.0,Second call,1.0,30-39,White,Female,Coverdale,Barnes,Disapprove,Approve,Neither,Yes,Good,,,,Worse,Perot,Barnes,Republican,Some college,50 to 75K,Conservative,18 to 64,State,Complete,North and South,30 to 44,30 to 39,Republican,30 to 39,0.493,Education,Ethic/moral,,Favorable,Yes
1.0,0.0,G,11.0,2.0,27.0,Third call,1.0,40-44,White,Male,Coverdale,Barnes,Disapprove,Disapprove,Neither,Yes,Excellent,No,Yes,Yes,Same,Clinton,Both,Democrat,HS grad,30 to 50K,Moderate,18 to 64,State,Complete,North and South,30 to 44,40 to 49,Democrat,40 to 49,0.447,,Ethic/moral,Unfavorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,28.0,Third call,1.0,50-59,White,Female,Coverdale,Barnes,Approve,Approve,Neither,No,Good,No,No,Yes,Same,Dole,Both,Something else,HS grad,50 to 75K,Moderate,18 to 64,State,Complete,North and South,45 to 59,50 to 59,Independent/Other,50 to 64,0.493,Taxes,Crime/drugs,Favorable,Unfavorable,Yes
1.0,0.0,G,11.0,2.0,29.0,Third call,1.0,25-29,White,Male,Coles,Barnes,Approve,Approve,Neither,No,Good,No,No,Yes,Better,Clinton,Both,Democrat,Postgrad,50 to 75K,Conservative,18 to 64,State,Complete,North and South,18 to 29,25 to 29,Democrat,25 to 29,0.518,Education,Education,Unfavorable,Unfavorable,Yes
