State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Who attacked unfairly?,Who had more ads?,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,How to improve Gov tax plan,Party ID,Education,Religion,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Future of state economy,Clinton as person,Union memeber in HH
50.0,1.0,1.0,First call,,White,,Feingold,,,,,,,,,,,,,,,,,,,State,Not complete,Northwest,,,,,0.794,Social Security,,,
50.0,1.0,2.0,First call,65 and over,White,Female,Feingold,Garvey,Disapprove,Disapprove,Both,About the same,Neither,Yes,Yes,Yes,Worse,Perot,Most important,Independent,HS grad,Catholic,Under 15K,Conservative,65 and over,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.6859999999999999,Taxes,Worse,Unfavorable,Yes
50.0,1.0,3.0,First call,65 and over,White,Male,Feingold,Garvey,,,Both,,,,,,,,One factor,,,,,,65 and over,State,Not complete,Northwest,60 and over,60 and over,,65 and over,0.699,Social Security,,,No
50.0,1.0,4.0,First call,65 and over,White,Female,Feingold,Garvey,Approve,Disapprove,Neumann,Neumann,Support Clinton,No,No,No,Better,Clinton,Not a factor,Democrat,Postgrad,Protestant,15 to 30K,Liberal,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.6859999999999999,Eonomy/jobs,Same,Favorable,No
50.0,1.0,5.0,First call,65 and over,White,Female,Feingold,Garvey,Approve,Approve,,,Support Clinton,No,No,No,Worse,Clinton,,Democrat,Some college,Protestant,,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.6859999999999999,Taxes,Better,Favorable,
50.0,1.0,6.0,First call,50-59,White,Male,Neumann,Thompson,Disapprove,Approve,Neither,Neumann,Oppose Clinton,Yes,Yes,Yes,Same,Dole,One factor,Republican,Postgrad,None,75 to 100K,Conservative,18 to 64,State,Complete,Northwest,45 to 59,50 to 59,Republican,50 to 64,0.7589999999999999,,Better,Unfavorable,No
50.0,1.0,7.0,First call,65 and over,White,Male,Feingold,Garvey,Approve,,Neumann,Feingold,,,,,Better,,One factor,,,Protestant,,,65 and over,State,Complete,Northwest,60 and over,60 and over,,65 and over,0.699,Taxes,,Favorable,Yes
50.0,1.0,8.0,First call,50-59,White,Male,Neumann,Thompson,Disapprove,Approve,Feingold,About the same,Neither,Yes,Yes,Yes,Better,Dole,One factor,Republican,College grad,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Northwest,45 to 59,50 to 59,Republican,50 to 64,0.7589999999999999,Eonomy/jobs,Better,Unfavorable,No
50.0,1.0,9.0,First call,65 and over,White,Female,Neumann,Garvey,,,Neumann,Neumann,,,,,,,One factor,,,,,,65 and over,State,Not complete,Northwest,60 and over,60 and over,,65 and over,0.607,,,,No
50.0,1.0,10.0,First call,65 and over,White,Female,Neumann,Thompson,Disapprove,Approve,,Neumann,Oppose Clinton,,Yes,Yes,Same,Dole,One factor,Republican,Some college,Protestant,15 to 30K,Conservative,65 and over,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.6829999999999999,,Same,Unfavorable,No
50.0,1.0,11.0,First call,18-24,White,Male,Feingold,Thompson,Approve,Approve,Neither,About the same,Neither,No,No,Yes,,Did not vote,One factor,Independent,No HS,Protestant,50 to 75K,Liberal,18 to 64,State,Complete,Northwest,18 to 29,18 to 24,Independent/Other,18 to 24,0.849,Education,Better,Favorable,No
50.0,1.0,12.0,First call,65 and over,White,Female,Neumann,Thompson,Disapprove,,Feingold,Feingold,Neither,Yes,,,Same,Clinton,,Republican,No HS,Protestant,Under 15K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.6829999999999999,Social Security,Same,Unfavorable,No
50.0,1.0,13.0,First call,65 and over,White,Female,Feingold,Garvey,Approve,Disapprove,Neumann,Neumann,Support Clinton,No,No,No,Same,Clinton,One factor,Democrat,Postgrad,Protestant,30 to 50K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.6859999999999999,Education,Same,Unfavorable,No
50.0,1.0,14.0,First call,65 and over,White,Male,Neumann,Garvey,,Disapprove,Both,About the same,Neither,No,No,No,Worse,Clinton,One factor,Democrat,HS grad,Protestant,15 to 30K,Conservative,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.621,Social Security,Worse,,No
50.0,1.0,15.0,First call,60-64,White,Male,Feingold,Garvey,Approve,Disapprove,Neumann,Neumann,Neither,No,No,No,Worse,Clinton,Most important,Democrat,Postgrad,Protestant,15 to 30K,Moderate,18 to 64,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.699,,Worse,Favorable,No
50.0,1.0,16.0,First call,65 and over,White,Male,Neumann,Thompson,Disapprove,Approve,,Neumann,Neither,Yes,Yes,,Same,Dole,One factor,Republican,No HS,Protestant,Under 15K,Conservative,65 and over,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.698,,,Unfavorable,No
50.0,1.0,17.0,First call,65 and over,White,Female,Neumann,Garvey,Approve,Approve,Both,Neumann,Support Clinton,No,No,No,Same,Clinton,One factor,Democrat,HS grad,Catholic,15 to 30K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.607,Social Security,Worse,Favorable,No
50.0,1.0,18.0,First call,65 and over,White,Male,Neumann,Garvey,Approve,Disapprove,Both,About the same,Neither,No,No,Yes,Worse,Dole,Not a factor,Republican,HS grad,Protestant,50 to 75K,Conservative,65 and over,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.621,Education,Better,Unfavorable,No
50.0,1.0,19.0,First call,65 and over,White,Female,Feingold,Garvey,Approve,Disapprove,Neumann,Neumann,Neither,No,No,Yes,Same,Clinton,Not a factor,Independent,Postgrad,Protestant,30 to 50K,Conservative,65 and over,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.6859999999999999,,Same,Unfavorable,No
50.0,1.0,20.0,First call,65 and over,White,Male,Feingold,Garvey,Approve,Disapprove,Neumann,Feingold,,,,,,,One factor,,,,,,65 and over,State,Complete,Northwest,60 and over,60 and over,,65 and over,0.699,,,,No
50.0,1.0,21.0,First call,65 and over,White,Male,Neumann,Garvey,Approve,Approve,Neumann,Neumann,Support Clinton,No,No,No,Better,Clinton,,Republican,No HS,Catholic,15 to 30K,,65 and over,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.621,,Same,Favorable,Yes
50.0,1.0,22.0,First call,30-39,White,Male,Feingold,Thompson,,,Both,Feingold,,,,,,,Most important,,,,,,18 to 64,State,Not complete,Northwest,30 to 44,30 to 39,,30 to 39,0.855,Taxes,,,Yes
50.0,1.0,23.0,First call,30-39,White,Male,Neumann,Thompson,Approve,Approve,Neither,About the same,Neither,No,Yes,No,Better,Clinton,One factor,Republican,Some college,Other Christian,50 to 75K,Moderate,18 to 64,State,Complete,Northwest,30 to 44,30 to 39,Republican,30 to 39,0.7589999999999999,Taxes,Same,Unfavorable,Yes
50.0,1.0,24.0,First call,50-59,White,Female,Feingold,Garvey,Approve,Approve,Neumann,,Neither,No,No,No,Worse,Clinton,Most important,Independent,Postgrad,Catholic,15 to 30K,Moderate,18 to 64,State,Complete,Northwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.7449999999999999,Education,Same,Favorable,Yes
50.0,1.0,25.0,First call,65 and over,White,Male,Neumann,Thompson,Approve,Disapprove,Both,About the same,Neither,No,No,Yes,Same,Dole,One factor,Independent,College grad,Protestant,15 to 30K,Conservative,65 and over,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.698,Abortion,Same,Unfavorable,No
50.0,1.0,26.0,Second call,40-44,White,Female,Neumann,Thompson,Disapprove,Disapprove,Both,About the same,Neither,Yes,Yes,No,Same,Clinton,One factor,Republican,Postgrad,Protestant,30 to 50K,Conservative,18 to 64,State,Complete,Northwest,30 to 44,40 to 49,Republican,40 to 49,0.741,Taxes,Worse,Unfavorable,No
50.0,1.0,27.0,Second call,50-59,White,Male,Neumann,Thompson,Disapprove,Approve,Feingold,About the same,Oppose Clinton,Yes,Yes,No,Worse,Clinton,One factor,Democrat,College grad,Protestant,30 to 50K,Moderate,18 to 64,State,Complete,Northwest,45 to 59,50 to 59,Democrat,50 to 64,0.7589999999999999,Social Security,Same,Unfavorable,No
50.0,1.0,28.0,Second call,65 and over,White,Female,Neumann,Garvey,,,Neither,About the same,,,,,,,One factor,,,,,,65 and over,State,Not complete,Northwest,60 and over,60 and over,,65 and over,0.607,,,,No
50.0,1.0,29.0,Second call,30-39,White,Male,Feingold,Garvey,Approve,Disapprove,Both,Neumann,Support Clinton,No,No,No,Same,Clinton,One factor,Democrat,HS grad,Catholic,30 to 50K,Moderate,18 to 64,State,Complete,Northwest,30 to 44,30 to 39,Democrat,30 to 39,0.7609999999999999,Eonomy/jobs,Same,Favorable,No
50.0,1.0,30.0,Second call,40-44,White,Male,Neumann,Thompson,Disapprove,Disapprove,Neumann,Neumann,,Yes,Yes,Yes,Same,Dole,One factor,Republican,HS grad,Something else,Under 15K,Conservative,18 to 64,State,Complete,Northwest,30 to 44,40 to 49,Republican,40 to 49,0.7589999999999999,Social Security,Worse,Unfavorable,Yes
50.0,1.0,31.0,Second call,60-64,White,Female,Neumann,Thompson,Disapprove,Disapprove,Both,About the same,Neither,Yes,Yes,,Same,Dole,Not a factor,Republican,HS grad,Other Christian,,Conservative,18 to 64,State,Complete,Northwest,60 and over,60 and over,Republican,50 to 64,0.6829999999999999,Abortion,,Unfavorable,No
50.0,1.0,32.0,Second call,65 and over,White,Female,Feingold,Thompson,Approve,Disapprove,,Neumann,Support Clinton,No,No,No,Same,Clinton,One factor,Democrat,Some college,Protestant,15 to 30K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.769,Social Security,Same,Favorable,No
50.0,1.0,33.0,Second call,65 and over,White,Female,Neumann,Garvey,Approve,Approve,Neither,About the same,Neither,No,Yes,Yes,Same,Clinton,One factor,Something else,HS grad,Protestant,15 to 30K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.607,Social Security,Same,Favorable,Yes
50.0,1.0,34.0,Second call,25-29,White,Female,Feingold,Garvey,Approve,Approve,Neumann,About the same,Neither,No,No,Yes,Better,Clinton,One factor,Democrat,College grad,Catholic,50 to 75K,Moderate,18 to 64,State,Complete,Northwest,18 to 29,25 to 29,Democrat,25 to 29,0.74,,Same,Unfavorable,No
50.0,1.0,35.0,Second call,45-49,White,Male,Feingold,Thompson,Approve,Disapprove,Neither,About the same,Neither,No,No,No,Same,Clinton,Not a factor,Independent,Some college,Protestant,30 to 50K,Liberal,18 to 64,State,Complete,Northwest,45 to 59,40 to 49,Independent/Other,40 to 49,0.855,Eonomy/jobs,Better,Unfavorable,No
50.0,1.0,36.0,Second call,45-49,White,Female,Neumann,Thompson,Approve,Disapprove,Both,Neumann,Neither,No,No,Yes,Worse,Other,One factor,Something else,College grad,Other Christian,Under 15K,Liberal,18 to 64,State,Complete,Northwest,45 to 59,40 to 49,Independent/Other,40 to 49,0.741,Eonomy/jobs,Worse,Favorable,No
50.0,1.0,37.0,Second call,60-64,White,Female,Feingold,Garvey,Approve,Approve,Neither,About the same,Neither,No,No,Yes,Same,Clinton,Most important,Democrat,HS grad,Protestant,30 to 50K,Moderate,18 to 64,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.6859999999999999,Social Security,Better,Favorable,No
50.0,1.0,38.0,Second call,65 and over,White,Male,Feingold,Garvey,Approve,Disapprove,Neumann,Neumann,Support Clinton,No,No,Yes,Better,Clinton,One factor,Independent,Some college,Protestant,50 to 75K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.699,Social Security,Same,Favorable,No
50.0,1.0,39.0,Second call,40-44,White,Male,Neumann,Thompson,Disapprove,Disapprove,Both,Neumann,Oppose Clinton,Yes,Yes,Yes,Worse,Dole,One factor,Republican,Some college,Something else,30 to 50K,Conservative,18 to 64,State,Complete,Northwest,30 to 44,40 to 49,Republican,40 to 49,0.7589999999999999,Taxes,Worse,Unfavorable,Yes
50.0,1.0,40.0,Second call,30-39,White,Male,Neumann,Thompson,,,Feingold,Neumann,,,,,,,One factor,,,,,,18 to 64,State,Not complete,Northwest,30 to 44,30 to 39,,30 to 39,0.7589999999999999,Abortion,,,No
50.0,1.0,41.0,Second call,65 and over,White,Female,Feingold,Thompson,,Disapprove,,About the same,Neither,No,No,Yes,Same,Dole,One factor,Republican,HS grad,Protestant,Under 15K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.769,Eonomy/jobs,Better,Unfavorable,Yes
50.0,1.0,42.0,Second call,50-59,White,Female,Neumann,Garvey,Approve,Disapprove,,,Neither,No,No,Yes,Worse,Dole,One factor,Republican,HS grad,Protestant,Under 15K,Conservative,18 to 64,State,Complete,Northwest,45 to 59,50 to 59,Republican,50 to 64,0.6599999999999999,Social Security,Same,Unfavorable,No
50.0,1.0,43.0,Second call,65 and over,White,Female,Feingold,Garvey,Approve,Disapprove,Both,About the same,Neither,No,No,No,Same,Clinton,One factor,Democrat,HS grad,Protestant,15 to 30K,Conservative,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.6859999999999999,Social Security,Same,Unfavorable,No
50.0,1.0,44.0,Second call,40-44,White,Male,Neumann,Garvey,Approve,Disapprove,Both,About the same,Neither,No,No,No,Worse,Clinton,Not a factor,Independent,HS grad,None,50 to 75K,Moderate,18 to 64,State,Complete,Northwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.674,Taxes,Same,Favorable,No
