State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Which is more important,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person
16.0,5.0,1.0,First call,30-39,White,Female,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,No,No,No,Better,Dole,Republican,College grad,15 to 30K,Moderate,18 to 64,Spend on educ,State,Complete,Central,30 to 44,30 to 39,Republican,30 to 39,0.776,Unfavorable
16.0,5.0,2.0,First call,,White,,Grassley,Lightfoot,,,,,,,,,,Republican,No HS,Under 15K,,,,State,Complete,Central,,,Republican,,0.776,
16.0,5.0,3.0,First call,50-59,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,0.8,Favorable
16.0,5.0,4.0,First call,65 and over,White,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,No,Worse,Clinton,Democrat,HS grad,Under 15K,Moderate,65 and over,Cut taxes,State,Complete,Central,60 and over,60 and over,Democrat,65 and over,0.898,Favorable
16.0,5.0,5.0,First call,50-59,White,Female,Grassley,Lightfoot,Disapprove,Approve,Neither,Yes,,Yes,Yes,Same,Other,Republican,HS grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.776,Unfavorable
16.0,5.0,6.0,First call,50-59,White,Male,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,,Same,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.785,Unfavorable
16.0,5.0,7.0,First call,45-49,White,Male,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,40 to 49,Democrat,40 to 49,0.808,Favorable
16.0,5.0,8.0,First call,60-64,White,Male,Grassley,Lightfoot,,Disapprove,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,Central,60 and over,60 and over,Democrat,50 to 64,0.8820000000000001,Unfavorable
16.0,5.0,9.0,First call,50-59,White,Female,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,No,No,Worse,Dole,Independent,Some college,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.776,Unfavorable
16.0,5.0,10.0,First call,50-59,White,Male,Osterberg,Lightfoot,Approve,Disapprove,Neither,No,Yes,Yes,Yes,Worse,Clinton,Democrat,HS grad,Under 15K,Conservative,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,0.793,Favorable
16.0,5.0,11.0,Second call,65 and over,White,Male,,Vilsack,,Disapprove,Neither,Yes,No,Yes,No,Same,Perot,Independent,HS grad,Under 15K,Conservative,65 and over,Cut taxes,State,Complete,Central,60 and over,60 and over,Independent/Other,65 and over,0.907,Favorable
16.0,5.0,12.0,Second call,60-64,White,Female,Grassley,Lightfoot,Disapprove,Approve,Neither,No,,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Spend on educ,State,Complete,Central,60 and over,60 and over,Republican,50 to 64,0.8720000000000001,Unfavorable
16.0,5.0,13.0,Second call,45-49,White,Female,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Better,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Cut taxes,State,Complete,Central,45 to 59,40 to 49,Republican,40 to 49,0.776,Unfavorable
16.0,5.0,14.0,Second call,50-59,White,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Independent,HS grad,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.799,Favorable
16.0,5.0,15.0,Second call,65 and over,White,Male,Osterberg,Vilsack,,Disapprove,Support Clinton,No,No,No,Yes,Same,Clinton,Democrat,No HS,,Moderate,65 and over,Spend on educ,State,Complete,Central,60 and over,60 and over,Democrat,65 and over,0.908,Favorable
16.0,5.0,16.0,Second call,45-49,,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,40 to 49,Independent/Other,40 to 49,0.799,Favorable
16.0,5.0,17.0,Second call,50-59,White,Female,Grassley,Lightfoot,Disapprove,,Oppose Clinton,No,,,Yes,Same,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.776,Unfavorable
16.0,5.0,18.0,Second call,65 and over,White,Male,,Vilsack,,Disapprove,Support Clinton,,No,No,,Same,Clinton,Democrat,No HS,,,65 and over,Cut taxes,State,Complete,Central,60 and over,60 and over,Democrat,65 and over,0.907,Favorable
16.0,5.0,19.0,Second call,50-59,White,Male,Grassley,Vilsack,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,Some college,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.8,Unfavorable
16.0,5.0,20.0,Second call,50-59,White,Female,Grassley,Vilsack,,Approve,Support Clinton,No,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,0.791,Favorable
16.0,5.0,21.0,Third call,50-59,White,Female,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,,Liberal,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,0.791,Favorable
16.0,5.0,22.0,Third call,40-44,White,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,,State,Complete,Central,30 to 44,40 to 49,Democrat,40 to 49,0.799,Favorable
16.0,5.0,23.0,Third call,45-49,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,Yes,No,Better,Clinton,Democrat,College grad,,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,40 to 49,Democrat,40 to 49,0.808,Favorable
16.0,5.0,24.0,Third call,60-64,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,Yes,No,No,Yes,Same,Clinton,,HS grad,15 to 30K,Moderate,18 to 64,,State,Complete,Central,60 and over,60 and over,,50 to 64,0.898,Unfavorable
16.0,5.0,25.0,Third call,45-49,White,Male,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,Yes,Better,Did not vote,Democrat,HS grad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,40 to 49,Democrat,40 to 49,0.808,Unfavorable
16.0,5.0,26.0,Third call,30-39,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,College grad,,Liberal,18 to 64,,State,Complete,Central,30 to 44,30 to 39,Independent/Other,30 to 39,0.8,Favorable
16.0,5.0,27.0,Third call,30-39,White,Female,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Cut taxes,State,Complete,Central,30 to 44,30 to 39,Republican,30 to 39,0.776,Unfavorable
16.0,5.0,28.0,Third call,50-59,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,No,Better,Perot,Democrat,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,0.799,Favorable
