ID,HOUND18,SENND18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,CRAMERLIB,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVCRAMER,FAVDEM2,FAVHEITKAMP,FAVMCONL,FAVPARTY,FAVPELOSI,FAVREP2,FAVSENND18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,HEITKAMPLIB,HOU,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVND18,KAVND18A,KAVND18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,VOTEISS18,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2
14700.0,Other,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,,1.0,,Omit,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Omit,Omit,Omit,,Omit,,Omit,Omit,Better,Donald Trump was not a factor,No,3.0,,,,,Other,No,,,,,,,,,,,No,No,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,,White,White,White,Midwest,,Other,Male,White men,Somewhat serious,Serious,Non married men,"Cities 50,000-500,000","Cities over 50,000",North Dakota,Other,,Telephone survey,,,,Hurt,Strongly or somewhat approve,Somewhat approve,,Version 2,,,0.0,,,Omit,Omit
14840.0,Other,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,,1.0,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,,3.0,Yes,Minor changes,,,Other,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Immigration,,,,No,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,Independent Men,All others,,,,,Black,Black,State questionnaire,,Black,Non-white,Black,Midwest,Omit,Other,Male,Black men,,,Married men,"Cities 50,000-500,000","Cities over 50,000",North Dakota,Other,Helped,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1,Didn't vote,,0.0,No,,,
14975.0,Other,Other,Keep it as is,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,1.0,The Democratic Party,,Too conservative,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,Omit,,Unfavorable,,,,,,4.0,,,The Democratic Party,About right,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest,,Other,Male,White men,,,,Suburbs,Suburbs,North Dakota,White suburban men,,Telephone survey,,,,,,,,Version 3,,Should be able to vote will be prevented from voting,0.0,,White Born-again/Evangelical Christians,,
48335.0,Other,Other,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 2,1.0,,The Democratic Party,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Favorable,Unfavorable,,Only Democratic Party,,Unfavorable,Neither,About the same,Donald Trump was not a factor,No,2.0,,,,,Other,No,,,,,,,,,,,,Yes,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,91.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,,White,White,White,Midwest,,Other,Female,White women,Not too serious,Not serious,Married women,Rural,Small Cities/Rural,North Dakota,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Somewhat disapprove,,Version 2,,,0.0,,,Somewhat important,Important
54771.0,Other,Other,Keep it as is,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Call 2,1.0,The Democratic Party,,Too conservative,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,Unfavorable,,Unfavorable,,,,,,1.0,,,The Democratic Party,About right,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,47.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest,,Other,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",North Dakota,Other,,Election day exit poll,,,,,,,,Version 3,,Should be able to vote will be prevented from voting,0.0,,All others,,
54984.0,Other,Other,Keep it as is,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 65+,Complete,Yes,Call 2,1.0,The Republican Party,,Too liberal,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Favorable,,Favorable,,,,,,4.0,,,The Democratic Party,Too liberal,Other,,,,,,,,,An important factor,Important,A factor,Yes,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative,109.0,Independent/Something else,Conservative Republicans,Other,Other,State questionnaire,Is willing to compromise,Hispanic/Latino,Non-white,Hispanic/Latino,Midwest,,Other,Male,Latino men,,,,Rural,Small Cities/Rural,North Dakota,Other,,Election day exit poll,,,,,,,,Version 3,,Should be able to vote will be prevented from voting,0.0,,All others,,
55023.0,Other,Other,,,,,,,,,,,,Complete,,Call 2,1.0,,Omit,,,,,,,Omit,Omit,Omit,,Omit,,Omit,Omit,Worse,To express opposition to Donald Trump,Yes,4.0,,,,,Other,No,,,,,,,,,,,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,109.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,,White,White,White,Midwest,,Other,Male,White men,Omit,Omit,,Rural,Small Cities/Rural,North Dakota,Other,,Election day exit poll,,,,Omit,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,,0.0,,,Very important,Important
61209.0,Other,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,All others,Complete,,Call 3,1.0,,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Favorable,Favorable,,Only Democratic Party,,Unfavorable,Only Heidi Heitkamp,About the same,Donald Trump was not a factor,No,3.0,,,,,Other,Yes,,,,,,,,,,,No,No,,,18-44,18-64,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,15.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,American Indian,State questionnaire,,Other,Non-white,American Indian,Midwest,,Other,Male,All other races,Very serious,Serious,Non married men,"Cities 50,000-500,000","Cities over 50,000",North Dakota,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,,0.0,,,Omit,Omit
61210.0,Other,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,All others,Complete,,Call 3,1.0,,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Favorable,Favorable,,Only Democratic Party,,Unfavorable,Only Heidi Heitkamp,About the same,Donald Trump was not a factor,No,3.0,,,,,Other,Yes,,,,,,,,,,,No,No,,,18-44,18-64,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,15.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,American Indian,State questionnaire,,Other,Non-white,American Indian,Midwest,,Other,Male,All other races,Very serious,Serious,Non married men,"Cities 50,000-500,000","Cities over 50,000",North Dakota,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,,0.0,,,Omit,Omit
62885.0,Other,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,Latino 65+,Complete,,Call 3,1.0,,Omit,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Unfavorable,Unfavorable,,Neither party,,Unfavorable,Neither,Better,Donald Trump was not a factor,No,4.0,,,,,Other,No,,,,,,,,,,,No,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Something else,Independent Women,All others,Moderate,72.0,Moderate/Liberal Republicans,Moderate Independents,Other,Other,State questionnaire,,Other,Non-white,Other,Midwest,,Other,Female,All other races,Somewhat serious,Serious,Married women,Rural,Small Cities/Rural,North Dakota,Other,,Election day exit poll,,,,No impact,Strongly or somewhat approve,Somewhat approve,,Version 2,,,0.0,,,Somewhat important,Important
