ID,SENNV18,GOVNV18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVHELLER,FAVMCONL,FAVPARTY,FAVPELOSI,FAVREP2,FAVROSEN,FAVSENNV18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,GUN16,GUNOWNER12,HEALTHCARE18,HELLERLIB,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVNV18,KAVNV18A,KAVNV18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,ROSENLIB,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,UNIONHH12,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2
14980.0,Jacky Rosen,Steve Sisolak,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,All others,Complete,No,,2.0,The Democratic Party,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,Unfavorable,,Omit,,,,,,,1.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Health care,A minor factor,Not important,A factor,No,No,,,45+,65+,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Other,Other,State questionnaire,Other,Non-white,Other,West,About right,,The Democratic candidate,Male,All other races,,,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,0.861637771129608,,All others,,
14981.0,Jacky Rosen,Steve Sisolak,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,,2.0,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,Unfavorable,,Favorable,,,,,,,1.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Health care,An important factor,Important,A factor,No,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,West,About right,,The Democratic candidate,Male,White men,,,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.98603987693787,,All others,,
14983.0,Jacky Rosen,Steve Sisolak,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,,2.0,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,Unfavorable,,Unfavorable,,,,,,,1.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Health care,An important factor,Important,A factor,No,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,West,Too conservative,,The Democratic candidate,Male,White men,,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.85742795467377,,All others,,
14984.0,Dean Heller,Adam Laxalt,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,2.0,The Republican Party,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,Favorable,,Unfavorable,,,,,,,1.0,The Republican candidate,Oppose,Yes,,About right,,,,,,,,Immigration,The most important factor,Important,A factor,No,No,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Male,White men,,,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,,,Version 3,,2.83318710327148,,All others,,
14985.0,Jacky Rosen,Steve Sisolak,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,2.0,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,Unfavorable,,Favorable,,,,,,,1.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Health care,The most important factor,Important,A factor,No,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,West,About right,,The Democratic candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.01008188724518,,All others,,
14986.0,Jacky Rosen,Steve Sisolak,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,2.0,The Democratic Party,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,Unfavorable,,Favorable,,,,,,,1.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Health care,A minor factor,Not important,A factor,No,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,West,About right,,The Democratic candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.32345485687256,,All others,,
14987.0,Dean Heller,Adam Laxalt,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,,2.0,The Republican Party,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,Favorable,,Unfavorable,,,,,,,1.0,The Republican candidate,Support,Yes,,About right,,,,,,,,Immigration,An important factor,Important,A factor,No,Yes,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Male,White men,,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,,,Version 3,,2.83318710327148,,White Born-again/Evangelical Christians,,
14988.0,Dean Heller,Adam Laxalt,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,2.0,The Republican Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,Favorable,,Unfavorable,,,,,,,1.0,The Republican candidate,Oppose,Yes,,About right,,,,,,,,Immigration,The most important factor,Important,A factor,No,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat approve,Strongly approve,,,Version 3,,2.08108758926392,,White Born-again/Evangelical Christians,,
14989.0,Jacky Rosen,Steve Sisolak,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,2.0,The Democratic Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,Unfavorable,,Favorable,,,,,,,1.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Health care,Not a factor at all,Not important,Not a factor,No,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,West,About right,,The Democratic candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.32345485687256,,All others,,
14990.0,Dean Heller,Adam Laxalt,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,2.0,The Republican Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,Omit,,Unfavorable,,,,,,,1.0,The Republican candidate,Oppose,Yes,,Omit,,,,,,,,Health care,An important factor,Important,A factor,No,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,West,Omit,,The Republican candidate,Female,White women,,,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Somewhat approve,,,Version 3,,2.7823314666748,,All others,,
