ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENCT06,GOVCT06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,LATINO,BUSH4,IRAQTRP,IRAQWAR,DROPOUT,LAMONTEXP,LIEBAGREE,IMPIRAQS,IMPTERRS,IMPECONS,IMPVALUES,FORCANDCT,TERRWORR,TERWORR2,SENCNTL,FORBUSHS,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
7289.0,Connecticut,3.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.922542870044708,Ned Lamont (Dem),John DeStefano (Dem),Male,White,75 or over,Independent,Liberal,$75k-$100k,Jewish,A few time a year,College graduate,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Yes,No,Too often,Extremely important,Somewhat important,Somewhat important,Not at all important,Against his opponents,Somewhat worried,Very/Somewhat worried,Demcorats,To express opposition to George W Bush, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,Less than $100k,Jewish,White Jewish,Ocassionally, All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,Suburbs,Suburbs,5.0,Competitive,East/West Rural,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7291.0,Connecticut,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.31524896621704,Joe Lieberman (CFL),John DeStefano (Dem),Male,White,65-74,Independent,Moderate,$150k-$200k,Protestant,Once a week,Postgraduate study,No,Strongly disapprove,Withdraw some troops,Strongly disapprove,No,No,Too often,Extremely important,Somewhat important,Extremely important,Not at all important,For your candidate,Somewhat worried,Very/Somewhat worried,Demcorats,George W Bush was not a factor, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,Suburbs,Suburbs,1.0,Strong Democratic,East/West Rural,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7293.0,Connecticut,3.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.828501403331757,Ned Lamont (Dem),John DeStefano (Dem),Female,White,60-64,Democratic,Liberal,$75k-$100k,Protestant,A few time a year,Postgraduate study,No,Strongly disapprove,Maintain the same number of troops,Strongly disapprove,Yes,Yes,Too often,Extremely important,Somewhat important,Somewhat important,Not at all important,For your candidate,Not too worried,Not too/Not at all worried,Demcorats,To express opposition to George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Same number or more troops,Disapprove,White,Suburbs,Suburbs,5.0,Competitive,East/West Rural,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7295.0,Connecticut,3.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.18296349048615,Joe Lieberman (CFL),M. Jodi Rell (Rep),Male,White,30-39,Independent,Moderate,$200k or more,Other Christian,More than once a week,College graduate,No,Somewhat approve,Maintain the same number of troops,Somewhat approve,No,No,About the right amount,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Against his opponents,Somewhat worried,Very/Somewhat worried,Republicans,George W Bush was not a factor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly, All others,College graduate,At least some college,Approve,Same number or more troops,Approve,White,Suburbs,Suburbs,5.0,Competitive,East/West Rural,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7297.0,Connecticut,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.31524896621704,Joe Lieberman (CFL),John DeStefano (Dem),Male,White,65-74,Democratic,Moderate,$150k-$200k,Protestant,A few time a year,Some college or associate degree,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,No,Yes,Too often,Somewhat important,Somewhat important,Somewhat important,Not at all important,For your candidate,Somewhat worried,Very/Somewhat worried,Demcorats,George W Bush was not a factor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,Suburbs,Suburbs,1.0,Strong Democratic,East/West Rural,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7300.0,Connecticut,3.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.828501403331757,Ned Lamont (Dem),John DeStefano (Dem),Female,White,65-74,Democratic,Moderate,$50k-$75k,Catholic,More than once a week,Some college or associate degree,No,Somewhat disapprove,No answer,Strongly disapprove,No,Yes,Too often,Extremely important,Extremely important,Somewhat important,Somewhat important,Against his opponents,Somewhat worried,Very/Somewhat worried,Demcorats,To express opposition to George W Bush, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Disapprove,No answer,Disapprove,White,Suburbs,Suburbs,5.0,Competitive,East/West Rural,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7304.0,Connecticut,3.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.826999962329865,Ned Lamont (Dem),John DeStefano (Dem),Female,White,18-24,Independent,Liberal,$50k-$75k,Other Christian,A few time a year,Some college or associate degree,No,Somewhat disapprove,Withdraw some troops,Somewhat disapprove,Yes,Yes,Too often,Somewhat important,Somewhat important,Somewhat important,Somewhat important,For your candidate,Somewhat worried,Very/Somewhat worried,Demcorats,To express opposition to George W Bush,In the last three days,Just today/In the last three days,Just today/In the last three days/Sometime last week,White female,White female,18-29,18-24,18-64,18-29,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally, All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,Suburbs,Suburbs,5.0,Competitive,East/West Rural,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7305.0,Connecticut,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.06237542629242,Joe Lieberman (CFL),M. Jodi Rell (Rep),Female,White,50-59,Republican,Moderate,$200k or more,Protestant, Never,College graduate,No,Somewhat approve,Maintain the same number of troops,Somewhat approve,No,No,About the right amount,Somewhat important,Somewhat important,Somewhat important,Not at all important,For your candidate,Somewhat worried,Very/Somewhat worried,Republicans,George W Bush was not a factor,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Never,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,White,Suburbs,Suburbs,1.0,Strong Democratic,East/West Rural,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7307.0,Connecticut,3.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28364026546478,Alan Schlesinger (Rep),M. Jodi Rell (Rep),Female,White,50-59,Republican,Conservative,$150k-$200k,Protestant,Once a week,High school graduate,No,Strongly approve,Send more troops,Somewhat approve,Yes,Yes,Noy often enough,Somewhat important,Extremely important,Somewhat important,Not at all important,Against his opponents,Somewhat worried,Very/Somewhat worried,Republicans,George W Bush was not a factor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,White,Suburbs,Suburbs,5.0,Competitive,East/West Rural,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
7311.0,Connecticut,3.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.06237542629242,Joe Lieberman (CFL),M. Jodi Rell (Rep),Female,White,30-39,Republican,Conservative,$100k-$150k,Protestant,A few time a year,College graduate,No,Strongly approve,Send more troops,Somewhat approve,No,No,About the right amount,Somewhat important,Somewhat important,Extremely important,Not at all important,For your candidate,Somewhat worried,Very/Somewhat worried,Republicans,To express support for George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,30-44,30-39,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,White,Suburbs,Suburbs,5.0,Competitive,East/West Rural,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
