ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENPA06,GOVPA06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,UNION4,MARRIED,CHILD,BUSH4,IRAQTRP,IRAQWAR,VOTE2004,IMPIRAQS,IMPTERRS,IMPECONS,IMPIMMIGS,IMPVALUES,ABORTION,ABORT2,STECPA,STEC2,FORCANDPA,FORBUSHS,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,WOMENWED,MOMS,MARCHILD,MARRIEDMOM,PARENTS,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
10734.0,Pennsylvania,129.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.63758540153503,Rick Santorum (Rep),Ed Rendell (Dem),Male,White,65-74,Something else,Moderate,$100k-$150k,Catholic,A few times a month,No,College graduate,No one does,Yes,Yes,Strongly approve,Withdraw some troops,Somewhat disapprove,George W. Bush (Rep),Somewhat important,Somewhat important,Extremely important,Extremely important,Somewhat important,Illegal in most cases,Illegal in most/all cases,Excellent,Excellent/Good,For your candidate,George W Bush was not a factor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,$100k or more,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Approve,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,White,Suburbs,Suburbs,7.0,Competitive,Philadelphia Suburbs,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
10744.0,Pennsylvania,96.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.07062292098999,Bob Casey (Dem),Ed Rendell (Dem),Male,White,50-59,Democratic,Liberal,$30k-$50k,None,Never,No,College graduate,No one does,No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,John Kerry (Dem),Extremely important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Legal in most cases,Legal in all/most cases,Good,Excellent/Good,Against his opponent,To express opposition to George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,None,White None,All others,All others,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,All others,All others,All men,Men without children,Single men,White,Suburbs,Suburbs,16.0,Strong Republican,Central and Northern Tier,Suburb,70s Suburbs,Urban Perimeter,Very upscale
10765.0,Pennsylvania,118.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.03365981578827,Bob Casey (Dem),Ed Rendell (Dem),Male,Black,45-49,Democratic,Moderate,$200k or more,Other Christian,Never,No,Postgraduate study,"Yes, I do and someone else does",,No,Strongly disapprove,Send more troops,Somewhat disapprove,John Kerry (Dem),Extremely important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Legal in all cases,Legal in all/most cases,Good,Excellent/Good,For your candidate,To express opposition to George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white male,Non-white,45-59,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,Protestant/Other Christian,Non-White,All others,All others,Never,All others,College graduate,At least some college,Disapprove,Same number or more troops,Disapprove,Yes,Yes,I am (voter is member),All others,All others,All others,,Men without children,,Black,Rural,Small Cities/Rural,11.0,Strong Democratic,Northeast,Suburb,Rural,Rural,Upscale
10866.0,Pennsylvania,129.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.26084303855896,Bob Casey (Dem),Ed Rendell (Dem),Male,White,40-44,Democratic,Liberal,$100k-$150k,Catholic,More than once a week,No,Postgraduate study,"Yes, I do",No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,John Kerry (Dem),Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Legal in most cases,Legal in all/most cases,Good,Excellent/Good,For your candidate,To express opposition to George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,30-44,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,Catholic,White Catholic,All others,All others,Weekly,Catholic/Attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,Yes,I am (voter is member),All others,All others,All others,All men,Men without children,Single men,White,Suburbs,Suburbs,7.0,Competitive,Philadelphia Suburbs,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
10887.0,Pennsylvania,96.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.878645658493042,Rick Santorum (Rep),Did not vote,Female,White,50-59,Republican,Moderate,$100k-$150k,Protestant,Once a week,No,High school graduate,No one does,Yes,No,Somewhat disapprove,Withdraw all troops,Strongly disapprove,George W. Bush (Rep),Extremely important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Illegal in most cases,Illegal in most/all cases,Not so godd,Not so good/Poor,Against his opponent,George W Bush was not a factor,In the last three days,Just today/In the last three days,Just today/In the last three days/Sometime last week,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),Married women,All others,All others,Other women, Women without children,Married women,White,Suburbs,Suburbs,16.0,Strong Republican,Central and Northern Tier,Suburb,70s Suburbs,Urban Perimeter,Very upscale
10895.0,Pennsylvania,118.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.42618405818939,Rick Santorum (Rep),Lynn Swann (Rep),Male,White,50-59,Republican,Conservative,$150k-$200k,Protestant,A few time a year,No,High school graduate,No one does,Yes,No,Strongly approve,Send more troops,Strongly approve,George W. Bush (Rep),Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,Illegal in most cases,Illegal in most/all cases,Good,Excellent/Good,For your candidate,To express support for George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others,All others,All others,All men,Men without children,Married men,White,Rural,Small Cities/Rural,11.0,Strong Democratic,Northeast,Suburb,Rural,Rural,Upscale
10991.0,Pennsylvania,129.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.19371378421783,Bob Casey (Dem),Ed Rendell (Dem),Female,White,50-59,Democratic,Moderate,$200k or more,Protestant,Never,No,College graduate,"Yes, I do and someone else does",No,No,Strongly disapprove,Withdraw some troops,Strongly disapprove,John Kerry (Dem),Extremely important,Somewhat important,Extremely important,Not at all important,Not at all important,Legal in all cases,Legal in all/most cases,Good,Excellent/Good,For your candidate,To express opposition to George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Never,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,Yes,I am (voter is member),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,7.0,Competitive,Philadelphia Suburbs,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
10996.0,Pennsylvania,118.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.35025179386139,Rick Santorum (Rep),Lynn Swann (Rep),Female,White,50-59,Republican,Conservative,$30k-$50k,Protestant,Never,No,High school graduate,No one does,,No,Strongly approve,Send more troops,Strongly approve,George W. Bush (Rep),Extremely important,Extremely important,Extremely important,Somewhat important,Not at all important,Illegal in all cases,Illegal in most/all cases,Not so godd,Not so good/Poor,For your candidate,To express support for George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Never,Protestant/Do not attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others,All others,All others,, Women without children,,White,Rural,Small Cities/Rural,11.0,Strong Democratic,Northeast,Suburb,Rural,Rural,Upscale
10998.0,Pennsylvania,96.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01362121105194,Bob Casey (Dem),Ed Rendell (Dem),Female,White,30-39,Democratic,Liberal,$30k-$50k,None,Never,No,College graduate,"Yes, I do",No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,John Kerry (Dem),Extremely important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Legal in all cases,Legal in all/most cases,Not so godd,Not so good/Poor,For your candidate,To express opposition to George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,30-44,30-39,18-64,30-59,Democratic,Less than $50k,Less than $100k,None,White None,All others,All others,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,Yes,I am (voter is member),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,16.0,Strong Republican,Central and Northern Tier,Suburb,70s Suburbs,Urban Perimeter,Very upscale
11004.0,Pennsylvania,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.00071310997009,Bob Casey (Dem),Ed Rendell (Dem),Female,White,75 or over,Independent,Moderate,$50k-$75k,Catholic,Once a week,No,High school graduate,No one does,No,No,Strongly disapprove,Withdraw some troops,Strongly disapprove,John Kerry (Dem),Extremely important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Legal in most cases,Legal in all/most cases,Good,Excellent/Good,Against his opponent,To express opposition to George W Bush, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,All others,All others,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,11.0,Strong Democratic,Northeast,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale
