ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,GOVGA06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,BRNAGAIN,LATINO,BUSH4,IRAQWAR,NEWTPRES,STECGA,STEC2,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,WHTEVANG,BUSH,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
12448.0, Georgia,134.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.61443042755127,Mark Taylor (Dem),Male,White,60-64,Independent,Conservative,$50k-$75k,Yes,No,Strongly disapprove,Somewhat disapprove,,,,Deported to the country they came from,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,$50k or more,Less than $100k,White Evangelical Born Again Christians,Disapprove,Disapprove,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
12633.0, Georgia,134.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.819362282752991,Sonny Perdue (Rep),Female,White,18-24,Independent,Liberal,$75k-$100k,Yes,,Strongly approve,Somewhat approve,,,,Deported to the country they came from,White female,White female,18-29,18-24,18-64,18-29,Independent/Something else,$50k or more,Less than $100k,White Evangelical Born Again Christians,Approve,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
12798.0, Georgia,134.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01002585887909,Sonny Perdue (Rep),Female,White,50-59,Republican,Moderate,$150k-$200k,Yes,No,Somewhat approve,Somewhat approve,,,,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,White Evangelical Born Again Christians,Approve,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
12934.0, Georgia,134.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.11522805690765,Sonny Perdue (Rep),Female,White,65-74,Independent,Moderate,$50k-$75k,Yes,,Strongly approve,Strongly approve,,,,Deported to the country they came from,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,Less than $100k,White Evangelical Born Again Christians,Approve,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
13071.0, Georgia,134.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.11522805690765,Sonny Perdue (Rep),Female,White,65-74,Republican,Moderate,$75k-$100k,No,No,Somewhat approve,Strongly approve,,,,Offered a chance to apply for legal status,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,All others,Approve,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
13238.0, Georgia,134.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.916069328784943,Sonny Perdue (Rep),Male,White,40-44,Republican,Conservative,$75k-$100k,No,No,Strongly approve,Strongly approve,,,,Offered a chance to apply for legal status,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,All others,Approve,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
13296.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.208735480904579,Mark Taylor (Dem),Female,Black,60-64,Democratic,Liberal,$30k-$50k,No,No,Strongly disapprove,Strongly disapprove,No,Not so good,Good/Not so good,Offered a chance to apply for legal status,Non-white female,Non-white,60 or over,50-64,18-64,60 or over,Democratic,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13358.0, Georgia,40.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.606993734836578,Mark Taylor (Dem),Male,White,65-74,Republican,Conservative,$15k-$30k,,No,,Strongly approve,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,,,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,South,Extremely Low Density Rural,Rural,Rural,Very downscale,31554.0
13367.0, Georgia,134.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.916069328784943,Sonny Perdue (Rep),Male,White,40-44,Republican,Moderate,$75k-$100k,No,No,Somewhat approve,Somewhat approve,,,,Offered a chance to apply for legal status,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,All others,Approve,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
13372.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.189044952392578,Mark Taylor (Dem),Female,Black,30-39,Democratic,Moderate,$30k-$50k,Yes,No,Somewhat disapprove,Somewhat disapprove,No,Not so good,Good/Not so good,Offered a chance to apply for legal status,Non-white female,Non-white,30-44,30-39,18-64,30-59,Democratic,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
