ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,HOUND06,SENND06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BUSH4,IRAQWAR,GUNOWNER,HOEVNJOB,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,BUSH,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
17900.0,North Dakota,70.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.930911183357239,Earl Pomeroy (Dem),Kent Conrad (Dem),Female,White,60-64,Democratic,Moderate,$30k-$50k,Protestant,Once a week,Strongly disapprove,Strongly disapprove,No,Approve,To express opposition to George W Bush,White female,White female,60 or over,50-64,18-64,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,North,Low Density Rural,Rural,Rural,Upscale,58703.0
17966.0,North Dakota,70.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.04636323451996,Earl Pomeroy (Dem),Kent Conrad (Dem),Male,White,75 or over,Independent,Moderate,Under $15k,Protestant,Never,Somewhat disapprove,Somewhat disapprove,Yes,Approve,To express opposition to George W Bush,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Never,Protestant/Do not attend weekly,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,North,Low Density Rural,Rural,Rural,Upscale,58703.0
17977.0,North Dakota,18.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.79605054855347,Matt Mechtel (Rep),Dwight Grotberg (Rep),Male,White,25-29,Republican,Conservative,$30k-$50k,Protestant,More than once a week,Somewhat approve,Strongly approve,No,Approve,George W Bush was not a factor,White male,White male,18-29,25-29,18-64,18-29,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Approve,Approve,White,Suburbs,Suburbs,1.0,Strong Democratic,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,58078.0
18004.0,North Dakota,80.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.880134224891663,Earl Pomeroy (Dem),Kent Conrad (Dem),Female,White,60-64,Independent,Conservative,$30k-$50k,Protestant,Once a week,Somewhat disapprove,Strongly approve,Yes,Approve,George W Bush was not a factor,White female,White female,60 or over,50-64,18-64,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Disapprove,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,North,Extremely Low Density Rural,Rural,Rural,Very downscale,58853.0
18012.0,North Dakota,70.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12410628795624,Earl Pomeroy (Dem),Kent Conrad (Dem),Female,White,18-24,Democratic,Liberal,$15k-$30k,Something else,Once a week,Strongly disapprove,Somewhat disapprove,Yes,Approve,To express opposition to George W Bush,White female,White female,18-29,18-24,18-64,18-29,Democratic,Less than $50k,Less than $100k,Something else,White Something else,Weekly,All others,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,North,Low Density Rural,Rural,Rural,Upscale,58703.0
18023.0,North Dakota,18.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.23635542392731,Matt Mechtel (Rep),Dwight Grotberg (Rep),Female,White,50-59,Republican,Conservative,$50k-$75k,Protestant,A few time a year,Somewhat approve,Somewhat disapprove,Yes,Approve,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Approve,Disapprove,White,Suburbs,Suburbs,1.0,Strong Democratic,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,58078.0
18076.0,North Dakota,70.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.26351845264435,Earl Pomeroy (Dem),Kent Conrad (Dem),Male,White,18-24,Republican,Liberal,$15k-$30k,Protestant,Once a week,Somewhat approve,Somewhat approve,Yes,Approve,George W Bush was not a factor,White male,White male,18-29,18-24,18-64,18-29,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,North,Low Density Rural,Rural,Rural,Upscale,58703.0
18077.0,North Dakota,80.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.757575035095215,Matt Mechtel (Rep),Dwight Grotberg (Rep),Male,White,50-59,Republican,Moderate,$50k-$75k,Protestant,A few time a year,Strongly approve,Strongly approve,Yes,Approve,To express support for George W Bush,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,North,Extremely Low Density Rural,Rural,Rural,Very downscale,58853.0
18079.0,North Dakota,18.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.866704702377319,Earl Pomeroy (Dem),Kent Conrad (Dem),Female,White,30-39,Democratic,Moderate,$30k-$50k,Other Christian,A few time a year,Somewhat disapprove,Somewhat disapprove,No,Approve,George W Bush was not a factor,White female,White female,30-44,30-39,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Disapprove,Disapprove,White,Suburbs,Suburbs,1.0,Strong Democratic,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,58078.0
18117.0,North Dakota,18.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12013959884644,Earl Pomeroy (Dem),Kent Conrad (Dem),Female,White,25-29,Democratic,Moderate,$50k-$75k,None,Never,Strongly disapprove,Strongly disapprove,Yes,Approve,George W Bush was not a factor,White female,White female,18-29,25-29,18-64,18-29,Democratic,$50k or more,Less than $100k,None,White None,Never,All others,Disapprove,Disapprove,White,Suburbs,Suburbs,1.0,Strong Democratic,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,58078.0
18118.0,North Dakota,78.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.64575982093811,,Kent Conrad (Dem),Female,,75 or over,Republican,Conservative,,Protestant,More than once a week,No answer,Strongly disapprove,No,Approve,George W Bush was not a factor,,,60 or over,65 or over,65 or over,60 or over,Republican,,,Protestant/Other Christian,Non-White,Weekly,Protestant/Attend weekly,No answer,Disapprove,,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,North,Extremely Low Density Rural,Rural,Rural,Downscale,58801.0
18126.0,North Dakota,80.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.673986852169037,Matt Mechtel (Rep),Dwight Grotberg (Rep),Female,White,50-59,Republican,Conservative,$50k-$75k,Other Christian,A few time a year,Strongly approve,Somewhat approve,Yes,Approve,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,North,Extremely Low Density Rural,Rural,Rural,Very downscale,58853.0
