ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENOH06,GOVOH06,AMD2OH,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,MARRIED,BUSH4,COUNTACC,IRAQTRP,IRAQWAR,VOTE2004,IMPIRAQS,IMPTERRS,IMPECONS,PTYETH,ETHDEM,ETHREP,STECOH,STEC2,JOBSIT2,FALLBHND,FORBUSHS,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,COUNT2,UNIONHH,UNIONVOT,UNIONMEM,WOMENWED,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
8301.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.712019383907318,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Female,White,50-59,Democratic,Liberal,Under $15k,Other Christian,A few time a year,,,No,Strongly disapprove,,Withdraw some troops,Strongly disapprove,,,,,,,,,,,,,,,,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,,,Disapprove,Withdraw all or some troops,Disapprove,,,,,All others,Single women,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8379.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.968242883682251,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Female,White,75 or over,Democratic,Moderate,Under $15k,Protestant,More than once a week,,,No,Somewhat approve,,Maintain the same number of troops,Strongly approve,,,,,,,,,,,,,,,,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,,,Approve,Same number or more troops,Approve,,,,,All others,Single women,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8444.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.81387591362,Mike DeWine (Rep),J. Kenneth Blackwell (Rep),No,Male,White,60-64,Republican,Conservative,,Protestant,Once a week,,,Yes,Somewhat approve,,Send more troops,Somewhat disapprove,,,,,,,,,,,,,,,,White male,White male,60 or over,50-64,18-64,60 or over,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,,,Approve,Same number or more troops,Disapprove,,,,,All others,Married men,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8531.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.2680447101593,Mike DeWine (Rep),J. Kenneth Blackwell (Rep),No,Female,White,50-59,Republican,Conservative,$30k-$50k,Catholic,Once a week,,,Yes,Strongly approve,,Send more troops,Somewhat approve,,,,,,,,,,,,,,,,White female,White female,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,,,Approve,Same number or more troops,Approve,,,,,Married women,Married women,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8610.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.748983681201935,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,30-39,Independent,Moderate,Under $15k,None,A few times a month,,,No,Strongly disapprove,,Withdraw all troops,Strongly disapprove,,,,,,,,,,,,,,,,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,None,White None,Ocassionally,All others,,,Disapprove,Withdraw all or some troops,Disapprove,,,,,All others,Single men,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8616.0,Ohio,64.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.793805837631226,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,65-74,Democratic,Moderate,$100k-$150k,,,College graduate,No one does,,,Very confident,,Strongly disapprove,John Kerry (Dem),,,,,,,,,,Are getting ahead financially,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,$100k or more,,,,,College graduate,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Southwest,High Density Urban,Urban,Urban Core,Very upscale,45208.0
8683.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3338748216629,Mike DeWine (Rep),J. Kenneth Blackwell (Rep),No,Male,White,40-44,Republican,Conservative,$150k-$200k,Other Christian,A few times a month,,,Yes,Strongly approve,,Send more troops,Strongly approve,,,,,,,,,,,,,,,,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,,,Approve,Same number or more troops,Approve,,,,,All others,Married men,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8693.0,Ohio,33.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.794552803039551,Sherrod Brown (Dem),J. Kenneth Blackwell (Rep),Yes,Male,White,45-49,Independent,Moderate,$75k-$100k,,,Some college or associate degree,No one does,,,Very confident,,Strongly disapprove,John Kerry (Dem),,,,,,,,,,Have just enough money to maintain your standard of living,,,,,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,,,,,Did not graduate from college,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,Suburbs,Suburbs,10.0,Strong Democratic,Cuyahoga County,Suburb,80s Suburbs,Urban Perimeter,Very upscale,44145.0
8713.0,Ohio,64.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.793805837631226,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,65-74,Independent,Moderate,,,,College graduate,No one does,,,Very confident,,Somewhat approve,John Kerry (Dem),,,,,,,,,,Are getting ahead financially,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,,,,,,,College graduate,At least some college,,,Approve,Very/Somewhat confident,No,No,No (no union member in household),,,White,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Southwest,High Density Urban,Urban,Urban Core,Very upscale,45208.0
8719.0,Ohio,55.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.95335626602173,Mike DeWine (Rep),J. Kenneth Blackwell (Rep),No,Male,White,65-74,Republican,Conservative,$200k or more,Jewish,A few time a year,,,Yes,Strongly disapprove,,Maintain the same number of troops,Somewhat disapprove,,,,,,,,,,,,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,$100k or more,Jewish,White Jewish,Ocassionally,All others,,,Disapprove,Same number or more troops,Disapprove,,,,,All others,Married men,White,Suburbs,Suburbs,12.0,Strong Republican,Central,Suburb,80s Suburbs,Urban Perimeter,Very upscale,43054.0
