ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMD06,GOVMD06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,MARRIED,CHILD,BUSH4,COUNTACC,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPIMMIGS,DESCRIBS,RACEREL,STECMD,STEC2,TIMESEN,TIMESEN3D,TIMESENWK,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,COUNT2,UNIONHH,UNIONVOT,UNIONMEM,WOMENWED,MOMS,MARCHILD,MARRIEDMOM,PARENTS,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
10150.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.523723304271698,Ben Cardin (Dem),Martin O'Malley (Dem),Male,Asian,30-39,Independent,Moderate,$100k-$150k,Something else,A few time a year,Postgraduate study,No one does,Yes,Yes,Strongly disapprove,Very confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,I strongly favor my candidate,Only the Democratic Party,Good,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,Non-white male,Non-white,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Something else,Non-White,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,Asian,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10225.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.525314211845398,Ben Cardin (Dem),Martin O'Malley (Dem),Female,Black,30-39,Democratic,Liberal,$150k-$200k,Other Christian,A few time a year,Some college or associate degree,No one does,Yes,Yes,Strongly disapprove,Very confident,Withdraw some troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Somewhat important,I strongly favor my candidate,Only the Democratic Party,Not so good,Not so good/Poor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,Non-white female,Non-white,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,Protestant/Other Christian,Non-White,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),Married women,Women with children,Married with children,Married women with children,Women with children,Married women,Black,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10320.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.533006489276886,Michael Steele (Rep),Martin O'Malley (Dem),Female,White,30-39,Independent,Moderate,$50k-$75k,Catholic,A few time a year,Postgraduate study,"Yes, I do",No,No,Strongly approve,Very confident,Withdraw some troops,Somewhat approve,Somewhat important,Extremely important,Extremely important,Extremely important,I strongly favor my candidate,Both do,Good,Excellent/Good, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,To express support for George W Bush,White female,White female,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Approve,Withdraw all or some troops,Approve,Very/Somewhat confident,Yes,Yes,I am (voter is member),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10327.0, Maryland,134.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.435297191143036,Michael Steele (Rep),Martin O'Malley (Dem),Male,White,30-39,Republican,Conservative,,Other Christian,A few time a year,High school graduate,No one does,Yes,Yes,Somewhat approve,Somewhat confident,Withdraw some troops,Somewhat approve,Extremely important,Extremely important,Extremely important,Somewhat important,I strongly favor my candidate,Both do,Good,Excellent/Good,In the last three days,Just today/In the last three days,Just today/In the last three days/Sometime last week,To express support for George W Bush,White male,White male,30-44,30-39,18-64,30-59,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,High school graduate or less,Approve,Withdraw all or some troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,White,Suburbs,Suburbs,6.0,Strong Republican,Rest of State,Suburb,60s Suburbs,Urban Perimeter,Very downscale,21795.0
10422.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.507162809371948,Ben Cardin (Dem),Martin O'Malley (Dem),Female,White,45-49,Democratic,Liberal,$200k or more,Protestant,Once a week,Postgraduate study,No one does,Yes,Yes,Strongly disapprove,Somewhat confident,Withdraw some troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Extremely important,I like my candidate but with reservations,No Answer,Good,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,White female,White female,45-59,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),Married women,Women with children,Married with children,Married women with children,Women with children,Married women,White,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10436.0, Maryland,134.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.435297191143036,Michael Steele (Rep),Martin O'Malley (Dem),Male,White,40-44,Democratic,Moderate,Under $15k,Catholic,A few time a year,College graduate,"Yes, I do",No,No,Strongly disapprove,Very confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Extremely important,I strongly favor my candidate,Both do,Not so good,Not so good/Poor,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,To express opposition to George W Bush,White male,White male,30-44,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,Yes,Yes,I am (voter is member),All others,All others,All others,All men,Men without children,Single men,White,Suburbs,Suburbs,6.0,Strong Republican,Rest of State,Suburb,60s Suburbs,Urban Perimeter,Very downscale,21795.0
10512.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.523723304271698,Ben Cardin (Dem),Martin O'Malley (Dem),Male,White,50-59,Democratic,Liberal,$50k-$75k,Jewish,A few times a month,College graduate,No one does,Yes,Yes,Strongly disapprove,Very confident,No answer,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Extremely important,I strongly favor my candidate,Only the Democratic Party,Good,Excellent/Good, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Jewish,White Jewish,Ocassionally,All others,College graduate,At least some college,Disapprove,No answer,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,White,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10528.0, Maryland,134.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.357875049114227,Ben Cardin (Dem),Martin O'Malley (Dem),Female,Hispanic/Latino,45-49,Democratic,Moderate,$50k-$75k,Catholic,Never,Postgraduate study,"Yes, someone else does",No,Yes,Strongly disapprove,Very confident,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Somewhat important,I like my candidate but with reservations,Only the Democratic Party,Good,Excellent/Good, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,Non-white female,Non-white,45-59,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,Catholic,Non-White,Never,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,Yes,No,"Else in HH (member in household, but not voter",All others,Women with children,All others,Other women,Women with children,Single women,Hispanic/Latino,Suburbs,Suburbs,6.0,Strong Republican,Rest of State,Suburb,60s Suburbs,Urban Perimeter,Very downscale,21795.0
10606.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.525314211845398,Ben Cardin (Dem),Martin O'Malley (Dem),Female,Black,30-39,Democratic,Conservative,$50k-$75k,None,A few time a year,Some college or associate degree,No one does,No,Yes,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,I strongly favor my candidate,Neither does,Good,Excellent/Good, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,Non-white female,Non-white,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,None,Non-White,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Women with children,All others,Other women,Women with children,Single women,Black,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10607.0, Maryland,134.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.357875049114227,Ben Cardin (Dem),Martin O'Malley (Dem),Female,White,30-39,Democratic,Moderate,$100k-$150k,Catholic,A few times a month,Some college or associate degree,"Yes, I do",Yes,Yes,Somewhat disapprove,Very confident,Withdraw all troops,Somewhat approve,No answer,No answer,No answer,No answer,I like my candidate but with reservations,Both do,Good,Excellent/Good,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,To express opposition to George W Bush,White female,White female,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Approve,Very/Somewhat confident,Yes,Yes,I am (voter is member),Married women,Women with children,Married with children,Married women with children,Women with children,Married women,White,Suburbs,Suburbs,6.0,Strong Republican,Rest of State,Suburb,60s Suburbs,Urban Perimeter,Very downscale,21795.0
