ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENWI06,GOVWI06,AMD1WI,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,BUSH4,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCORR,FEINPRES,STECWI,STEC2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
18656.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.1884169578552197,Robert Lorge (Rep),Mark Green (Rep),Yes,Male,White,30-39,Democratic,Liberal,Under $15k,Protestant,More than once a week,Did not complete high school,"Yes, I do",Strongly approve,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Excellent,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Approve,Yes,Yes,I am (voter is member),White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
18696.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.90645861625671,Herb Kohl (Dem),Jim Doyle (Dem),,Female,White,65-74,Democratic,Moderate,$30k-$50k,Other Christian,Once a week,High school graduate,No one does,Somewhat disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,Not so good,Not so good/Poor,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,All others,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
18755.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.11036145687103,Robert Lorge (Rep),Mark Green (Rep),,Female,Asian,45-49,,,$30k-$50k,Something else,No answer,Did not complete high school,No one does,Somewhat disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Extremely important,No,Not so good,Not so good/Poor,Non-white female,Non-white,45-59,40-49,18-64,30-59,,Less than $50k,Less than $100k,Something else,Non-White,No answer,All others,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),Asian,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
18804.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.51024067401886,Robert Lorge (Rep),Mark Green (Rep),No,Male,White,50-59,Republican,Conservative,$50k-$75k,Other Christian,A few time a year,High school graduate,"Yes, someone else does",Somewhat disapprove,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,Not so good,Not so good/Poor,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Approve,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
18821.0,Wisconsin,96.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.509295284748077,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,50-59,Independent,Moderate,$100k-$150k,Catholic,A few times a month,,,Strongly disapprove,Strongly disapprove,,,,,,,,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,,,Disapprove,Disapprove,,,,White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,53072.0
18851.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.18510770797729,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,50-59,Democratic,Moderate,$75k-$100k,Catholic,A few times a month,Some college or associate degree,"Yes, someone else does",Somewhat approve,Somewhat disapprove,Somewhat important,Somewhat important,Not at all important,Somewhat important,Yes,Good,Excellent/Good,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,At least some college,Approve,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
18886.0,Wisconsin,26.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.800723910331726,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Male,White,30-39,Republican,Moderate,$75k-$100k,Protestant,Once a week,Some college or associate degree,"Yes, I do",Strongly approve,Strongly approve,Extremely important,Extremely important,Somewhat important,Somewhat important,No,Excellent,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Approve,Approve,Yes,Yes,I am (voter is member),White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Rural,Rural,Upscale,54935.0
18896.0,Wisconsin,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.936837017536163,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,,65-74,Democratic,Moderate,$50k-$75k,Protestant,A few times a month,Some college or associate degree,"Yes, I do",Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Not so good,Not so good/Poor,,,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),,Suburbs,Suburbs,7.0,Strong Democratic,Northwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,54729.0
18921.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.71947360038757,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Female,White,30-39,Democratic,,,,No answer,,"Yes, someone else does",Somewhat approve,Somewhat disapprove,No answer,Somewhat important,Somewhat important,Somewhat important,No,Good,Excellent/Good,White female,White female,30-44,30-39,18-64,30-59,Democratic,,,,,No answer,No answer,,,Approve,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
18928.0,Wisconsin,96.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.572227418422699,Herb Kohl (Dem),Mark Green (Rep),Yes,Female,White,50-59,Republican,Conservative,$100k-$150k,Catholic,A few times a month,,,Strongly approve,Strongly approve,,,,,,,,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,,,Approve,Approve,,,,White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,53072.0
18962.0,Wisconsin,10.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.92760968208313,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,,25-29,,,,,,,"Yes, I do",Strongly disapprove,,,,,Somewhat important,No,Good,Excellent/Good,,,18-29,25-29,18-64,18-29,,,,,,,,,,Disapprove,,Yes,Yes,I am (voter is member),,Suburbs,Suburbs,7.0,Strong Democratic,Northwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,54729.0
18963.0,Wisconsin,26.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.770715892314911,Robert Lorge (Rep),Mark Green (Rep),Yes,Male,White,30-39,Republican,Conservative,$50k-$75k,Protestant,More than once a week,College graduate,"Yes, I do",Somewhat approve,Somewhat approve,Extremely important,Extremely important,Somewhat important,Extremely important,No,Not so good,Not so good/Poor,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,Approve,Yes,Yes,I am (voter is member),White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Rural,Rural,Upscale,54935.0
19004.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.27352738380432,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,30-39,Democratic,Liberal,$50k-$75k,Other Christian,A few time a year,College graduate,No one does,Strongly disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Not at all important,No Answer,Not so good,Not so good/Poor,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
19024.0,Wisconsin,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12590098381042,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,75 or over,Democratic,Liberal,$50k-$75k,Other Christian,A few times a month,College graduate,No one does,Somewhat disapprove,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,Good,Excellent/Good,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,South,Suburb,Urban,Urban Core,Upscale,53546.0
19033.0,Wisconsin,96.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.561521530151367,Robert Lorge (Rep),Mark Green (Rep),Yes,Male,White,45-49,Republican,Conservative,$75k-$100k,Protestant,Once a week,,,Strongly approve,Strongly approve,,,,,,,,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,,,Approve,Approve,,,,White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,53072.0
19042.0,Wisconsin,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.927190363407135,Herb Kohl (Dem),Mark Green (Rep),No,Female,White,50-59,Independent,Moderate,$200k or more,Catholic,More than once a week,Some college or associate degree,No one does,Somewhat disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Somewhat important,No,Not so good,Not so good/Poor,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,7.0,Strong Democratic,Northwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,54729.0
