ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENNV06,GOVNV06,QUES6NV,QUES7NV,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,EDUC,UNION4,LATINO,BUSH4,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPIMMIGS,SAFER06,MOVETONV,REIDJOB,REIDJOB2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
5082.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.6264636516571,John Ensign (Rep),Jim Gibbons (Rep),No,No,Male,Hispanic/Latino,30-39,Republican,Conservative,$200k or more,Postgraduate study,"Yes, someone else does",Yes,Somewhat approve,Strongly approve,Extremely important,Somewhat important,Extremely important,Somewhat important,Safer from terrorism,I was born in Nevada,Somewhat approve,Approve,Non-white male,Non-white,30-44,30-39,18-64,30-59,Republican,$50k or more,$100k or more,College graduate,At least some college,Approve,Approve,Yes,No,"Else in HH (member in household, but not voter",White,English,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Clark County,Suburb,Urban,Urban Core,Upscale
5083.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.904609620571136,John Ensign (Rep),Dina Titus (Dem),Yes,No,Female,White,60-64,Democratic,Moderate,$150k-$200k,Some college or associate degree,"Yes, someone else does",No,Somewhat disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Safer from terrorism,I moved to Nevada more than 10 years ago,Somewhat approve,Approve,White female,White female,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,$100k or more,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,English,"Cities over 500,000","Cities over 50,000",3.0,Competitive,Rural Counties,High Density Urban,Urban,Urban Core,Very upscale
5084.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.157766655087471,None of these candidates,None of these candidates,Yes,Yes,Female,White,45-49,Something else,,$50k-$75k,High school graduate,No one does,No,Strongly disapprove,Strongly disapprove,Not at all important,Somewhat important,Somewhat important,Extremely important,Less safe from terrorism,I moved to Nevada in the last four years,Strongly disapprove,Disapprove,White female,White female,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),White,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,Extremely High Density Urban,70s Suburbs,Urban Perimeter,Very downscale
5085.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.107353277504444,None of these candidates,Did not vote,Yes,No,Female,White,75 or over,Democratic,Moderate,,Some college or associate degree,No one does,No,Somewhat disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Less safe from terrorism,I was born in Nevada,No Answer,No Answer,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,,,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,English,Rural,Small Cities/Rural,2.0,Competitive,Clark County,Extremely Low Density Rural,Rural,Rural,Very downscale
5086.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.30784463882446,Jack Carter (Dem),Dina Titus (Dem),Yes,No,Female,Hispanic/Latino,75 or over,Democratic,Liberal,$15k-$30k,High school graduate,No one does,Yes,Strongly disapprove,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Somewhat disapprove,Disapprove,Non-white female,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),Hispanic/Latino,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
5087.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.343499451875687,None of these candidates,None of these candidates,Yes,Yes,Male,White,25-29,Independent,Liberal,$50k-$75k,Some college or associate degree,"Yes, someone else does",No,Somewhat disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Extremely important,Extremely important,Safer from terrorism,I moved to Nevada more than 10 years ago,No Answer,No Answer,White male,White male,18-29,25-29,18-64,18-29,Independent/Something else,$50k or more,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,English,"Cities over 500,000","Cities over 50,000",3.0,Competitive,Rural Counties,High Density Urban,Urban,Urban Core,Downscale
5088.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.75589519739151,Jack Carter (Dem),Dina Titus (Dem),Yes,Yes,Female,White,50-59,Democratic,Liberal,$30k-$50k,Some college or associate degree,No one does,No,Somewhat approve,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Extremely important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Somewhat disapprove,Disapprove,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Approve,Disapprove,No,No,No (no union member in household),White,English,Rural,Small Cities/Rural,2.0,Competitive,Clark County,Low Density Rural,Rural,Rural,Downscale
5089.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.480287104845047,Jack Carter (Dem),Dina Titus (Dem),Yes,Yes,Female,White,50-59,Democratic,Moderate,$50k-$75k,College graduate,No one does,No,Strongly disapprove,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Somewhat important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Somewhat approve,Approve,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,English,"Cities over 500,000","Cities over 50,000",3.0,Competitive,Rural Counties,High Density Urban,Urban,Urban Core,Very upscale
5090.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.20808482170105,John Ensign (Rep),Dina Titus (Dem),Yes,No,Male,White,50-59,Something else,Moderate,$200k or more,Postgraduate study,No one does,No,Somewhat disapprove,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada more than 10 years ago,Somewhat approve,Approve,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,English,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Washoe County,Low Density Rural,Urban,Urban Core,Very upscale
5091.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.24278795719147,John Ensign (Rep),Jim Gibbons (Rep),Yes,Yes,Male,Hispanic/Latino,40-44,Republican,Liberal,$100k-$150k,Some college or associate degree,No one does,Yes,Somewhat approve,Somewhat approve,Extremely important,Extremely important,Extremely important,Extremely important,Safer from terrorism,I moved to Nevada five to 10 years ago,Strongly approve,Approve,Non-white male,Non-white,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,Did not graduate from college,At least some college,Approve,Approve,No,No,No (no union member in household),Hispanic/Latino,English,Suburbs,Suburbs,1.0,Strong Democratic,Rural Counties,Extremely High Density Urban,70s Suburbs,Urban Perimeter,Very downscale
