ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENHI06,GOVHI06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,UNION4,LATINO,BUSH4,IRAQWAR,AKAKABIL,STECHI,STEC2,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEHI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
32753.0,Hawaii,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.39994645118713,Daniel Akaka (Dem),Linda Lingle (Rep),Male,Other,65-74,Democratic,Moderate,$75k-$100k,No one does,No,Strongly disapprove,Somewhat disapprove,Favor,Good,Excellent/Good,George W Bush was not a factor,Non-white male,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Disapprove,Disapprove,No,No,No (no union member in household),Native Hawaiian,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
32805.0,Hawaii,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.81673789024353,Did not vote,Linda Lingle (Rep),Male,Other,18-24,Independent,Conservative,$50k-$75k,No one does,No,Strongly disapprove,Strongly disapprove,Oppose,Not so good,Not so good/Poor,George W Bush was not a factor,Non-white male,Non-white,18-29,18-24,18-64,18-29,Independent/Something else,$50k or more,Less than $100k,Disapprove,Disapprove,No,No,No (no union member in household),Native Hawaiian,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
32878.0,Hawaii,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.17580878734589,Daniel Akaka (Dem),Randy Iwase (Dem),Female,Asian,50-59,Democratic,Conservative,$30k-$50k,"Yes, I do",No,Somewhat disapprove,Somewhat disapprove,Favor,Good,Excellent/Good,To express opposition to George W Bush,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Disapprove,Disapprove,Yes,Yes,I am (voter is member),Asian,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
32928.0,Hawaii,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.91845828294754,Cynthia Thielen (Rep),Linda Lingle (Rep),Male,White,50-59,Republican,Moderate,$30k-$50k,No one does,No,Strongly approve,Strongly approve,Favor,Poor,Not so good/Poor,To express support for George W Bush,White male,White male,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
32948.0,Hawaii,8.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.42010033130646,Cynthia Thielen (Rep),Linda Lingle (Rep),Female,White,50-59,Independent,Moderate,$100k-$150k,No one does,No,Somewhat disapprove,Somewhat disapprove,Favor,Good,Excellent/Good,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
32971.0,Hawaii,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.53415632247925,Daniel Akaka (Dem),Randy Iwase (Dem),Male,Asian,65-74,Democratic,Moderate,$15k-$30k,No one does,No,Strongly disapprove,Strongly disapprove,Favor,Good,Excellent/Good,To express opposition to George W Bush,Non-white male,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Disapprove,Disapprove,No,No,No (no union member in household),Asian,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
33012.0,Hawaii,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.11925041675568,Daniel Akaka (Dem),Linda Lingle (Rep),Male,Other,30-39,Something else,Moderate,$75k-$100k,No one does,No,Somewhat disapprove,Somewhat disapprove,Favor,Not so good,Not so good/Poor,George W Bush was not a factor,Non-white male,Non-white,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Disapprove,Disapprove,No,No,No (no union member in household),Native Hawaiian,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
33021.0,Hawaii,8.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.9783072471618701,Daniel Akaka (Dem),Randy Iwase (Dem),Male,White,50-59,Democratic,Liberal,$200k or more,No one does,No,Strongly disapprove,Strongly disapprove,Favor,Good,Excellent/Good,To express opposition to George W Bush,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
33059.0,Hawaii,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.17580878734589,Daniel Akaka (Dem),Randy Iwase (Dem),Female,Other,50-59,Democratic,Moderate,$30k-$50k,"Yes, I do",No,Somewhat approve,Somewhat disapprove,Favor,Good,Excellent/Good,To express support for George W Bush,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Approve,Disapprove,Yes,Yes,I am (voter is member),Other,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
33083.0,Hawaii,8.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.85289978981018,Cynthia Thielen (Rep),Linda Lingle (Rep),Male,Asian,65-74,Republican,Conservative,$50k-$75k,No one does,No,Somewhat approve,Strongly approve,Oppose,Good,Excellent/Good,To express support for George W Bush,Non-white male,Non-white,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Approve,Approve,No,No,No (no union member in household),Asian,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
33088.0,Hawaii,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.20608770847321,Cynthia Thielen (Rep),Randy Iwase (Dem),Female,White,30-39,Independent,Moderate,$30k-$50k,No one does,No,Somewhat approve,Somewhat approve,Favor,Not so good,Not so good/Poor,George W Bush was not a factor,White female,White female,30-44,30-39,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,1.0,Strong Democratic,Honolulu Couty,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,96813.0
33103.0,Hawaii,36.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.29996395111084,Cynthia Thielen (Rep),Linda Lingle (Rep),Female,Asian,65-74,Republican,Conservative,Under $15k,"Yes, I do",,Strongly approve,Somewhat approve,Favor,Excellent,Excellent/Good,To express support for George W Bush,Non-white female,Non-white,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Approve,Approve,Yes,Yes,I am (voter is member),Asian,Rural,Small Cities/Rural,2.0,Strong Democratic,Neighboring Islands,Town,Rural,Rural,Downscale,96705.0
