ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENNY06,GOVNY06,AGNY06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,EDUC,UNION4,LATINO,BUSH4,IRAQWAR,IRAQTERR,SAFER06,TERRWORR,TERWORR2,ECONWORR,ECOWORR2,HILLPRES,RUDYPRES,PATAKPRS,HILVRUDY,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
7275.0, New York,116.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.669841349124908,Hillary Rodham Clinton (Dem/Ind/WF),Eliot Spitzer (Dem/Ind/WF),Andrew M. Cuomo (Dem/WF),Male,White,30-39,Independent,Moderate,$100k-$150k,Catholic,,,No,Strongly disapprove,Strongly disapprove,,,,,,,,,,,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Catholic,White Catholic,,,Disapprove,Disapprove,,,,White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7276.0, New York,116.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09784317016602,Hillary Rodham Clinton (Dem/Ind/WF),Eliot Spitzer (Dem/Ind/WF),Jeanine Pirro (Rep/Con/Ind),Male,White,45-49,Independent,Moderate,$75k-$100k,Protestant,,,No,Somewhat approve,Somewhat approve,,,,,,,,,,,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,,,Approve,Approve,,,,White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7277.0, New York,116.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.669841349124908,Hillary Rodham Clinton (Dem/Ind/WF),Eliot Spitzer (Dem/Ind/WF),Andrew M. Cuomo (Dem/WF),Male,White,45-49,Democratic,Liberal,$100k-$150k,Something else,,,No,Strongly disapprove,Strongly disapprove,,,,,,,,,,,White male,White male,45-59,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,Something else,White Something else,,,Disapprove,Disapprove,,,,White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7278.0, New York,116.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.829131066799164,Hillary Rodham Clinton (Dem/Ind/WF),Eliot Spitzer (Dem/Ind/WF),Andrew M. Cuomo (Dem/WF),Male,White,65-74,,,,,,,No,Strongly disapprove,,,,,,,,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,,,,,,,,Disapprove,,,,,White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7279.0, New York,116.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.15174961090088,John Spencer (Rep/Con),John J. Faso (Rep/Con),Jeanine Pirro (Rep/Con/Ind),Female,White,45-49,Republican,Conservative,$30k-$50k,Catholic,,,No,Somewhat disapprove,Strongly disapprove,,,,,,,,,,,White female,White female,45-59,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,,,Disapprove,Disapprove,,,,White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7280.0, New York,116.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.70269387960434,Hillary Rodham Clinton (Dem/Ind/WF),Eliot Spitzer (Dem/Ind/WF),Andrew M. Cuomo (Dem/WF),Female,White,45-49,Independent,Moderate,$100k-$150k,Something else,,,No,Strongly disapprove,Strongly disapprove,,,,,,,,,,,White female,White female,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Something else,White Something else,,,Disapprove,Disapprove,,,,White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7281.0, New York,116.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.70269387960434,Hillary Rodham Clinton (Dem/Ind/WF),Eliot Spitzer (Dem/Ind/WF),Andrew M. Cuomo (Dem/WF),Female,White,30-39,Democratic,Liberal,$15k-$30k,,Postgraduate study,No one does,No,,Strongly disapprove,,,,,,,,,,,White female,White female,30-44,30-39,18-64,30-59,Democratic,Less than $50k,Less than $100k,,,College graduate,At least some college,,Disapprove,No,No,No (no union member in household),White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7282.0, New York,116.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.669841349124908,Hillary Rodham Clinton (Dem/Ind/WF),Eliot Spitzer (Dem/Ind/WF),Andrew M. Cuomo (Dem/WF),Male,White,30-39,Independent,Liberal,$50k-$75k,,High school graduate,,No,,Somewhat disapprove,,,,,,,,,,,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,,,Did not graduate from college,High school graduate or less,,Disapprove,,,,White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7283.0, New York,116.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.669841349124908,Hillary Rodham Clinton (Dem/Ind/WF),Eliot Spitzer (Dem/Ind/WF),Andrew M. Cuomo (Dem/WF),Male,White,40-44,Democratic,Liberal,$15k-$30k,,Postgraduate study,"Yes, I do",No,,Strongly disapprove,,,,,,,,,,,White male,White male,30-44,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,,,College graduate,At least some college,,Disapprove,Yes,Yes,I am (voter is member),White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
7284.0, New York,116.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.818416357040405,John Spencer (Rep/Con),Eliot Spitzer (Dem/Ind/WF),,Female,White,40-44,Republican,Liberal,$100k-$150k,,College graduate,No one does,No,,Strongly disapprove,,,,,,,,,,,White female,White female,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,,,College graduate,At least some college,,Disapprove,No,No,No (no union member in household),White,English,Suburbs,Suburbs,20.0,Competitive,Rural Upstate Areas,Town,80s Suburbs,Low-Growth Suburban Perimeter,Upscale
