ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMN06,GOVMN06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,CHILD,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCRIMES,IMPVALUES,TIMESEN,TIMESEN3D,TIMESENWK,UNFRMN06,UNFRKLOB,UNFRKENN,VOTE2004,FORBUSHS,STECMN,STEC2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,MOMS,PARENTS,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
20474.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.8042927980423,Other,Tim Pawlenty (Rep),Male,,50-59,Independent,Moderate,$50k-$75k,Other Christian,A few time a year,High school graduate,No,Somewhat approve,Maintain the same number of troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),George W Bush was not a factor,Good,Excellent/Good,,,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,Ocassionally,All others,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Disapprove,All others,Men without children,,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
20560.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.30612134933472,Mark Kennedy (Rep),Tim Pawlenty (Rep),Male,White,45-49,Republican,Conservative,$15k-$30k,Protestant,Once a week,Some college or associate degree,Yes,Strongly approve,Maintain the same number of troops,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,No Answer,No Answer,No Answer,George W. Bush (Rep),To express support for George W Bush,Good,Excellent/Good,White male,White male,45-59,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,All others,Men with children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
20646.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.30612134933472,Mark Kennedy (Rep),Tim Pawlenty (Rep),Male,White,30-39,Republican,Conservative,,,Once a week,High school graduate,Yes,Somewhat approve,Maintain the same number of troops,Somewhat approve,Somewhat important,Extremely important,Somewhat important,Very important,Extremely important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),To express support for George W Bush,Good,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Republican,,,,,Weekly,All others,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,All others,Men with children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
20727.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.36450695991516,Mark Kennedy (Rep),Tim Pawlenty (Rep),Female,White,40-44,Republican,Conservative,$50k-$75k,Protestant,Once a week,Postgraduate study,Yes,Strongly approve,Maintain the same number of troops,Somewhat approve,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Neither did,"No, Klobuchar did not","No, Kennedy did not",George W. Bush (Rep),To express support for George W Bush,Excellent,Excellent/Good,White female,White female,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,Women with children,Women with children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
20751.0,Minnesota,83.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.769275188446045,Amy Klobuchar (Dem),Mike Hatch (Dem),Male,White,45-49,Democratic,Liberal,$75k-$100k,None,A few time a year,Postgraduate study,Yes,Strongly disapprove,Withdraw some troops,Strongly disapprove,Somewhat important,Not at all important,Somewhat important,Not at all important,Not at all important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Only Mark Kennedy did,"No, Klobuchar did not","Yes, Kennedy did",John Kerry (Dem),To express opposition to George W Bush,Good,Excellent/Good,White male,White male,45-59,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,None,White None,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others,Men with children,White,"Cities 50,000-500,000","Cities over 50,000",4.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Very upscale,55105.0
20813.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.38186359405518,Mark Kennedy (Rep),Tim Pawlenty (Rep),Female,White,65-74,Republican,Conservative,$150k-$200k,Protestant,More than once a week,College graduate,No,Somewhat approve,Send more troops,Somewhat approve,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),To express support for George W Bush,Good,Excellent/Good,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,All others, Women without children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
20824.0,Minnesota,83.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.02598226070404,Mark Kennedy (Rep),Tim Pawlenty (Rep),Female,White,65-74,,,,,,,Yes,Strongly approve,,,,,,,,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,No Answer,No Answer,No Answer,,George W Bush was not a factor,Good,Excellent/Good,White female,White female,60 or over,65 or over,65 or over,60 or over,,,,,,,,,,Approve,,,Women with children,Women with children,White,"Cities 50,000-500,000","Cities over 50,000",4.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Very upscale,55105.0
20911.0,Minnesota,83.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.803663015365601,Amy Klobuchar (Dem),Mike Hatch (Dem),Female,White,40-44,Democratic,Moderate,$50k-$75k,None,A few time a year,College graduate,Yes,Strongly disapprove,Withdraw some troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,Extremely important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Only Mark Kennedy did,"No, Klobuchar did not","Yes, Kennedy did",John Kerry (Dem),To express opposition to George W Bush,Good,Excellent/Good,White female,White female,30-44,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,None,White None,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Women with children,Women with children,White,"Cities 50,000-500,000","Cities over 50,000",4.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Very upscale,55105.0
20943.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.30612134933472,Mark Kennedy (Rep),Tim Pawlenty (Rep),Male,White,45-49,Republican,Moderate,$75k-$100k,Protestant,Once a week,Some college or associate degree,No,Strongly approve,Withdraw some troops,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),George W Bush was not a factor,Good,Excellent/Good,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Approve,Withdraw all or some troops,Approve,All others,Men without children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
20991.0,Minnesota,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02903378009796,Amy Klobuchar (Dem),Tim Pawlenty (Rep),Male,White,30-39,Independent,Moderate,$50k-$75k,None,Never,Some college or associate degree,No,Strongly disapprove,Maintain the same number of troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Neither did,"No, Klobuchar did not","No, Kennedy did not",Someone else,George W Bush was not a factor,Good,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,None,White None,Never,All others,Did not graduate from college,At least some college,Disapprove,Same number or more troops,Disapprove,All others,Men without children,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Upscale,55406.0
