ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENNM06,GOVNM06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,LATINO,BUSH4,IRAQWAR,RICHPRES,STECNM,STEC2,IMMFENCE,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,BUSH,IRAQWAR2,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
4380.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.608071804046631,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,75 or over,Democratic,Moderate,Under $15k,No,Strongly disapprove,Somewhat disapprove,No Answer,Not so good,Not so good/Poor,Somewhat,Deported to the country they came from,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Disapprove,Disapprove,White,English,Rural,Small Cities/Rural,2.0,Strong Republican,South/East,Extremely Low Density Rural,Rural,Rural,Very downscale
4381.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.716080725193024,Allen McCulloch (Rep),John Dendahl (Rep),Female,White,30-39,Republican,Conservative,$30k-$50k,No,Strongly approve,Strongly approve,No,Not so good,Not so good/Poor,A great deal,Offered a chance to apply for legal status,White female,White female,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,Approve,Approve,White,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,Northwest,Town,Rural,Rural,Upscale
4382.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.608071804046631,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,75 or over,Democratic,Liberal,Under $15k,No,Strongly disapprove,Strongly disapprove,Yes,Not so good,Not so good/Poor,Somewhat,Deported to the country they came from,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Disapprove,Disapprove,White,English,Rural,Small Cities/Rural,2.0,Strong Republican,South/East,Extremely Low Density Rural,Rural,Rural,Very downscale
4383.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.723021328449249,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,Hispanic/Latino,40-44,Republican,Moderate,$50k-$75k,Yes,Strongly disapprove,Strongly disapprove,Yes,Good,Excellent/Good,Somewhat,Deported to the country they came from,Non-white female,Non-white,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Disapprove,Disapprove,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Low Density Rural,Urban,Urban Core,Very downscale
4384.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.841469705104828,Allen McCulloch (Rep),Bill Richardson (Dem),Female,White,60-64,Independent,Conservative,$50k-$75k,No,Strongly approve,Strongly approve,Yes,Excellent,Excellent/Good,A great deal,Offered a chance to apply for legal status,White female,White female,60 or over,50-64,18-64,60 or over,Independent/Something else,$50k or more,Less than $100k,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Extremely Low Density Rural,Urban,Urban Core,Very upscale
4385.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.853814303874969,Jeff Bingaman (Dem),Bill Richardson (Dem),Male,White,65-74,Republican,Conservative,$50k-$75k,No,Strongly disapprove,Strongly disapprove,Yes,Good,Excellent/Good,A great deal,Deported to the country they came from,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Disapprove,Disapprove,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Downscale
4386.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.30887007713318,,Bill Richardson (Dem),Female,White,45-49,Republican,Conservative,$100k-$150k,No,Strongly approve,Strongly approve,No Answer,Good,Excellent/Good,A great deal,No answer,White female,White female,45-59,40-49,18-64,30-59,Republican,$50k or more,$100k or more,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Very upscale
4387.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.15816104412079,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,Hispanic/Latino,75 or over,Democratic,,,Yes,Somewhat disapprove,Somewhat disapprove,Yes,Excellent,Excellent/Good,No answer,No answer,Non-white female,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,,,Disapprove,Disapprove,Black,English,"Cities 10,000-50,000",Small Cities/Rural,2.0,Strong Republican,South/East,Extremely Low Density Rural,Rural,Rural,Downscale
4388.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.05292773246765,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,50-59,Independent,Moderate,$150k-$200k,No,Somewhat disapprove,Somewhat disapprove,No Answer,Not so good,Not so good/Poor,Somewhat,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Disapprove,Disapprove,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Suburb,Urban,Urban Core,Very upscale
4389.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.8070992231369,Other,John Dendahl (Rep),Female,White,50-59,Republican,Conservative,,No,Strongly approve,Strongly approve,No,Not so good,Not so good/Poor,A great deal,Deported to the country they came from,White female,White female,45-59,50-64,18-64,30-59,Republican,,,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Suburb,Urban,Urban Core,Very upscale
4390.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.19351887702942,Allen McCulloch (Rep),John Dendahl (Rep),Male,White,60-64,Independent,Conservative,$50k-$75k,No,Somewhat disapprove,Strongly approve,No,Good,Excellent/Good,Somewhat,Deported to the country they came from,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,$50k or more,Less than $100k,Disapprove,Approve,White,English,"Cities 10,000-50,000",Small Cities/Rural,2.0,Strong Republican,South/East,Extremely Low Density Rural,Rural,Rural,Upscale
4391.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.663749575614929,Jeff Bingaman (Dem),Bill Richardson (Dem),Male,,30-39,Independent,,,No,Strongly disapprove,Strongly disapprove,Yes,Good,Excellent/Good,No answer,Offered a chance to apply for legal status,,,30-44,30-39,18-64,30-59,Independent/Something else,,,Disapprove,Disapprove,,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,Northwest,Extremely Low Density Rural,Rural,Rural,Downscale
4392.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.44956505298615,Jeff Bingaman (Dem),Did not vote,Female,White,30-39,Independent,Liberal,Under $15k,No,Strongly disapprove,Strongly disapprove,No,Not so good,Not so good/Poor,Not at all,Offered a chance to apply for legal status,White female,White female,30-44,30-39,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Disapprove,Disapprove,White,English,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Republican,South/East,Low Density Rural,Urban,Urban Core,Upscale
4393.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.701951801776886,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,50-59,Something else,Conservative,$30k-$50k,No,Strongly disapprove,Strongly disapprove,Yes,Not so good,Not so good/Poor,Somewhat,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Disapprove,Disapprove,White,English,Rural,Small Cities/Rural,1.0,Competitive,Albuquerque Area,Extremely Low Density Rural,Rural,Rural,Very downscale
4394.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.34861147403717,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,45-49,Republican,Moderate,$50k-$75k,No,Somewhat approve,Strongly approve,No Answer,Good,Excellent/Good,Not at all,Offered a chance to apply for legal status,White female,White female,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Suburb,Urban,Urban Core,Very upscale
4395.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.654772520065308,Jeff Bingaman (Dem),Bill Richardson (Dem),Male,White,75 or over,Democratic,Moderate,Under $15k,No,Strongly disapprove,Strongly disapprove,Yes,Excellent,Excellent/Good,Somewhat,No answer,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Disapprove,Disapprove,White,English,Suburbs,Suburbs,3.0,Strong Democratic,Albuquerque Area,Suburb,80s Suburbs,Urban Perimeter,Very upscale
4396.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.420734852552414,Allen McCulloch (Rep),Bill Richardson (Dem),Female,White,60-64,Republican,Conservative,$15k-$30k,No,Somewhat approve,Strongly approve,Yes,Good,Excellent/Good,Somewhat,Offered a chance to apply for legal status,White female,White female,60 or over,50-64,18-64,60 or over,Republican,Less than $50k,Less than $100k,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Low Density Rural,Urban,Urban Core,Very downscale
4397.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.662171065807343,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,50-59,Democratic,Moderate,$30k-$50k,No,Strongly disapprove,Strongly disapprove,Yes,Good,Excellent/Good,Somewhat,Deported to the country they came from,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Disapprove,Disapprove,White,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,Northwest,Town,Rural,Rural,Upscale
4398.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.13784742355347,Allen McCulloch (Rep),Bill Richardson (Dem),Female,Hispanic/Latino,45-49,Republican,Conservative,$75k-$100k,Yes,Somewhat approve,Somewhat disapprove,No Answer,Not so good,Not so good/Poor,Somewhat,Offered a chance to apply for legal status,Non-white female,Non-white,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Approve,Disapprove,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Suburb,Urban,Urban Core,Very upscale
4399.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.84154713153839,Jeff Bingaman (Dem),Bill Richardson (Dem),Male,White,75 or over,Independent,Moderate,Under $15k,No,Strongly approve,Strongly approve,No,Good,Excellent/Good,Somewhat,Deported to the country they came from,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Approve,Approve,White,English,Rural,Small Cities/Rural,2.0,Strong Republican,South/East,Extremely Low Density Rural,Rural,Rural,Very downscale
4400.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.669104218482971,Jeff Bingaman (Dem),John Dendahl (Rep),Female,White,60-64,Republican,Conservative,$30k-$50k,No,Somewhat approve,Strongly disapprove,No,Good,Excellent/Good,Not much,Offered a chance to apply for legal status,White female,White female,60 or over,50-64,18-64,60 or over,Republican,Less than $50k,Less than $100k,Approve,Disapprove,White,English,Rural,Small Cities/Rural,3.0,Strong Democratic,Northwest,Extremely Low Density Rural,Rural,Rural,Downscale
4401.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.1835812330246,Jeff Bingaman (Dem),Bill Richardson (Dem),Male,Hispanic/Latino,50-59,Democratic,Liberal,$30k-$50k,Yes,Strongly approve,Somewhat approve,Yes,Good,Excellent/Good,A great deal,Deported to the country they came from,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Approve,Approve,Hispanic/Latino,English,Rural,Small Cities/Rural,3.0,Strong Democratic,South/East,Extremely Low Density Rural,Rural,Rural,Very downscale
