ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENFL06,GOVFL06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,EDUC,CUBAN3,BUSH4,COUNTACC,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPINSURG,DESCRIBS,JEBJOB4,JEBJOB2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,COUNT2,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
1106.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.00071489810944,Bill Nelson (Dem),Jim Davis (Dem),Male,White,75 or over,Democratic,Moderate,$30k-$50k,Catholic,High school graduate,No,Strongly disapprove,Not very confident,Strongly disapprove,Extremely important,Extremely important,Extremely important,Somewhat important,I strongly favor my candidate,Strongly disapprove,Disapprove,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,Not very/Not at all confident,White,English,Suburbs,Suburbs,12.0,Unopposed Republican,Central,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very downscale
1107.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.41923689842224,Katherine Harris (Rep),Jim Davis (Dem),Female,Other,50-59,Republican,Conservative,,None,High school graduate,No,Somewhat approve,Somewhat confident,Somewhat approve,Extremely important,Extremely important,Extremely important,Extremely important,I strongly favor my candidate,Strongly Approve,Approve,Non-white female,Non-white,45-59,50-64,18-64,30-59,Republican,,,None,Non-White,Did not graduate from college,High school graduate or less,Approve,Approve,Very/Somewhat confident,American Indian,English,Suburbs,Suburbs,15.0,Strong Republican,Central,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Downscale
1108.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.08750450611115,Katherine Harris (Rep),Charlie Crist (Rep),Male,White,65-74,Republican,Moderate,$75k-$100k,Something else,High school graduate,No,Somewhat approve,Very confident,Somewhat approve,Extremely important,Extremely important,Somewhat important,Extremely important,I dislike the other candidate,Strongly Approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Something else,White Something else,Did not graduate from college,High school graduate or less,Approve,Approve,Very/Somewhat confident,White,English,Suburbs,Suburbs,19.0,Unoppsed Democratic,Miami/Gold Coast,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
1109.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.838133454322815,Bill Nelson (Dem),Jim Davis (Dem),Male,,,Democratic,Liberal,,Protestant,Did not complete high school,,Strongly approve,Very confident,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,I strongly favor my candidate,Strongly Approve,Approve,,,,,,,Democratic,,,Protestant/Other Christian,Non-White,Did not graduate from college,High school graduate or less,Approve,Approve,Very/Somewhat confident,,,Suburbs,Suburbs,20.0,Unoppsed Democratic,Miami/Gold Coast,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale
1110.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.344746232032776,Katherine Harris (Rep),Charlie Crist (Rep),Female,White,75 or over,Republican,,,Catholic,High school graduate,No,Strongly approve,Very confident,Somewhat approve,Somewhat important,Somewhat important,No answer,Very important,I like my candidate but with reservations,No Answer,No Answer,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,,,Catholic,White Catholic,Did not graduate from college,High school graduate or less,Approve,Approve,Very/Somewhat confident,White,English,Suburbs,Suburbs,4.0,Strong Republican,North,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
1111.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.00945317745209,Katherine Harris (Rep),Charlie Crist (Rep),Female,White,45-49,Republican,Conservative,,None,Some college or associate degree,No,Strongly approve,Somewhat confident,Somewhat approve,Somewhat important,Extremely important,Extremely important,Very important,I like my candidate but with reservations,Strongly Approve,Approve,White female,White female,45-59,40-49,18-64,30-59,Republican,,,None,White None,Did not graduate from college,At least some college,Approve,Approve,Very/Somewhat confident,White,English,Suburbs,Suburbs,5.0,Strong Republican,Tampa Bay Area,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale
1112.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.836716949939728,Bill Nelson (Dem),Jim Davis (Dem),Male,White,50-59,Independent,Liberal,$15k-$30k,Other Christian,High school graduate,No,Strongly disapprove,Not very confident,Somewhat approve,Somewhat important,Not at all important,Extremely important,Extremely important,I strongly favor my candidate,Strongly Approve,Approve,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Did not graduate from college,High school graduate or less,Disapprove,Approve,Not very/Not at all confident,White,English,Suburbs,Suburbs,5.0,Strong Republican,Central,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Downscale
1113.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.19683885574341,Bill Nelson (Dem),Jim Davis (Dem),Male,Hispanic/Latino,18-24,Independent,Liberal,,Other Christian,High school graduate,"Yes, other Hispanic",Somewhat approve,Somewhat confident,Somewhat approve,Somewhat important,Somewhat important,Not at all important,Somewhat important,I like my candidate but with reservations,Somewhat disapprove,Disapprove,Non-white male,Non-white,18-29,18-24,18-64,18-29,Independent/Something else,,,Protestant/Other Christian,Non-White,Did not graduate from college,High school graduate or less,Approve,Approve,Very/Somewhat confident,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",7.0,Strong Republican,Central,Suburb,Urban,Urban Core,Downscale
1114.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.45316419005394,Bill Nelson (Dem),Jim Davis (Dem),Male,White,65-74,Democratic,Conservative,,Catholic,College graduate,No,Strongly disapprove,Somewhat confident,Strongly disapprove,Somewhat important,Extremely important,Somewhat important,Very important,I strongly favor my candidate,Somewhat approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,,,Catholic,White Catholic,College graduate,At least some college,Disapprove,Disapprove,Very/Somewhat confident,White,English,Suburbs,Suburbs,10.0,Strong Republican,Tampa Bay Area,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale
1115.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.680508613586426,Bill Nelson (Dem),Charlie Crist (Rep),Female,White,50-59,Independent,Moderate,,Protestant,College graduate,No,Strongly disapprove,Very confident,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Extremely important,I dislike the other candidate,Strongly Approve,Approve,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,,,Protestant/Other Christian,White Protestant/Other Christian,College graduate,At least some college,Disapprove,Disapprove,Very/Somewhat confident,White,English,Suburbs,Suburbs,24.0,Strong Republican,Central,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
