ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,HOUMT06,SENMT06,INIT151,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCORRS,GUNOWNER,BURNSTOOLONG,TESTLIB,ETHMT06,ETHTEST,ETHBURNS,FORCANDS,FALLBHND,FORBUSHS,VOTE2004,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
21349.0,Montana,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.888456165790558,Monica Lindeen (Dem),Jon Tester (Dem),Yes,Male,White,30-39,Democratic,Liberal,$50k-$75k,None,Never,No,Some college or associate degree,Strongly disapprove,Withdraw some troops,Strongly disapprove,Somewhat important,Not at all important,Extremely important,Extremely important,Yes,Yes,About right,Only Jon Tester does,"Yes, Tester does","No, Burns does not",For your candidate,Are getting ahead financially,To express opposition to George W Bush,John Kerry (Dem),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,None,White None,All others,All others,Never,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
21410.0,Montana,15.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.946253538131714,Denny Rehberg (Rep),Conrad Burns (Rep),No,Female,White,50-59,Republican,Conservative,$50k-$75k,None,Never,No,Some college or associate degree,Strongly approve,Send more troops,Somewhat approve,Extremely important,Extremely important,Extremely important,Extremely important,Yes,No,Too liberal,Only Conrad Burns does,No Tester does not,"Yes, Burns does",For your candidate,Are getting ahead financially,To express support for George W Bush,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,None,White None,All others,All others,Never,All others,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,Rural West,Low Density Rural,Rural,Rural,Upscale,59901.0
21434.0,Montana,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.11787247657776,Denny Rehberg (Rep),Conrad Burns (Rep),Yes,Male,White,60-64,Republican,Moderate,$15k-$30k,Something else,A few time a year,Yes,Some college or associate degree,Strongly approve,Maintain the same number of troops,Somewhat approve,Somewhat important,Extremely important,Extremely important,Somewhat important,Yes,No,Too conservative,Neither does,No Tester does not,"No, Burns does not",Against his opponent,Have just enough money to maintain your standard of living,To express support for George W Bush,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,50-64,18-64,60 or over,Republican,Less than $50k,Less than $100k,Something else,White Something else,All others,White Evangelical Born Again Christians,Ocassionally,All others,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
21539.0,Montana,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.919058918952942,Monica Lindeen (Dem),Jon Tester (Dem),Yes,Female,White,25-29,Something else,Moderate,,Something else,Once a week,No,Some college or associate degree,Strongly disapprove,No answer,Strongly disapprove,Somewhat important,Not at all important,Somewhat important,Somewhat important,Yes,Yes,About right,No Answer,No Answer,No Answer,Against his opponent,Have just enough money to maintain your standard of living,George W Bush was not a factor,Someone else,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,18-29,25-29,18-64,18-29,Independent/Something else,,,Something else,White Something else,All others,All others,Weekly,All others,Did not graduate from college,At least some college,Disapprove,No answer,Disapprove,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
21540.0,Montana,15.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.855550408363342,Monica Lindeen (Dem),Jon Tester (Dem),Yes,Male,White,30-39,,,,,No answer,,,Strongly disapprove,No answer,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Yes,About right,Only Jon Tester does,"Yes, Tester does","No, Burns does not",For your candidate,Have just enough money to maintain your standard of living,To express opposition to George W Bush,John Kerry (Dem),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,30-44,30-39,18-64,30-59,,,,,,,All others,No answer,No answer,,,Disapprove,No answer,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,Rural West,Low Density Rural,Rural,Rural,Upscale,59901.0
21602.0,Montana,25.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.90371859073639,,Conrad Burns (Rep),No,Male,White,75 or over,Republican,Conservative,$75k-$100k,Catholic,Once a week,No,College graduate,Strongly approve,Maintain the same number of troops,Strongly approve,Extremely important,Somewhat important,Extremely important,Extremely important,No answer,No,Too liberal,Only Conrad Burns does,No Tester does not,"Yes, Burns does",No Answer,Are getting ahead financially,To express support for George W Bush,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Catholic,White Catholic,All others,All others,Weekly,Catholic/Attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Upscale,59501.0
21605.0,Montana,2.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3330835103988599,Monica Lindeen (Dem),Other,No,Male,White,50-59,Independent,Conservative,$100k-$150k,Other Christian,A few time a year,Yes,High school graduate,Strongly disapprove,Withdraw all troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No answer,Yes,Too liberal,Neither does,No Tester does not,"No, Burns does not",For your candidate,Have just enough money to maintain your standard of living,To express opposition to George W Bush,Someone else,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Upscale,59523.0
21633.0,Montana,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09815609455109,Denny Rehberg (Rep),Conrad Burns (Rep),No,Male,White,18-24,Republican,Conservative,$15k-$30k,Other Christian,More than once a week,Yes,Some college or associate degree,Strongly approve,Maintain the same number of troops,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Not at all important,No,No,Too liberal,Both do,"Yes, Tester does","Yes, Burns does",For your candidate,Are getting ahead financially,George W Bush was not a factor,George W. Bush (Rep),In the last three days,Just today/In the last three days,Just today/In the last three days/Sometime last week,White male,White male,18-29,18-24,18-64,18-29,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,All others,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
21673.0,Montana,8.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.0439076423645,Denny Rehberg (Rep),Conrad Burns (Rep),No,Female,White,50-59,Republican,Conservative,$15k-$30k,Catholic,Once a week,Yes,High school graduate,Somewhat approve,Send more troops,Somewhat approve,Somewhat important,Somewhat important,Not at all important,Somewhat important,No,No,Too liberal,Only Conrad Burns does,No Tester does not,"Yes, Burns does",Against his opponent,Are falling behind financially,No answer,George W. Bush (Rep), During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,All others,White Evangelical Born Again Christians,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Very downscale,59401.0
21679.0,Montana,41.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.06528902053833,Monica Lindeen (Dem),Jon Tester (Dem),Yes,Male,White,65-74,Independent,Liberal,$75k-$100k,None,No answer,No,Postgraduate study,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Extremely important,No,Yes,About right,Only Jon Tester does,"Yes, Tester does","No, Burns does not",For your candidate,Have just enough money to maintain your standard of living,To express opposition to George W Bush,John Kerry (Dem),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,Less than $100k,None,White None,All others,All others,No answer,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
