ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENAZ06,GOVAZ06,PR103AZ,PR107AZ,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,EDUC,LATINO,BUSH4,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPIMMIGS,IMMFENCE,MCCAINPR,FORBUSHS,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
1.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.622442066669464,John Kyl (Rep),Janet Napolitano (Dem),Yes,Yes,Male,White,75 or over,Democratic,Conservative,,High school graduate,No,Strongly disapprove,Somewhat disapprove,Somewhat important,Extremely important,Extremely important,Somewhat important,A great deal,No Answer,George W Bush was not a factor,Deported to the country they came from,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,,,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,White,English,"Cities over 500,000","Cities over 50,000",4.0,Strong Democratic,Maricopa County,Extremely High Density Urban,Urban,Urban Core,Very downscale,85033.0
2.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.3742079734802197,Jim Pederson (Dem),Janet Napolitano (Dem),Yes,No,Male,White,65-74,Democratic,Conservative,Under $15k,High school graduate,No,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Not at all,No,To express opposition to George W Bush,Deported to the country they came from,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,White,English,Suburbs,Suburbs,2.0,Strong Republican,Maricopa County,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,85375.0
3.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.40845942497253,John Kyl (Rep),Janet Napolitano (Dem),Yes,No,Female,Black,45-49,Independent,Conservative,Under $15k,Some college or associate degree,No,Strongly disapprove,Somewhat disapprove,Extremely important,Extremely important,Somewhat important,Extremely important,A great deal,No Answer,To express opposition to George W Bush,Offered a chance to apply for legal status,Non-white female,Non-white,45-59,40-49,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,Black,English,Suburbs,Suburbs,8.0,Competitive,Pima/Pinal/Santa Cruz,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,85743.0
4.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.62270522117615,John Kyl (Rep),Janet Napolitano (Dem),Yes,No,Female,White,60-64,Something else,Moderate,$100k-$150k,Some college or associate degree,No,Somewhat disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat,Yes,George W Bush was not a factor,Offered a chance to apply for legal status,White female,White female,60 or over,50-64,18-64,60 or over,Independent/Something else,$50k or more,$100k or more,Did not graduate from college,At least some college,Disapprove,Disapprove,White,English,Rural,Small Cities/Rural,1.0,Competitive,Rest of State,Town,Rural,Rural,Downscale,86314.0
5.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.65379881858826,,,Yes,Did not vote,Male,White,75 or over,,Conservative,,Some college or associate degree,No,Somewhat approve,No answer,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No answer,Yes,No answer,No answer,White male,White male,60 or over,65 or over,65 or over,60 or over,,,,Did not graduate from college,At least some college,Approve,No answer,White,English,"Cities 50,000-500,000","Cities over 50,000",5.0,Competitive,Maricopa County,High Density Urban,Urban,Urban Core,Upscale,85251.0
6.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.989253282547,Jim Pederson (Dem),Janet Napolitano (Dem),No,No,Female,White,18-24,Independent,Moderate,,High school graduate,No,Somewhat disapprove,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Somewhat important,Not at all,No,To express opposition to George W Bush,Deported to the country they came from,White female,White female,18-29,18-24,18-64,18-29,Independent/Something else,,,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,White,English,Rural,Small Cities/Rural,1.0,Competitive,Rest of State,Low Density Rural,Rural,Rural,Upscale,86351.0
7.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.63760304450989,John Kyl (Rep),Len Munsil (Rep),Yes,Yes,Female,White,60-64,Something else,Conservative,,Postgraduate study,,Strongly approve,Strongly approve,Not at all important,Somewhat important,Somewhat important,Extremely important,A great deal,No Answer,George W Bush was not a factor,Deported to the country they came from,White female,White female,60 or over,50-64,18-64,60 or over,Independent/Something else,,,College graduate,At least some college,Approve,Approve,White,,Rural,Small Cities/Rural,8.0,Competitive,Pima/Pinal/Santa Cruz,Extremely Low Density Rural,Rural,Rural,Very downscale,85701.0
8.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.564621925354,John Kyl (Rep),Len Munsil (Rep),Yes,Did not vote,Female,White,60-64,Independent,Conservative,$30k-$50k,High school graduate,No,Somewhat approve,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat,No Answer,George W Bush was not a factor,Deported to the country they came from,White female,White female,60 or over,50-64,18-64,60 or over,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",6.0,Unopposed Republican,Maricopa County,High Density Urban,Urban,Urban Core,Upscale,85205.0
9.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.2377028465271,John Kyl (Rep),Len Munsil (Rep),Yes,No,Female,White,75 or over,Democratic,Conservative,,Some college or associate degree,No,Somewhat disapprove,Somewhat disapprove,Extremely important,Somewhat important,Somewhat important,Extremely important,A great deal,Yes,No answer,Deported to the country they came from,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,,,Did not graduate from college,At least some college,Disapprove,Disapprove,White,English,"Cities over 500,000","Cities over 50,000",3.0,Strong Republican,Maricopa County,Extremely High Density Urban,Urban,Urban Core,Upscale,85051.0
10.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.904932260513306,Jim Pederson (Dem),Janet Napolitano (Dem),Yes,No,Female,White,65-74,Democratic,Moderate,,High school graduate,No,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Not at all,No,To express opposition to George W Bush,Offered a chance to apply for legal status,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,,,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,White,English,"Cities over 500,000","Cities over 50,000",5.0,Competitive,Maricopa County,Suburb,Urban,Urban Core,Very upscale,85048.0
