ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENTN06,GOVTN06,AMEND1TN,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,MARRIED,CHILD,BUSH4,IRAQTRP,IRAQWAR,VOTE2004,IMPIRAQS,IMPTERRS,IMPECONS,IMPIMMIGS,IMPCORRS,FRISTPRS,UNFRTN06,UNFRFORD,UNFRCORK,FORBUSHS,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,WOMENWED,MOMS,MARCHILD,MARRIEDMOM,PARENTS,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
2064.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.24150156974792,Harold Ford (Dem),Phil Bredesen (Dem),No,Female,White,75 or over,Democratic,Liberal,$15k-$30k,Other Christian,Never,Yes,Some college or associate degree,No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Joh Kerry (Dem),Somewhat important,Extremely important,Somewhat important,Extremely important,Somewhat important,No,Only Bob Corker did,"No, Harold Ford did not","Yes, Bob Corker did",To express opposition to George W Bush,,,,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Never,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,2.0,Strong Republican,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale
2065.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.15777981281281,Harold Ford (Dem),Phil Bredesen (Dem),Yes,Male,White,25-29,Democratic,Conservative,$15k-$30k,Other Christian,More than once a week,Yes,Some college or associate degree,No,No,Strongly disapprove,Send more troops,Somewhat approve,Did not vote,Extremely important,Somewhat important,Extremely important,Extremely important,Somewhat important,No,Both did,"Yes, Harold Ford did","Yes, Bob Corker did",George W Bush was not a factor,,,,White male,White male,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,All others,Did not graduate from college,At least some college,Disapprove,Same number or more troops,Approve,All others,All others,All others,All men,Men without children,Single men,White,Rural,Small Cities/Rural,4.0,Strong Democratic,East,Low Density Rural,Rural,Rural,Downscale
2066.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.95491790771484,Bob Corker (Rep),Other,Yes,Male,White,75 or over,Independent,Conservative,Under $15k,Protestant,More than once a week,Yes,Some college or associate degree,Yes,No,Somewhat approve,Withdraw all troops,Somewhat disapprove,George W. Bush (Rep),Somewhat important,Somewhat important,Somewhat important,Extremely important,Somewhat important,No Answer,Both did,"Yes, Harold Ford did","Yes, Bob Corker did",George W Bush was not a factor,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Approve,Withdraw all or some troops,Disapprove,All others,All others,All others,All men,Men without children,Married men,White,"Cities 10,000-50,000",Small Cities/Rural,2.0,Strong Republican,East,Low Density Rural,Rural,Rural,Downscale
2067.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.97405314445496,,,Did not vote,Male,White,65-74,,,,,,,,,,,,,,,,,,,,,,,George W Bush was not a factor,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,,,,,,,,,,,,,,,,,,,,,White,"Cities 10,000-50,000",Small Cities/Rural,4.0,Strong Democratic,East,Low Density Rural,Rural,Rural,Downscale
2068.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.61497640609741,Harold Ford (Dem),Phil Bredesen (Dem),Yes,Male,White,75 or over,Democratic,Moderate,$15k-$30k,Protestant,Once a week,Yes,Some college or associate degree,Yes,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Joh Kerry (Dem),Somewhat important,Not at all important,Somewhat important,Extremely important,Extremely important,No,Only Bob Corker did,"No, Harold Ford did not","Yes, Bob Corker did",To express opposition to George W Bush,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others,All others,All others,All men,Men without children,Married men,White,Suburbs,Suburbs,3.0,Strong Republican,East,Suburb,80s Suburbs,Urban Perimeter,Very upscale
2069.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.915498852729797,Harold Ford (Dem),Phil Bredesen (Dem),Yes,Male,,60-64,Democratic,Conservative,,Protestant,More than once a week,Yes,College graduate,Yes,No,Strongly disapprove,Withdraw some troops,Strongly disapprove,Joh Kerry (Dem),Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,No,Only Bob Corker did,"No, Harold Ford did not","Yes, Bob Corker did",George W Bush was not a factor,,,,,,60 or over,50-64,18-64,60 or over,Democratic,,,Protestant/Other Christian,Non-White,All others,All others,Weekly,Protestant/Attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others,All others,All others,All men,Men without children,Married men,,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,East,Suburb,Urban,Urban Core,Upscale
2070.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.49566125869751,Harold Ford (Dem),Phil Bredesen (Dem),Yes,Female,White,75 or over,Independent,Moderate,,Catholic,Once a week,No,College graduate,No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Joh Kerry (Dem),Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,No Answer,Both did,"Yes, Harold Ford did","Yes, Bob Corker did",To express opposition to George W Bush,,,,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,,,Catholic,White Catholic,All others,All others,Weekly,Catholic/Attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others,All others,All others,Other women, Women without children,Single women,White,"Cities over 500,000","Cities over 50,000",5.0,Strong Democratic,Nashville area,Suburb,Urban,Urban Core,Upscale
2071.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.91598987579346,Bob Corker (Rep),Jim Bryson (Rep),Yes,Male,White,75 or over,Republican,Conservative,$50k-$75k,Protestant,More than once a week,Yes,College graduate,Yes,No,Strongly approve,No answer,Strongly approve,George W. Bush (Rep),Extremely important,Extremely important,Somewhat important,Extremely important,Somewhat important,Yes,No Answer,No Answer,No Answer,George W Bush was not a factor,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,No answer,Approve,All others,All others,All others,All men,Men without children,Married men,White,Suburbs,Suburbs,7.0,Strong Republican,Nashville area,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
2072.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.659743130207062,Harold Ford (Dem),Phil Bredesen (Dem),No,Female,White,60-64,Democratic,Liberal,$50k-$75k,Protestant,Once a week,No,College graduate,No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Joh Kerry (Dem),Somewhat important,Somewhat important,Extremely important,Somewhat important,Extremely important,No Answer,Both did,"Yes, Harold Ford did","Yes, Bob Corker did",George W Bush was not a factor,,,,White female,White female,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestant/Attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others,All others,All others,Other women, Women without children,Single women,White,"Cities over 500,000","Cities over 50,000",5.0,Strong Democratic,Nashville area,Suburb,Urban,Urban Core,Very upscale
2073.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.87753164768219,Bob Corker (Rep),Jim Bryson (Rep),Yes,Female,White,50-59,Republican,Conservative,,Other Christian,Once a week,Yes,Did not complete high school,Yes,No,Strongly approve,No answer,Strongly approve,George W. Bush (Rep),Extremely important,Extremely important,Somewhat important,Extremely important,Somewhat important,No Answer,Only Harold Ford did,"Yes, Harold Ford did","No, Bob Corker did not",To express support for George W Bush,,,,White female,White female,45-59,50-64,18-64,30-59,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,All others,Did not graduate from college,High school graduate or less,Approve,No answer,Approve,Married women,All others,All others,Other women, Women without children,Married women,White,"Cities 10,000-50,000",Small Cities/Rural,4.0,Strong Democratic,Middle/West,Low Density Rural,Rural,Rural,Very downscale
