ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENUT06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,MARRIED,LATINO,BUSH4,IRAQWAR,CONGRES4,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,BUSH,IRAQWAR2,CONGRESS,WOMENWED,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
20341.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.957085013389587,Orrin Hatch (Rep),Female,White,40-44,Republican,Moderate,$100k-$150k,Yes,No,Somewhat approve,Somewhat approve,Somewhat approve,White female,White female,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,Approve,Approve,Approve,Married women,Married women,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20408.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.996277928352356,Orrin Hatch (Rep),Male,White,50-59,Republican,Moderate,$75k-$100k,Yes,No,Somewhat approve,Somewhat approve,Somewhat approve,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Approve,Approve,Approve,All others,Married men,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20476.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.996277928352356,Orrin Hatch (Rep),Male,White,50-59,Republican,Moderate,$150k-$200k,Yes,No,Somewhat approve,Somewhat approve,Somewhat approve,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Approve,Approve,Approve,All others,Married men,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20519.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.957085013389587,Orrin Hatch (Rep),Female,White,50-59,Republican,Conservative,$75k-$100k,Yes,No,Strongly approve,Strongly approve,Somewhat approve,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Approve,Approve,Approve,Married women,Married women,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20576.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.05549395084381,Orrin Hatch (Rep),Male,White,60-64,Republican,Conservative,$100k-$150k,Yes,No,Strongly disapprove,Strongly disapprove,Somewhat disapprove,White male,White male,60 or over,50-64,18-64,60 or over,Republican,$50k or more,$100k or more,Disapprove,Disapprove,Disapprove,All others,Married men,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20630.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.20014190673828,Pete Ashdown (Dem),Female,White,60-64,Democratic,Liberal,,No,No,Strongly disapprove,Strongly disapprove,Strongly disapprove,White female,White female,60 or over,50-64,18-64,60 or over,Democratic,,,Disapprove,Disapprove,Disapprove,All others,Single women,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20696.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.996277928352356,Orrin Hatch (Rep),Male,White,40-44,Republican,Conservative,$30k-$50k,Yes,No,Strongly approve,Somewhat approve,Somewhat approve,White male,White male,30-44,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,Approve,Approve,Approve,All others,Married men,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20735.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.996277928352356,Orrin Hatch (Rep),Male,White,50-59,Republican,Conservative,$100k-$150k,Yes,No,Strongly approve,Strongly approve,Somewhat approve,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Approve,Approve,Approve,All others,Married men,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20790.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.957085013389587,Orrin Hatch (Rep),Female,White,30-39,Republican,Moderate,$30k-$50k,No,No,Strongly approve,Strongly approve,Strongly Approve,White female,White female,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,Approve,Approve,Approve,All others,Single women,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
20842.0, Utah,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.17919957637787,Pete Ashdown (Dem),Male,White,30-39,Something else,Moderate,$100k-$150k,Yes,No,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Disapprove,Disapprove,Disapprove,All others,Married men,White,Suburbs,Suburbs,3.0,Strong Republican,Salt Lake County,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84095.0
