ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENWA06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,CHILD,LATINO,BUSH4,COUNTACC,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPENVRS,SAFER06,LANDBUSH,ANWRQ,STECWA,STEC2,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,COUNT2,UNIONHH,UNIONVOT,UNIONMEM,MOMS,PARENTS,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
2767.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.22583973407745,Maria Cantwell (Dem),Female,White,50-59,Democratic,Liberal,$50k-$75k,None,Never,Postgraduate study,No one does,No,No,Strongly disapprove,Very confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Extremely important,Less safe from terrorism,Hurt your state,Oppose,Good,Excellent/Good,To express opposition to George W Bush,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,None,White None,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others, Women without children,White,"Cities over 500,000","Cities over 50,000",7.0,Strong Democratic,King County,High Density Urban,Urban,Urban Core,Downscale
2768.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.632969617843628,Maria Cantwell (Dem),Male,White,45-49,Independent,Moderate,$50k-$75k,Catholic,A few time a year,Postgraduate study,"Yes, I do",No,No,Strongly approve,Very confident,Send more troops,Somewhat approve,Not at all important,Not at all important,Extremely important,Very important,Safer from terrorism,Not affected your state,Oppose,Good,Excellent/Good,George W Bush was not a factor,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,Very/Somewhat confident,Yes,Yes,I am (voter is member),All others,Men without children,White,Suburbs,Suburbs,9.0,Strong Democratic,West,Suburb,70s Suburbs,Urban Perimeter,Upscale
2769.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.89890885353088,Maria Cantwell (Dem),Male,White,45-49,Something else,Liberal,$15k-$30k,Other Christian,A few time a year,High school graduate,No one does,Yes,No,Strongly approve,Somewhat confident,Withdraw all troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,Less safe from terrorism,Hurt your state,Oppose,Not so good,Not so good/Poor,George W Bush was not a factor,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,High school graduate or less,Approve,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Men with children,White,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,West,Suburb,Rural,Rural,Upscale
2770.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.37799394130707,Mike McGavick (Rep),Male,White,65-74,Democratic,Conservative,$50k-$75k,Catholic,More than once a week,Some college or associate degree,"Yes, someone else does",No,No,Strongly disapprove,Very confident,Send more troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Less safe from terrorism,No Answer,Favor,Excellent,Excellent/Good,George W Bush was not a factor,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Disapprove,Same number or more troops,Disapprove,Very/Somewhat confident,Yes,No,"Else in HH (member in household, but not voter",All others,Men without children,White,"Cities 50,000-500,000","Cities over 50,000",6.0,Strong Democratic,Urban Puget Sound,High Density Urban,Urban,Urban Core,Very downscale
2771.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.996802866458893,Mike McGavick (Rep),Male,White,40-44,Republican,Conservative,$100k-$150k,Protestant,Once a week,College graduate,No one does,Yes,No,Somewhat approve,Somewhat confident,Withdraw some troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,Helped your state,Favor,Excellent,Excellent/Good,To express support for George W Bush,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,Withdraw all or some troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,Men with children,White,"Cities 50,000-500,000","Cities over 50,000",4.0,Strong Republican,East,Suburb,Urban,Urban Core,Downscale
2772.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.674825131893158,Maria Cantwell (Dem),Female,Hispanic/Latino,40-44,Independent,Moderate,$50k-$75k,Other Christian,A few times a month,College graduate,"Yes, someone else does",Yes,Yes,No answer,Somewhat confident,Withdraw some troops,Somewhat disapprove,Somewhat important,Extremely important,Extremely important,Very important,Less safe from terrorism,No Answer,Oppose,Not so good,Not so good/Poor,No answer,Non-white female,Non-white,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,Ocassionally,All others,College graduate,At least some college,No answer,Withdraw all or some troops,Disapprove,Very/Somewhat confident,Yes,No,"Else in HH (member in household, but not voter",Women with children,Women with children,White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Strong Democratic,West,Low Density Rural,Rural,Rural,Very downscale
2773.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.36403900384903,Maria Cantwell (Dem),Female,White,50-59,Democratic,Moderate,$30k-$50k,Protestant,A few time a year,College graduate,"Yes, I do",No,No,Somewhat disapprove,Not very confident,Withdraw some troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,Less safe from terrorism,Hurt your state,Oppose,Not so good,Not so good/Poor,To express opposition to George W Bush,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Not very/Not at all confident,Yes,Yes,I am (voter is member),All others, Women without children,White,Rural,Small Cities/Rural,4.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Very downscale
2774.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.5662636756897,Mike McGavick (Rep),Male,White,60-64,Something else,Conservative,,Something else,Once a week,High school graduate,"Yes, I do",No,No,Strongly approve,Not at all confident,Maintain the same number of troops,Strongly approve,Not at all important,Somewhat important,Extremely important,Somewhat important,Safer from terrorism,Not affected your state,Favor,Good,Excellent/Good,To express support for George W Bush,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,,,Something else,White Something else,Weekly,All others,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,Not very/Not at all confident,Yes,Yes,I am (voter is member),All others,Men without children,White,Suburbs,Suburbs,2.0,Competitive,Urban Puget Sound,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale
2775.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.44309210777283,Aaron Dixon (Green),Female,White,25-29,Independent,Liberal,$30k-$50k,None,Never,College graduate,No one does,Yes,No,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Not at all important,Somewhat important,Extremely important,Less safe from terrorism,Hurt your state,Oppose,Good,Excellent/Good,To express opposition to George W Bush,White female,White female,18-29,25-29,18-64,18-29,Independent/Something else,Less than $50k,Less than $100k,None,White None,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),Women with children,Women with children,White,Suburbs,Suburbs,1.0,Strong Democratic,Urban Puget Sound,Suburb,80s Suburbs,Urban Perimeter,Upscale
2776.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.781241059303284,Maria Cantwell (Dem),Female,White,65-74,Independent,Moderate,$15k-$30k,Protestant,Once a week,Some college or associate degree,"Yes, I do",No,No,Somewhat disapprove,Not very confident,Withdraw some troops,Strongly disapprove,Not at all important,Somewhat important,Somewhat important,Very important,Safer from terrorism,Not affected your state,Oppose,Good,Excellent/Good,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Not very/Not at all confident,Yes,Yes,I am (voter is member),All others, Women without children,White,"Cities 10,000-50,000",Small Cities/Rural,2.0,Competitive,West,Low Density Rural,Rural,Rural,Downscale
2777.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.2441474199295,Mike McGavick (Rep),Male,White,75 or over,Independent,Conservative,Under $15k,None,Never,College graduate,"Yes, I do",No,No,Somewhat approve,Not very confident,Maintain the same number of troops,Strongly approve,Extremely important,Extremely important,Not at all important,Not at all important,Less safe from terrorism,Not affected your state,Favor,Good,Excellent/Good,George W Bush was not a factor,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,None,White None,Never,All others,College graduate,At least some college,Approve,Same number or more troops,Approve,Not very/Not at all confident,Yes,Yes,I am (voter is member),All others,Men without children,White,Suburbs,Suburbs,3.0,Strong Democratic,West,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale
2778.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.06304800510406,Maria Cantwell (Dem),Female,White,40-44,Democratic,Conservative,$75k-$100k,None,A few time a year,Some college or associate degree,No one does,No,No,Somewhat disapprove,Somewhat confident,Maintain the same number of troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Extremely important,Safer from terrorism,Not affected your state,Oppose,Good,Excellent/Good,To express opposition to George W Bush,White female,White female,30-44,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,None,White None,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Same number or more troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,8.0,Competitive,King County,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
2779.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.95502781867981,Maria Cantwell (Dem),Female,White,45-49,Republican,Conservative,,Catholic,A few times a month,College graduate,No one does,No,No,Strongly disapprove,Somewhat confident,Send more troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,Less safe from terrorism,Helped your state,Oppose,Excellent,Excellent/Good,George W Bush was not a factor,White female,White female,45-59,40-49,18-64,30-59,Republican,,,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,Same number or more troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others, Women without children,White,Rural,Small Cities/Rural,6.0,Strong Democratic,West,Extremely Low Density Rural,Rural,Rural,Very downscale
2780.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.72182679176331,Mike McGavick (Rep),Male,Black,45-49,Independent,Conservative,$75k-$100k,Protestant,A few time a year,College graduate,"Yes, I do",No,No,Somewhat disapprove,Very confident,Maintain the same number of troops,Somewhat approve,Extremely important,Extremely important,Somewhat important,Very important,Safer from terrorism,Not affected your state,Oppose,Good,Excellent/Good,George W Bush was not a factor,Non-white male,Non-white,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Same number or more troops,Approve,Very/Somewhat confident,Yes,Yes,I am (voter is member),All others,Men without children,Black,Suburbs,Suburbs,5.0,Strong Republican,East,Suburb,70s Suburbs,Urban Perimeter,Upscale
2781.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.437675058841705,Maria Cantwell (Dem),Female,White,75 or over,Independent,Liberal,$30k-$50k,Protestant,Once a week,High school graduate,No one does,No,No,Somewhat disapprove,Somewhat confident,Withdraw some troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,No Answer,Not affected your state,Oppose,Good,Excellent/Good,To express opposition to George W Bush,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others, Women without children,White,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,West,Suburb,Urban,Urban Core,Downscale
2782.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.566521227359772,Maria Cantwell (Dem),Female,White,65-74,Independent,Conservative,$15k-$30k,Protestant,More than once a week,Some college or associate degree,No one does,No,No,Strongly disapprove,Not at all confident,No answer,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Very important,Less safe from terrorism,Hurt your state,Oppose,No Answer,No Answer,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Disapprove,No answer,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,1.0,Strong Democratic,Urban Puget Sound,Suburb,70s Suburbs,Urban Perimeter,Very upscale
2783.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.693041503429413,Mike McGavick (Rep),Female,White,65-74,Republican,Conservative,$30k-$50k,Protestant,Once a week,High school graduate,No one does,No,No,Somewhat approve,Not very confident,Maintain the same number of troops,Somewhat approve,Not at all important,Somewhat important,Somewhat important,Very important,Less safe from terrorism,No Answer,No Answer,Good,Excellent/Good,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,Not very/Not at all confident,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,2.0,Competitive,Urban Puget Sound,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale
2784.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.506259024143219,Maria Cantwell (Dem),Female,White,50-59,Independent,Liberal,$15k-$30k,Protestant,A few time a year,Some college or associate degree,"Yes, I do",No,No,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Extremely important,Less safe from terrorism,No Answer,Oppose,Good,Excellent/Good,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,Yes,Yes,I am (voter is member),All others, Women without children,White,Suburbs,Suburbs,1.0,Strong Democratic,Urban Puget Sound,Suburb,80s Suburbs,Urban Perimeter,Upscale
2785.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.867148041725159,Mike McGavick (Rep),Female,White,50-59,Republican,Moderate,$50k-$75k,Something else,A few times a month,High school graduate,No one does,No,No,Strongly approve,Not at all confident,Send more troops,Strongly approve,Somewhat important,Somewhat important,Extremely important,Very important,Safer from terrorism,Helped your state,Favor,Poor,Not so good/Poor,To express support for George W Bush,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Something else,White Something else,Ocassionally,All others,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,Not very/Not at all confident,No,No,No (no union member in household),All others, Women without children,White,Rural,Small Cities/Rural,5.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Very downscale
2786.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.04720783233643,Maria Cantwell (Dem),Female,White,50-59,Democratic,Moderate,$75k-$100k,Protestant,A few time a year,Some college or associate degree,No one does,No,No,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Very important,Less safe from terrorism,Not affected your state,Oppose,Good,Excellent/Good,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others, Women without children,White,"Cities 50,000-500,000","Cities over 50,000",3.0,Strong Democratic,West,Suburb,Urban,Urban Core,Downscale
2787.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.795966923236847,Maria Cantwell (Dem),Female,,45-49,Independent,Moderate,$200k or more,Something else,A few time a year,College graduate,No one does,Yes,,Strongly disapprove,Somewhat confident,No answer,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Very important,Less safe from terrorism,Hurt your state,Oppose,Good,Excellent/Good,To express opposition to George W Bush,,,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Something else,Non-White,Ocassionally,All others,College graduate,At least some college,Disapprove,No answer,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),Women with children,Women with children,,Suburbs,Suburbs,1.0,Strong Democratic,Urban Puget Sound,Suburb,70s Suburbs,Urban Perimeter,Very upscale
2788.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.506259024143219,Maria Cantwell (Dem),Female,White,50-59,Independent,Moderate,,None,No answer,College graduate,No one does,No,No,Strongly disapprove,Somewhat confident,Maintain the same number of troops,Strongly disapprove,Not at all important,Not at all important,Somewhat important,Very important,Less safe from terrorism,Not affected your state,Oppose,Good,Excellent/Good,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,,,None,White None,No answer,All others,College graduate,At least some college,Disapprove,Same number or more troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,1.0,Strong Democratic,Urban Puget Sound,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale
2789.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.837680280208588,Mike McGavick (Rep),Female,White,65-74,Independent,Conservative,$50k-$75k,Protestant,A few time a year,Some college or associate degree,No one does,No,No,Strongly approve,Somewhat confident,Send more troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,Safer from terrorism,Helped your state,Favor,Good,Excellent/Good,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,3.0,Strong Democratic,West,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale
2790.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.93612492084503,Mike McGavick (Rep),Male,White,40-44,Republican,Conservative,$50k-$75k,Mormon/LDS,More than once a week,Postgraduate study,"Yes, I do",Yes,No,No answer,Not at all confident,Withdraw all troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,No Answer,Favor,Poor,Not so good/Poor,George W Bush was not a factor,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,No answer,Withdraw all or some troops,Disapprove,Not very/Not at all confident,Yes,Yes,I am (voter is member),All others,Men with children,White,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,West,Suburb,Rural,Rural,Downscale
2791.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.34214544296265,Maria Cantwell (Dem),Male,White,50-59,Democratic,Moderate,,Something else,A few time a year,Postgraduate study,No one does,No,No,Somewhat disapprove,Somewhat confident,Withdraw some troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Very important,No Answer,Hurt your state,Oppose,Good,Excellent/Good,To express opposition to George W Bush,White male,White male,45-59,50-64,18-64,30-59,Democratic,,,Something else,White Something else,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Men without children,White,Suburbs,Suburbs,1.0,Strong Democratic,Urban Puget Sound,Suburb,70s Suburbs,Urban Perimeter,Very upscale
2792.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.11509656906128,Mike McGavick (Rep),Male,White,25-29,Independent,Conservative,$75k-$100k,Catholic,A few time a year,High school graduate,No one does,No,No,Strongly disapprove,Somewhat confident,Maintain the same number of troops,Somewhat disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Safer from terrorism,No Answer,Oppose,Poor,Not so good/Poor,George W Bush was not a factor,White male,White male,18-29,25-29,18-64,18-29,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Same number or more troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Men without children,White,Rural,Small Cities/Rural,6.0,Strong Democratic,West,Low Density Rural,Rural,Rural,Downscale
2793.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.755361676216125,Maria Cantwell (Dem),Female,White,65-74,Democratic,Liberal,$15k-$30k,Other Christian,A few time a year,High school graduate,No one does,No,No,Strongly disapprove,Not very confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Extremely important,Less safe from terrorism,Hurt your state,Oppose,Not so good,Not so good/Poor,To express opposition to George W Bush,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,8.0,Competitive,Urban Puget Sound,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale
