ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENTX06,GOVTX06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,EDUC,LATINO,BUSH4,IRAQWAR,TWOWAYGOVTEX,PERRYJOB,PERRJOB2,IMMFENCE,IMPIRAQS,IMPTERRS,IMPECONS,IMPIMMIGS,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
3674.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.370334208011627,Kay Bailey Hutchison (Rep),Rick Perry (Rep),Female,White,75 or over,Republican,Conservative,$30k-$50k,Some college or associate degree,No,Strongly approve,Strongly approve,Rick Perry (Rep),Strongly approve,Approve,Somewhat,Extremely important,Somewhat important,Extremely important,Somewhat important,Deported to the country they came from,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",19.0,Strong Republican,West,High Density Urban,Urban,Urban Core,Upscale
3675.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.34607100486755,Kay Bailey Hutchison (Rep),Rick Perry (Rep),Female,White,60-64,Republican,Conservative,$150k-$200k,Some college or associate degree,No,Strongly approve,Somewhat approve,Rick Perry (Rep),Somewhat approve,Approve,A great deal,Somewhat important,Extremely important,Extremely important,Somewhat important,Offered a chance to apply for legal status,White female,White female,60 or over,50-64,18-64,60 or over,Republican,$50k or more,$100k or more,Did not graduate from college,At least some college,Approve,Approve,White,English,"Cities over 500,000","Cities over 50,000",2.0,Strong Republican,Houston,Suburb,Urban,Urban Core,Very upscale
3676.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.821861505508423,Other,Rick Perry (Rep),Female,Black,50-59,Independent,Liberal,Under $15k,College graduate,No,Somewhat disapprove,Strongly disapprove,Rick Perry (Rep),Somewhat approve,Approve,Somewhat,Extremely important,Somewhat important,Somewhat important,Somewhat important,Offered a chance to apply for legal status,Non-white female,Non-white,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,Black,English,"Cities over 500,000","Cities over 50,000",22.0,Competitive,Houston,Suburb,Urban,Urban Core,Downscale
3677.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.99560475349426,Kay Bailey Hutchison (Rep),Carole Strayhorn (Ind),Male,White,25-29,Something else,Moderate,$30k-$50k,Some college or associate degree,No,Strongly approve,Strongly approve,Rick Perry (Rep),Somewhat approve,Approve,A great deal,Extremely important,Extremely important,Somewhat important,Somewhat important,Deported to the country they came from,White male,White male,18-29,25-29,18-64,18-29,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Approve,Approve,White,English,Rural,Small Cities/Rural,13.0,Strong Republican,West,Extremely Low Density Rural,Rural,Rural,Downscale
3678.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.805022656917572,Barbara Ann Radnofsky (Dem),Kinky Friedman (Ind),Male,White,45-49,Democratic,Moderate,$30k-$50k,High school graduate,No,Strongly disapprove,Strongly disapprove,Chris Bell (Dem),Strongly disapprove,Disapprove,A great deal,Somewhat important,Not at all important,Somewhat important,Extremely important,Deported to the country they came from,White male,White male,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,White,English,Suburbs,Suburbs,5.0,Strong Republican,Dallas/Fort Worth,High Density Urban,80s Suburbs,Urban Perimeter,Upscale
3679.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.228623017668724,Kay Bailey Hutchison (Rep),Rick Perry (Rep),Female,Hispanic/Latino,50-59,Republican,Conservative,$75k-$100k,High school graduate,Yes,Strongly disapprove,Strongly approve,Rick Perry (Rep),Strongly disapprove,Disapprove,Not at all,Somewhat important,Extremely important,Somewhat important,Somewhat important,No answer,Non-white female,Non-white,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Approve,Hispanic/Latino,English,Suburbs,Suburbs,27.0,Strong Democratic,Hispanic South,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale
3680.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.215796411037445,Barbara Ann Radnofsky (Dem),Chris Bell (Dem),Female,Black,75 or over,Democratic,Liberal,$30k-$50k,College graduate,No,Somewhat approve,Strongly disapprove,Chris Bell (Dem),No Answer,No Answer,No answer,Not at all important,Somewhat important,Extremely important,No answer,Offered a chance to apply for legal status,Non-white female,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,College graduate,At least some college,Approve,Disapprove,Black,English,"Cities over 500,000","Cities over 50,000",32.0,Strong Republican,Dallas/Fort Worth,High Density Urban,Urban,Urban Core,Downscale
3681.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.69386339187622,,Chris Bell (Dem),Male,White,30-39,Independent,,$75k-$100k,Postgraduate study,No,Strongly disapprove,Strongly disapprove,Chris Bell (Dem),Somewhat disapprove,Disapprove,Not at all,Extremely important,Not at all important,Somewhat important,Not at all important,No answer,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,White,English,"Cities over 500,000","Cities over 50,000",23.0,Competitive,Hispanic South,High Density Urban,Urban,Urban Core,Upscale
3682.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.856114089488983,Barbara Ann Radnofsky (Dem),Chris Bell (Dem),Male,Hispanic/Latino,40-44,Democratic,Liberal,$100k-$150k,Postgraduate study,Yes,Strongly disapprove,Strongly disapprove,Chris Bell (Dem),Strongly disapprove,Disapprove,Not at all,Extremely important,Somewhat important,Extremely important,Not at all important,Offered a chance to apply for legal status,Non-white male,Non-white,30-44,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Strong Republican,East,Suburb,Urban,Urban Core,Very upscale
3683.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.783239662647247,Barbara Ann Radnofsky (Dem),Rick Perry (Rep),Female,Black,30-39,Something else,Moderate,$75k-$100k,College graduate,No,Somewhat approve,Somewhat approve,Rick Perry (Rep),Strongly approve,Approve,Not at all,Not at all important,Extremely important,Extremely important,Extremely important,Deported to the country they came from,Non-white female,Non-white,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,College graduate,At least some college,Approve,Approve,Black,English,"Cities over 500,000","Cities over 50,000",18.0,Strong Democratic,Houston,Suburb,Urban,Urban Core,Very upscale
