ID,WEIGHT,TXDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND20,ATTEND20B,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,DEMMONEY20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEBOOK,FAVSOCIALISM,FREECOLLEGE,GEOCODE,GUNOWNER12,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,TWITTER,VERSION,VETVOTER,VOTENOV20,WINORISS20,ZIPCODE
277208377.0,0.338614642620087,Bernie Sanders,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,2.0,It is fair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,,Health care,No,,,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,77429.0
277208378.0,0.689106941223145,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,7.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,,Health care,No,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Is a fighter,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,77429.0
277208379.0,0.497937589883804,Elizabeth Warren,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Occasionally,Once a week or more or Occasionally,Complete,,,,,,31.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,4.0,,Race relations,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Warren,South,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,78664.0
277208380.0,1.36181628704071,Michael Bloomberg,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,,,,,,17.0,It is fair,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,No,,,4.0,,Climate change,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Warren,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,78664.0
277208381.0,1.06272256374359,Bernie Sanders,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,All others,All others,,,Complete,,,,,,31.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,4.0,,Health care,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,All others,Very liberal,Liberal,Liberal,,,Omit,Other,Asian,State questionnaire,Asian,Non-white,Asian,Sanders,South,Male,All other races,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,78664.0
277208382.0,2.07180833816528,Joe Biden,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,,,Complete,,,,,,17.0,Omit,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Omit,,,4.0,,Health care,Yes,,,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,,Omit,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Omit,South,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,Omit,Version 1,,,Can beat Donald Trump,78664.0
277208383.0,0.553773820400238,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,,,Complete,,,,,,17.0,Omit,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Omit,,,4.0,,Health care,Yes,,,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,,Omit,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Omit,South,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,Omit,Version 1,,,Can beat Donald Trump,78664.0
277208384.0,0.534006893634796,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,17.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,4.0,,Health care,Yes,,,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Omit,South,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,78664.0
277208385.0,2.94548654556274,Pete Buttigieg,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Never,Never,Complete,,,,,,17.0,It is fair,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,No,,,4.0,,Health care,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,78664.0
277208386.0,1.72229433059692,Michael Bloomberg,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Never,Never,Complete,,,,,,31.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,,,4.0,,Income inequality,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,Yes,,Can beat Donald Trump,78664.0
