ID,WEIGHT,CADPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVBLOOMBERG,FAVBUTTIGIEG,FAVKLOBUCHAR,FAVSANDERS,FAVSOCIALISM,FAVWARREN2,FREECOLLEGE,GEOCODE,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,VERSION,VOTENOV20,WINORISS20,ZIPCODE
277204980.0,1.90991187095642,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,,,,,21.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,Unfavorable,,2.0,Health care,No,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Female,White women,,Suburbs,Suburbs,English,California,White suburban women,Telephone survey,,,,,Version 1,,Can beat Donald Trump,93656.0
277204981.0,0.784751236438751,Michael Bloomberg,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,4.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Favorable,Unfavorable,Unfavorable,Favorable,Favorable,Unfavorable,,2.0,Income inequality,No,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Female,White women,,Suburbs,Suburbs,English,California,White suburban women,Telephone survey,,,,,Version 1,,Can beat Donald Trump,95746.0
277204982.0,0.784751236438751,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,7.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Omit,Favorable,Favorable,Omit,Favorable,Omit,,2.0,Climate change,No,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,Telephone survey,,,,,Version 1,,Can beat Donald Trump,95864.0
277204983.0,3.07179808616638,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,,,43.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Favorable,Favorable,Unfavorable,Unfavorable,Favorable,Favorable,Favorable,,4.0,Health care,No,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Male,White men,,Suburbs,Suburbs,English,California,White suburban men,Telephone survey,,,,,Version 1,,Can beat Donald Trump,90304.0
277204984.0,1.5346816778183,Michael Bloomberg,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,,,,,10.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Favorable,Unfavorable,Unfavorable,Favorable,Favorable,Favorable,,2.0,Health care,No,Yes,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,No,Is a fighter,White,White,State questionnaire,White,White,White,West,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,Telephone survey,,,,,Version 1,,Can beat Donald Trump,95350.0
277204985.0,2.07756662368774,Joe Biden,,,,,,,,,,,Complete,,,,,,20.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Favorable,Omit,Omit,Favorable,Favorable,Favorable,,1.0,Health care,No,No,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,,Suburbs,Suburbs,English,California,White suburban women,Telephone survey,,,,,Version 1,,Agrees with you on major issues,93955.0
277204986.0,1.1763516664505,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,,,,,,2.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Omit,Omit,Omit,Favorable,Omit,Omit,,3.0,Omit,Yes,No,,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,,,,,Yes,Can unite the country,Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Female,Latino women,,Suburbs,Suburbs,English,California,Other,Telephone survey,,,,,Version 1,,Agrees with you on major issues,94949.0
277204987.0,0.981166064739227,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,2.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Unfavorable,Favorable,Favorable,Favorable,Favorable,Favorable,,1.0,Climate change,No,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Is a fighter,White,White,State questionnaire,White,White,White,West,Male,White men,,Rural,Small Cities/Rural,English,California,Other,Telephone survey,,,,,Version 1,,Can beat Donald Trump,95503.0
277204988.0,1.62259018421173,Amy Klobuchar,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,,,,,27.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Omit,Unfavorable,Unfavorable,Favorable,Unfavorable,Omit,Favorable,,4.0,Health care,No,No,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,West,Female,Black women,,Suburbs,Suburbs,English,California,Other,Telephone survey,,,,,Version 1,,Can beat Donald Trump,91001.0
277204989.0,0.666526556015015,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,27.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Unfavorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,,2.0,Climate change,No,No,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,,No,Can unite the country,White,White,State questionnaire,White,White,White,West,Male,White men,,Suburbs,Suburbs,English,California,White suburban men,Telephone survey,,,,,Version 1,,Can beat Donald Trump,91784.0
