ID,WEIGHT,MIDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPJT,CALL,CDNUM,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSDEM20B,LATINO,LGBT,MAJCRISISJT,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20JT,REGION,SATBIDEN20,SATBIDEN20B,SATBLOOMBERG20,SATBLOOMBERG20B,SATSANDERS20,SATSANDERS20B,SATWARREN20,SATWARREN20B,SEX,SEXBYRACE,SEXWED,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEJT20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,UNIONHH12,VERSION,VOTENOV20,WHNCLINC,WINORISS20,WORK,WRKWOMEN,WRKWOMEN4,ZIPCODE
277228097.0,1.54389071464539,Bernie Sanders,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,11.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,1.0,,,,,,,Climate change,No,,Sanders,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,135.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Sanders,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Married men,,Suburbs,Suburbs, Michigan,White suburban men,Election day exit poll,,,,,No,Version 1,,,Agrees with you on major issues,,,,48188.0
277228098.0,0.966482877731323,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Not complete,,Call 1,5.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,,,,,,,,No,,Biden,No,45+,65+,,,,,,,,,,17.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,,Midwest,,,,,,,,,Male,Black men,Non married men,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,,Version 1,,,,,,,48505.0
277228099.0,1.799471616745,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Not complete,,Call 1,9.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,3.0,,,,,,,,No,,,,18-44,18-64,,,,,,,,,,68.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,,Oppose,Suburbs,Suburbs, Michigan,White suburban men,Election day exit poll,Before that,Earlier than that,Earlier than that,,,Version 2,,,,,,,48313.0
277228100.0,1.799471616745,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Not complete,,Call 1,9.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,3.0,,,,,,,,No,,,,18-44,18-64,,,,,,,,,,68.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,,Oppose,Suburbs,Suburbs, Michigan,White suburban men,Election day exit poll,Before that,Earlier than that,Earlier than that,,,Version 2,,,,,,,48313.0
277228101.0,0.897484838962555,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Sanders,Call 1,7.0,Needs a complete overhaul,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,3.0,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,No,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,51.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,,Oppose,Rural,Small Cities/Rural, Michigan,Other,Election day exit poll,In the last few days,Last few days,In the last month,Angry,Yes,Version 2,Yes,Yes,Agrees with you on major issues,No,All others,Non-working men,49236.0
277228102.0,0.632583439350128,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 1,2.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,4.0,,,,,,,Income inequality,No,,Sanders,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Very liberal,Liberal,Liberal,48.0,Yes,Is a fighter,White,White,State questionnaire,White,White,White,Sanders,Midwest,"Dissatisfied, but not angry","Dissastisfied, but not angry or Angry","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Female,White women,Non married women,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,No,Version 1,,,Can beat Donald Trump,,,,49509.0
277228103.0,1.7016988992691,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,11.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,,,,,,,Health care,No,,Biden,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,92.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Biden,Midwest,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Angry,"Dissastisfied, but not angry or Angry",Angry,"Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Married women,,Suburbs,Suburbs, Michigan,White suburban women,Election day exit poll,,,,,No,Version 1,,,Can beat Donald Trump,,,,48178.0
277228104.0,0.650318562984467,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Sanders,Call 1,6.0,Needs minor changes,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,4.0,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Climate change,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,38.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,,Support,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,Just today,Last few days,In the last month,Angry,No,Version 2,No,Yes,Agrees with you on major issues,No,All others,Non-working men,49006.0
277228106.0,0.824261426925659,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,All others,All others,Complete,,Call 1,11.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,,,,,,,Income inequality,No,,Sanders,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,All others,Somewhat liberal,Liberal,Liberal,135.0,Yes,Cares about people like me,Other,Other,State questionnaire,Other,Non-white,Other,Sanders,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,All other races,Non married women,,Suburbs,Suburbs, Michigan,Other,Election day exit poll,,,,,No,Version 1,,,Agrees with you on major issues,,,,48188.0
277228107.0,0.562334895133972,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Sanders,Call 1,7.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,3.0,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Race relations,No,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,51.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,,Support,Rural,Small Cities/Rural, Michigan,Other,Election day exit poll,In February,Earlier than that,Earlier than that,"Dissatisfied, but not angry",No,Version 2,Yes,No,Omit,Yes,All others,Working men,49236.0
