ID,WEIGHT,TNDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND20,ATTEND20B,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,DEMMONEY20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEBOOK,FAVSOCIALISM,FREECOLLEGE,GEOCODE,GEOCODETND,GUNOWNER12,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,TWITTER,VERSION,VETVOTER,VOTENOV20,WINORISS20,ZIPCODE
277207284.0,1.13728058338165,Joe Biden,,,,,,,,,,,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,8.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,No,,,5.0,4.0,,Health care,,,,,,Democrat,,,,Democrat,,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,,,State questionnaire,,,,Biden,South,,,,Suburbs,Suburbs,Tennessee,,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,38002.0
277207285.0,0.923064470291138,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Never,Never,Complete,,,,,,9.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,,,5.0,4.0,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,38002.0
277207286.0,1.96985590457916,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,8.0,It is unfair,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Yes,,,5.0,4.0,,Health care,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,38002.0
277207287.0,1.03892767429352,Joe Biden,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,,,Complete,,,,,,8.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Omit,,,5.0,4.0,,Omit,No,,,18-44,18-64,,,,,,,,,,,No,Omit,Black,Black,State questionnaire,Black,Non-white,Black,Omit,South,Female,Black women,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,Omit,Version 1,,,Omit,38002.0
277207288.0,1.44036817550659,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,,,Complete,,,,,,8.0,It is fair,,,,,,No,,,5.0,4.0,,Health care,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,No,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Omit,South,Male,Black men,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,Yes,,Can beat Donald Trump,38002.0
277207289.0,1.47523629665375,Michael Bloomberg,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,8.0,It is fair,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,5.0,4.0,,Income inequality,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Is a fighter,Black,Black,State questionnaire,Black,Non-white,Black,Buttigieg,South,Male,Black men,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,Yes,,Can beat Donald Trump,38002.0
277207290.0,0.650063514709473,Elizabeth Warren,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Occasionally,Once a week or more or Occasionally,Complete,,,,,,9.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,5.0,4.0,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,38002.0
277207291.0,0.650063514709473,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Never,Never,Complete,,,,,,9.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,5.0,4.0,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,No,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,Yes,Version 1,No,,Agrees with you on major issues,38002.0
277207292.0,1.01564395427704,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,9.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,5.0,4.0,,Omit,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Omit,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,Yes,,Can beat Donald Trump,38002.0
277207293.0,1.96985590457916,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,8.0,It is fair,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Yes,,,5.0,4.0,,Health care,No,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,38002.0
277207294.0,1.01564395427704,Bernie Sanders,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,8.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,5.0,4.0,,Health care,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,38002.0
277207295.0,1.96985590457916,Amy Klobuchar,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Occasionally,Once a week or more or Occasionally,Complete,,,,,,8.0,It is unfair,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,No,,,5.0,4.0,,Health care,No,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Klobuchar,South,Male,Black men,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,38002.0
