ID,WEIGHT,VADPRS20,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVBLOOMBERG,FAVBUTTIGIEG,FAVKLOBUCHAR,FAVSANDERS,FAVWARREN2,FREECOLLEGE,GEOCODE,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,VERSION,VOTENOV20,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277222008.0,1.04032957553864,Joe Biden,Complete,,The most important factor,A factor,Important,Call 3,3.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Favorable,Unfavorable,Favorable,,3.0,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,101.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,23701.0
277210732.0,2.58407497406006,Joe Biden,Complete,Biden,,,,Call 1,10.0,Works well enough as is,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,Oppose,1.0,Climate change,No,No,Return to Barack Obama's policies,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,50.0,,,Other,Other,State questionnaire,Other,Non-white,Other,,South,Male,All other races,Support,Suburbs,Suburbs, Virginia,Other,Election day exit poll,Last few days,In the last month,Just today,"Dissatisfied, but not angry",Version 2,Yes,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,20132.0
277210731.0,0.712396502494812,Joe Biden,Complete,,One of several important factors,A factor,Important,Call 1,4.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,,4.0,Income inequality,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,39.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Suburbs,Suburbs, Virginia,Other,Election day exit poll,,,,,Version 1,,Agrees with you on major issues,45-65,30-59,45-49,45+,17-49,45-59,40-49,23075.0
277210718.0,3.67315316200256,Joe Biden,Complete,Biden,,,,Call 1,10.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,Support,1.0,Health care,,No,Return to Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,50.0,,,White,White,State questionnaire,White,White,White,,South,Female,White women,Oppose,Suburbs,Suburbs, Virginia,White suburban women,Election day exit poll,Last few days,In the last month,In the last few days,Angry,Version 2,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,20132.0
277210717.0,0.478783369064331,Joe Biden,Complete,Biden,,,,Call 1,5.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,Support,2.0,Health care,No,No,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,1.0,,,White,White,State questionnaire,White,White,White,,South,Female,White women,Support,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 2,Yes,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,22901.0
277210716.0,0.834991991519928,Joe Biden,Complete,,A minor factor,A factor,Not important,Call 1,3.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,,3.0,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,91.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,,,,,Version 1,,Agrees with you on major issues,45-65,30-59,45-49,45+,17-49,45-59,40-49,23666.0
277210715.0,0.834991991519928,Joe Biden,Complete,,One of several important factors,A factor,Important,Call 1,3.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Omit,Omit,Omit,Omit,Omit,,3.0,Income inequality,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,83.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Omit,South,Female,Black women,,Suburbs,Suburbs, Virginia,Other,Election day exit poll,,,,,Version 1,,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,23321.0
277210699.0,3.18574023246765,Joe Biden,Complete,,A minor factor,A factor,Not important,Call 1,10.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,,1.0,Climate change,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,50.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Klobuchar,South,Male,White men,,Suburbs,Suburbs, Virginia,White suburban men,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,20132.0
277210691.0,0.627061188220978,Joe Biden,Complete,Biden,,,,Call 1,5.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,Oppose,2.0,Climate change,No,No,Return to Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,1.0,,,White,White,State questionnaire,White,White,White,,South,Male,White men,Oppose,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Election day exit poll,Last few days,In the last month,In the last few days,Angry,Version 2,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,22901.0
277210688.0,0.712396502494812,Joe Biden,Complete,Biden,,,,Call 1,4.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,Support,4.0,Health care,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,39.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,Support,Suburbs,Suburbs, Virginia,Other,Election day exit poll,Earlier than that,In the last month,In February,Angry,Version 2,Yes,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,23075.0
