ID,WEIGHT,NCDPRS20,ATTEND20,ATTEND20B,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,DEMMONEY20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEBOOK,FAVSOCIALISM,FREECOLLEGE,GEOCODE,GUNOWNER12,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,TWITTER,VERSION,VETVOTER,VOTENOV20,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277206356.0,1.48207640647888,No preference,Occasionally,Once a week or more or Occasionally,Complete,,,,,,4.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Omit,,,2.0,,Race relations,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Omit,South,Male,White men,,Suburbs,Suburbs, North Carolina,White suburban men,Telephone survey,,,,,Omit,Version 1,,,Omit,65+,60+,65 or over,45+,50+,60+,65+,27312.0
277206357.0,0.434594243764877,Elizabeth Warren,Never,Never,Complete,,,,,,12.0,It is fair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,,,4.0,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,Yes,Version 1,No,,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,27410.0
277206358.0,0.383885651826859,Michael Bloomberg,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,12.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Yes,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,No,Can bring needed change,White,White,State questionnaire,White,White,White,Bloomberg,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,27410.0
277206359.0,0.778135597705841,Elizabeth Warren,Never,Never,Complete,,,,,,13.0,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Omit,,,2.0,,Health care,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Yes,Is a fighter,White,White,State questionnaire,White,White,White,Omit,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27606.0
277206360.0,0.355688214302063,Bernie Sanders,Never,Never,Complete,,,,,,12.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,4.0,,Income inequality,Yes,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,All others,Very liberal,Liberal,Liberal,,No,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Sanders,South,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27106.0
277206361.0,0.745915412902832,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,,,,,,9.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,,Climate change,No,,,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,Other,Other,State questionnaire,Other,Non-white,Other,Sanders,South,Female,All other races,,"Cities over 500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,28209.0
277206362.0,1.93040549755096,Michael Bloomberg,Never,Never,Complete,,,,,,10.0,It is fair,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,No,,,5.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Omit,White,White,State questionnaire,White,White,White,Omit,South,Male,White men,,Suburbs,Suburbs, North Carolina,White suburban men,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,28730.0
277206363.0,0.314186424016953,Bernie Sanders,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,4.0,,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,27320.0
277206364.0,0.314186424016953,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,4.0,,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Omit,South,Female,Black women,,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,27320.0
277206365.0,0.571898519992828,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,4.0,,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,27320.0
