ID,WEIGHT,OKDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPST,CALL,CDNUM,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,VERSION,VOTENOV20,WINORISS20,ZIPCODE
277212584.0,1.63599288463593,Bernie Sanders,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Sanders,Call 1,4.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,4.0,Race relations,No,Yes,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,36.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,South,Female,White women,Support,Rural,Small Cities/Rural,Oklahoma,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,No,Agrees with you on major issues,73098.0
277212600.0,1.7179673910141,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Sanders,Call 1,4.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,4.0,Health care,No,No,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,36.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,South,Male,White men,Support,Rural,Small Cities/Rural,Oklahoma,Other,Election day exit poll,Last few days,In the last month,Just today,Angry,Version 1,Yes,Can beat Donald Trump,73098.0
277212612.0,0.797288119792938,Bernie Sanders,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Sanders,Call 1,4.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,4.0,Health care,No,No,Return to Barack Obama's policies,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,36.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,South,Male,Black men,Oppose,Rural,Small Cities/Rural,Oklahoma,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,"Dissatisfied, but not angry",Version 1,Yes,Can beat Donald Trump,73098.0
277212625.0,0.850956976413727,Joe Biden,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Biden,Call 1,1.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,1.0,Health care,No,Yes,Change to more liberal policies,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,110.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,South,Male,White men,Oppose,"Cities 50,000-500,000","Cities over 50,000",Oklahoma,Other,Election day exit poll,Earlier than that,In the last month,In February,"Dissatisfied, but not angry",Version 1,Yes,Agrees with you on major issues,74107.0
277212630.0,1.64704751968384,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Omit,Call 1,4.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,4.0,Omit,No,No,Change to more conservative policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,Moderate or Conservative,Conservative,36.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,South,Female,White women,Oppose,Rural,Small Cities/Rural,Oklahoma,Other,Election day exit poll,Last few days,In the last month,Just today,"Dissatisfied, but not angry",Version 1,No,Agrees with you on major issues,73098.0
277212632.0,3.29409503936768,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Steyer,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,4.0,Health care,No,No,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,34.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,South,Female,White women,Support,Rural,Small Cities/Rural,Oklahoma,Other,Election day exit poll,Last few days,In the last month,In the last few days,Angry,Version 1,Yes,Can beat Donald Trump,73625.0
277212645.0,3.50930142402649,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Biden,Call 1,3.0,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,4.0,Climate change,No,No,Change to more liberal policies,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,34.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,South,Male,White men,Support,Rural,Small Cities/Rural,Oklahoma,Other,Election day exit poll,Last few days,In the last month,Just today,"Dissatisfied, but not angry",Version 1,Yes,Agrees with you on major issues,73625.0
277212656.0,1.858931183815,Michael Bloomberg,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Bloomberg,Call 1,1.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,1.0,Health care,No,No,Change to more conservative policies,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Conservative,Moderate or Conservative,Conservative,110.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,South,Male,White men,Support,"Cities 50,000-500,000","Cities over 50,000",Oklahoma,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Enthusiastic,Version 1,Yes,Agrees with you on major issues,74107.0
277212657.0,1.19594848155975,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Sanders,Call 1,4.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,4.0,Climate change,No,Yes,Change to more liberal policies,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Very liberal,Liberal,Liberal,36.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,South,Female,White women,Support,Rural,Small Cities/Rural,Oklahoma,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,Yes,Agrees with you on major issues,73098.0
277212674.0,1.57719373703003,Michael Bloomberg,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Not complete,,Call 1,4.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,4.0,,No,,Change to more liberal policies,18-44,18-64,,,,,,,,,,36.0,,,White,White,State questionnaire,White,White,White,South,Male,White men,,Rural,Small Cities/Rural,Oklahoma,Other,Election day exit poll,Last few days,In the last month,Just today,,Version 1,,,73098.0
