ID,WEIGHT,MNDPRS20,BACKSIDE,BEATTRUMPST,CALL,CDNUM,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVKLOBUCHAR,GEOCODE,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,VERSION,VOTENOV20,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277212618.0,0.822664797306061,Joe Biden,Complete,Biden,Call 1,5.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,1.0,Climate change,No,No,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,72.0,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,Yes,Agrees with you on major issues,17-29,17-29,17-24,17-44,17-49,17-29,17-24,55414.0
277212621.0,2.51514434814453,Joe Biden,Complete,Buttigieg,Call 1,8.0,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Favorable,4.0,Health care,No,No,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,25.0,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,Male,White men,Support,Suburbs,Suburbs,Minnesota,White suburban men,Election day exit poll,Last few days,In the last month,Just today,Angry,Version 1,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,55720.0
277212622.0,0.628716647624969,Joe Biden,Complete,Biden,Call 1,3.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,1.0,Omit,No,Yes,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,51.0,Cares about people like me,White,White,State questionnaire,White,White,White,Midwest,Male,White men,Oppose,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,Last few days,In the last month,In the last few days,Angry,Version 1,Yes,Can beat Donald Trump,30-44,30-59,40-44,17-44,17-49,30-44,40-49,55431.0
277212634.0,1.01523876190186,Joe Biden,Complete,Biden,Call 1,3.0,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,1.0,Climate change,No,No,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,51.0,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,Last few days,In the last month,In the last few days,Angry,Version 1,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,55431.0
277212635.0,3.28669166564941,Michael Bloomberg,Complete,Bloomberg,Call 1,8.0,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,4.0,Health care,No,No,Change to more conservative policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,25.0,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,Female,White women,Oppose,Suburbs,Suburbs,Minnesota,White suburban women,Election day exit poll,Last few days,In the last month,In the last few days,"Dissatisfied, but not angry",Version 1,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,55720.0
277212636.0,0.473409324884415,Bernie Sanders,Complete,Sanders,Call 1,5.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,1.0,Climate change,No,Yes,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,72.0,Can bring needed change,White,White,State questionnaire,White,White,White,Midwest,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,Yes,Can beat Donald Trump,17-29,17-29,25-29,17-44,17-49,17-29,25-29,55414.0
277212638.0,1.34802722930908,Joe Biden,Complete,Biden,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,2.0,Income inequality,No,No,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,8.0,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,Earlier than that,In the last month,In February,Angry,Version 1,Yes,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,55433.0
277212639.0,0.526919305324554,Bernie Sanders,Complete,Sanders,Call 1,4.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,2.0,Income inequality,No,No,Omit,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,All others,Conservative,Moderate or Conservative,Conservative,156.0,Cares about people like me,Other,Other,State questionnaire,Other,Non-white,Other,Midwest,Male,All other races,Oppose,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,Last few days,In the last month,In the last few days,Angry,Version 1,Yes,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,55129.0
277212640.0,2.00077962875366,Bernie Sanders,Complete,Biden,Call 1,4.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,1.0,Race relations,No,No,Change to more liberal policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,117.0,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Midwest,Female,Black women,Support,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,No,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,55130.0
277212641.0,3.28669166564941,Michael Bloomberg,Not complete,,Call 1,8.0,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,4.0,,No,,Change to more conservative policies,,,,,,,,,,25.0,,White,White,State questionnaire,White,White,White,Midwest,Male,White men,,Suburbs,Suburbs,Minnesota,White suburban men,Election day exit poll,Last few days,In the last month,Just today,,Version 1,,,65+,60+,65 or over,45+,50+,60+,65+,55720.0
