ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SEN,GOV,HOU,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAH,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,RELIGN10,STIMULUS,TEAPARTY,TEAREASH,TRACK,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,REL5,WHITEREL,TEAPARTY3,WHNCLINC,WHTEVANG,XTEAPARTYID,AFGHANWAR2,ATTENDWKLY,BREAK10,CELLPHONE,CONGRESS4,ECONBLAME,FTVOTER,GAY,LANDPHONE,LIFE,NEC,OBAMAPOL,QRACEAK,QRACEHI,SAMESEXM,TAXCUTS10,BREAK10A,BREAK10B,CELLULAR,CONGRESS,NEC2,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
864699.0,Arkansas,50019.0,,Complete,Telephone survey,0.383504837751389,The Democratic candidate,The Democratic candidate,The Democratic candidate,Female,Other,50-59,Democrat,Conservative,"$30,000-$49,999",College graduate,,,,,,,,,Government is doing too many things better left to businesses and individuals,,The economy,,Very worried,Strongly approve,,,,Strongly oppose,,,,Obama,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Other,,,Oppose,No,,Non-Tea Party supporters and Democrats,,,,,,,,,,,,,,,,,,,,,,National questionnaire,,"Cities 10,000-50,000",Small Cities/Rural,4.0,5.0,South,Version 1,Low Density Rural,Rural,Rural,Upscale
865108.0,Arizona,50003.0,,Complete,Telephone survey,1.58035039901733,The Democratic candidate,The Democratic candidate,The Democratic candidate,Male,Other,45-49,Independent,,"$30,000-$49,999",College graduate,,,,,,About the same,To express support for Barack Obama,"Dissatisfied, but not angry",,,The war in Afghanistan,,,,,,,,Against the Tea Party movement,,,,Non black male,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Negative,Something else,,,Independent/Something else,Independent Men,All others,Independents/Something else,Other,,,,No,,,,,,,,,No,,,,Not so good,,,,,Continue them for all,,,,,Not so good/Poor,National questionnaire,,Suburbs,Suburbs,2.0,1.0,West,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale
865164.0,California,50254.0,,Complete,Telephone survey,0.360300183296204,,The Democratic candidate,,Female,Other,65 or over,Democrat,Liberal,"Under $30,000",College graduate,No,,,,,Worse,To express support for Barack Obama,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,The Tea Party movement was not a factor,,,,Non black female,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,The economy,,,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,American Indian,,,,No,,,,,,,,,No,,,,Poor,,,,,Omit,,,,,Not so good/Poor,National questionnaire,English,Suburbs,Suburbs,51.0,5.0,West,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Downscale
865169.0,California,50143.0,,Complete,Telephone survey,0.493489623069763,The Democratic candidate,The Democratic candidate,,Female,Other,50-59,Democrat,Moderate,"$30,000-$49,999",Postgraduate study,No,,,,,Worse,Barack Obama was not a factor,"Dissatisfied, but not angry",,,Health care,,,,,,,,The Tea Party movement was not a factor,,,,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Negative,Something else,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Other,,,,No,,,,,,,,,No,,,,Poor,,,,,"Continue them only for families who earn less than $250,000 a year",,,,,Not so good/Poor,National questionnaire,English,Suburbs,Suburbs,29.0,4.0,West,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale
865235.0,Florida,50021.0,,Complete,Telephone survey,0.805424809455872,The Democratic candidate,Other,The Democratic candidate,Female,Other,65 or over,Independent,Liberal,"Under $30,000",College graduate,,,,,,About the same,To express opposition to Barack Obama,"Satisfied, but not enthusiastic",,,The war in Afghanistan,,,,,,,,Against the Tea Party movement,,,,Non black female,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,Something else,,,Independent/Something else,Independent Women,All others,Independents/Something else,Other,,,,No,,,,,,,,,No,,,,Not so good,,,,,"Continue them only for families who earn less than $250,000 a year",,,,,Not so good/Poor,National questionnaire,English,Suburbs,Suburbs,5.0,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale
870803.0, New York,91.0,Call 1,Complete,Election day exit poll,0.977668583393097,The Republican candidate,The Republican candidate,The Republican candidate,Male,Other,25-29,Something else,Conservative,"Under $30,000",Postgraduate study,No,,,,,Worse,Barack Obama was not a factor,Angry,,,The economy,,,,,,,,In favor of the Tea Party movement,,,,Non black male,All other races,18-29,18-29,18-44,18-29,25-29,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Independent/Something else,Independent Men,All others,Independents/Something else,Other,,,,No,,,,,,,,,No,,,,Poor,,,,,Continue them for all,,,,,Not so good/Poor,National questionnaire,English,Suburbs,Suburbs,20.0,5.0,East,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
873473.0,Pennsylvania,49.0,Call 1,Complete,Election day exit poll,0.597065567970276,The Democratic candidate,The Democratic candidate,,Female,Other,25-29,Democrat,Moderate,"Under $30,000",College graduate,No,Yes,Yes,Favorable,Favorable,,,,,,,Yes,,,,Other christian,,,,,No,,Non black female,All other races,18-29,18-29,18-44,18-29,25-29,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Other,Protestant/Other Non-Catholic Christian,Non-white,,No,All others,,,No,,Yes,,,,No,No,Better than life today,,,,,,,,,Only cell phone service,,,National questionnaire,,Suburbs,Suburbs,7.0,2.0,East,Version 4,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale
875879.0,Massachusetts,19.0,Call 1,Complete,Election day exit poll,0.611522376537323,,The Republican candidate,The Republican candidate,Male,Other,45-49,Independent,Conservative,"$30,000-$49,999",College graduate,,No,No,Unfavorable,Unfavorable,,,,,,,No,,,,Catholic,,,,,Yes,,Non black male,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Men without children,,,,,Independent/Something else,Independent Men,All others,Independents/Something else,Other,Catholic,Non-white,,No,All others,,,No,,Yes,,,,Yes,No,Worse than life today,,,,,,,,,Only cell phone service,,,National questionnaire,,Suburbs,Suburbs,10.0,3.0,East,Version 4,Town,80s Suburbs,High-Growth Suburban Perimeter,Upscale
876874.0,Maine,55.0,Call 1,Complete,Election day exit poll,0.742027401924133,,Other,The Republican candidate,Male,Other,60-64,Independent,Conservative,"$30,000-$49,999",College graduate,No,No,No,Unfavorable,Unfavorable,,,,,,,No,,,,Other christian,,,,,No,,Non black male,All other races,45-65,60+,45+,60+,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Men without children,,,,,Independent/Something else,Independent Men,All others,Independents/Something else,American Indian,Protestant/Other Non-Catholic Christian,Non-white,,No,All others,,,No,,Yes,,,,No,Yes,Worse than life today,,,,,,,,,Both regular land-line and cell phone service,,,National questionnaire,,Rural,Small Cities/Rural,2.0,2.0,East,Version 4,Extremely Low Density Rural,Rural,Rural,Very downscale
877064.0,Kansas,37.0,Call 1,Complete,Election day exit poll,0.449025005102158,The Democratic candidate,The Democratic candidate,Other,Female,Other,50-59,Independent,Liberal,"$30,000-$49,999",College graduate,No,,,,,Worse,Barack Obama was not a factor,"Dissatisfied, but not angry",,,The economy,,,,,,,,The Tea Party movement was not a factor,,,,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Independent/Something else,Independent Women,All others,Independents/Something else,American Indian,,,,No,,,,,,,,,No,,,,Poor,,,,,"Continue them only for families who earn less than $250,000 a year",,,,,Not so good/Poor,National questionnaire,,Suburbs,Suburbs,3.0,1.0,Midwest,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale
