ID,@2WAYGOVNJ,AGE,AGE3,AGE45,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BREAK09ANJ,BREAK09BNJ,BREAK09NJ,CALL,CDNUM,EDUC,EDUCCOLL,EDUCHS,EDUCWHITE,FAVCHRIS,FAVCHRIS2,FAVCORZ,FAVCORZ2,FAVDAGG,FAVDAGG2,FORCANDSNJ,FOROBAMAG,GEOCODE,GOVTDO,INC100K,INC50K,INCOME09,INCOME3,INCWHITE,ISSUE09NJ,LATINO,NECWORR2,NECWORRY,NJGOV09,OBAMA2,OBAMA4,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PROPTAXNJ,QLTNJ09,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME09,TIME3D09,TIME4,TIMEWK09,UNFRCHRIS,UNFRCORZ,UNFRNJ09,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,VOTE05NJ,WHITEREL,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
4554947.0,Jon Corzine,,,,,,,,,,Complete,,,,Call 2,13.0,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,,To express support for Barack Obama,1.0,,Less than 100k,Less than 50k,"Under $15,000",Less than 50 thousand,"Under $50,000 and non white",Health care,Yes,Worried,Very worried,Jon Corzine,Approve,Strongly approve,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Conservative,51.0,,Can bring needed change,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,,,Female,Non-black female,Latino women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,0.857581794261932
4553088.0,Chris Christie,,,,,,,,,,Complete,,,,Call 1,3.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,Barack Obama was not a factor,5.0,,,,,,,Property taxes,No,Not worried,Not too worried,Chris Christie,Disapprove,Strongly disapprove,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,18.0,,Shares my values,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,8048.0,1.1496787071228
4557388.0,Omit,,,,,,,,,,Not complete,,,,Call 3,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,Jon Corzine,Omit,Omit,,,,,,,,99.0,,,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,,,,,,,,Version 2,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7421.0,0.790845155715942
4553217.0,Omit,,,,,,,,,,Not complete,,,,Call 1,10.0,,,,,,,,,,,,,1.0,,,,,,,,,,,Jon Corzine,Omit,Omit,,,,,,,,38.0,,,,State questionnaire,,East,,,Female,,,,,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,,,,,,,,Version 2,,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,7103.0,0.709531903266907
4555311.0,Omit,,,,,,,,,,Not complete,,,,Call 2,9.0,,,,,,,,,,,,,2.0,,,,,,,,No,,,Other,Approve,Somewhat approve,,,,,,,,6.0,,,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,,,,,,,,Version 2,,,,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7410.0,1.40103244781494
4557364.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,,,,Call 3,10.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,To express support for Barack Obama,1.0,,100k or more,50k or more,"$100,000-$149,999",100 thousand or more,"Over $50,000 and non white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Non-White Democrats,Liberal,38.0,,Can bring needed change,Black,State questionnaire,Black,East,,,Male,Black male,Black men,Non-white male,Non-white,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Extremely High Density Urban,Urban,Urban Core,Very downscale,7103.0,1.03713059425354
4557331.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,,Latino 18-29,Latino 18-29,Complete,,,,Call 3,6.0,Did not complete high school,No college degree,High school graduate or less,Non white no college degree,,,,,,,,To express support for Barack Obama,4.0,,Less than 100k,Less than 50k,"$15,000-$29,999",Less than 50 thousand,"Under $50,000 and non white",Economy/Jobs,Yes,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,73.0,,Is honest,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,,,Female,Non-black female,Latino women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did,Only Corzine did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0,0.863892436027527
4557263.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,,White 18-29,White 18-29,Complete,,,,Call 3,6.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,To express support for Barack Obama,4.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,73.0,,Has the right experience,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,Yes,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0,0.848742604255676
4557219.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,Not complete,,,,Call 3,10.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,,1.0,,,,,,,,No,,,Jon Corzine,Approve,Somewhat approve,18-64,,,,,,,38.0,,,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,,,,,,,,Version 2,,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,7103.0,1.05564308166504
4557204.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 3,2.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,To express opposition to Barack Obama,5.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Property taxes,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,30.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Town,Rural,Rural,Downscale,8226.0,0.68206113576889
