ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BREAK09AVA,BREAK09BVA,BREAK09VA,BRNAGAIN,CALL,CDNUM,DEEDSAMEND,DEEDSLIB,EDUC,EDUCCOLL,EDUCHS,EDUCWHITE,FOROBAMAG,GEOCODE,GOVTDO,INC100K,INC50K,INCOME09,INCOME3,INCWHITE,ISSUE09VA,LATINO,MCDONLLIB,MCDONLTHESIS,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,QRACEAI,QTYPE,RACE,RACEBRN,REGION,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SHAREDEEDS,SHAREMCDONL,SHRVALVA,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME09,TIME3D09,TIME4,TIMEWK09,UNFRDEEDS,UNFRMCDONL,UNFRVA09,VAATG09,VAGOV09,VALGV09,VERSION,VOTE2008,WHNCLINC,WHTEVANG,WORK,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
4551944.0,45-65,60+,45+,60+,50-64,60-64,,White 60+,White 45-64,,,Not complete,Omit,Omit,Omit,,Call 1,9.0,,,,,,,,3.0,Omit,,,,,,,,,,,,Omit,Omit,18-64,,,,,,,87.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,Deeds does,McDonnell does not,Only Deeds,Rural,Small Cities/Rural, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,,R. Creigh Deeds,,Version 1,,,,,Low Density Rural,Rural,Rural,Very downscale,24382.0,0.604136765003204
4556615.0,30-44,30-59,18-44,30-44,30-39,30-39,,White 30-44,White 30-44,,,Not complete,Omit,Omit,Omit,,Call 3,9.0,,,High school graduate,No college degree,High school graduate or less,White no college degree,,3.0,Government is doing too many things better left to businesses and individuals,,,,,,,No,,,,,Omit,Omit,18-64,,,,,,,87.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does not,McDonnell does,Only McDonnell,Rural,Small Cities/Rural, Virginia,Election day exit poll,Just today,Today or in the last three days,Today or in the last three days,In the last week,,,,,Robert McDonnell,,Version 1,,,,,Low Density Rural,Rural,Rural,Very downscale,24382.0,0.613392472267151
4556614.0,30-44,30-59,18-44,30-44,30-39,30-39,,White 30-44,White 30-44,,,Not complete,Omit,Omit,Omit,,Call 3,9.0,,,High school graduate,No college degree,High school graduate or less,White no college degree,,3.0,Government is doing too many things better left to businesses and individuals,,,,,,,No,,,,,Omit,Omit,18-64,,,,,,,87.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does not,McDonnell does,Only McDonnell,Rural,Small Cities/Rural, Virginia,Election day exit poll,Just today,Today or in the last three days,Today or in the last three days,In the last week,,,,,Robert McDonnell,,Version 1,,,,,Low Density Rural,Rural,Rural,Very downscale,24382.0,0.613392472267151
4556350.0,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,,,Not complete,,,,,Call 3,4.0,,,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,4.0,,,,,,,,No,,,,,Disapprove,Strongly disapprove,18-64,,,,,,,24.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,,Other,,Version 2,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,23882.0,1.01018500328064
4554628.0,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,,Not complete,An important factor,A factor,One of several important factors,,Call 2,1.0,,,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,5.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,100.0,Black,State questionnaire,Black,,South,Female,Black female,Black women,Non-white female,Non-white,Deeds does,McDonnell does not,Only Deeds,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Earlier in October,Earlier than that,In October,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,Urban,Urban Core,Upscale,23606.0,0.855711042881012
4554556.0,65+,60+,45+,60+,65+,65-74,,White 60+,White 65+,,,Not complete,,,,,Call 2,10.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,2.0,,,,,,,,No,,,,,Approve,Strongly approve,65+,,,,,,,51.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Town,Rural,Rural,Upscale,22655.0,0.697306990623474
4554555.0,65+,60+,45+,60+,65+,65-74,,White 60+,White 65+,,,Not complete,,,,,Call 2,10.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,2.0,,,,,,,,No,,,,,Approve,Strongly approve,65+,,,,,,,51.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Town,Rural,Rural,Upscale,22655.0,0.697306990623474
4554514.0,45-65,60+,45+,60+,50-64,60-64,,White 60+,White 45-64,,,Not complete,,,,,Call 2,1.0,,,High school graduate,No college degree,High school graduate or less,White no college degree,,4.0,,,,,,,,No,,,,,Approve,Somewhat approve,18-64,,,,,,,85.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Low Density Rural,Rural,Rural,Very downscale,22520.0,0.719555497169495
4554500.0,65+,60+,45+,60+,65+,65-74,,White 60+,White 65+,,,Not complete,,,,,Call 2,10.0,,,High school graduate,No college degree,High school graduate or less,White no college degree,,2.0,,,,,,,,No,,,,,Approve,Strongly approve,65+,,,,,,,51.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Town,Rural,Rural,Upscale,22655.0,0.697306990623474
4554461.0,18-29,18-29,18-44,18-29,18-24,18-24,,White 18-29,White 18-29,,,Not complete,An important factor,A factor,One of several important factors,,Call 2,7.0,,,College graduate,College graduate,More than High school graduate,White college degree,,4.0,Omit,,,,,,,,,,,,Approve,Strongly approve,18-64,,,,,,,14.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Omit,Omit,Omit,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Omit,Omit,Omit,Omit,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,Urban,Urban Core,Downscale,23234.0,0.680261611938477
