STATE,PCT,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,BUSHKNOW,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,MCCAIN,GORE,JBUSH,GORBSH3,HISPANIC,REL5,WEIGHT
10.0,1.0,1.0,FIRST CALL,30-39,MALE,BUSH,NO,YES,SOMETHING ELSE,OTHER CHRISTIAN,,MODERATE,MODERATE,18-64,18-74,STATE,NORTH,30-44,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,2.0,FIRST CALL,45-49,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,3.0,FIRST CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,4.0,FIRST CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,SOMETHING ELSE,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,SOMETHING ELSE,0.614
10.0,1.0,5.0,FIRST CALL,18-24,MALE,MCCAIN,YES,YES,INDEPENDENT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,18-29,INDEPENDENT/OTHER,18-24,18-24,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.631
10.0,1.0,6.0,FIRST CALL,60-64,FEMALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,,MODERATE,MODERATE,18-64,18-74,STATE,NORTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.528
10.0,1.0,7.0,FIRST CALL,65-74,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,NORTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.543
10.0,1.0,8.0,FIRST CALL,60-64,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.528
10.0,1.0,9.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,INDEPENDENT,PROTESTANT,,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.543
10.0,1.0,10.0,FIRST CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
