STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,ASHCROFT,PREVPRID,CARNAHAN,GORE,BRADLEY,BCPERSON,REL5,WEIGHT
26.0,7.0,1.0,FIRST CALL,45-49,WHITE,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,POST GRADUATE STUDY,JEWISH,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,2,COMPLETE,NORTH AND SOUTHEAST,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,UNFAVORABLE,YES,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,JEWISH,0.709
26.0,7.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,OTHER,WITHIN LAST WEEK,EDUCATION,STANDS UP FOR BELIEFS,OMITS,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,YES,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,2,COMPLETE,NORTH AND SOUTHEAST,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,UNFAVORABLE,YES,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.417
26.0,7.0,3.0,FIRST CALL,30-39,WHITE,MALE,BRADLEY,BEFORE THAT,OMITS,OMITS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,NONE,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,2,COMPLETE,NORTH AND SOUTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,UNFAVORABLE,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,NONE,0.798
26.0,7.0,4.0,FIRST CALL,25-29,WHITE,FEMALE,BRADLEY,TODAY,RACE RELATIONS,NEW IDEAS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,NONE,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,2,COMPLETE,NORTH AND SOUTHEAST,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,GORE,GORE,UNFAVORABLE,NO,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,NONE,0.84
26.0,7.0,5.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,BEFORE THAT,EDUCATION,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,SOMETHING ELSE,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,2,COMPLETE,NORTH AND SOUTHEAST,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,UNFAVORABLE,YES,FAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,SOMETHING ELSE,0.654
26.0,7.0,6.0,FIRST CALL,30-39,OTHER,MALE,GORE,THIS YEAR,EDUCATION,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,NONE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,2,COMPLETE,NORTH AND SOUTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,GORE,GORE,UNFAVORABLE,YES,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,NONE,0.709
26.0,7.0,7.0,SECOND CALL,30-39,WHITE,MALE,BRADLEY,THIS YEAR,RACE RELATIONS,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,OMITS,"$30,000-$49,000",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,2,COMPLETE,NORTH AND SOUTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,UNFAVORABLE,YES,FAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.798
26.0,7.0,8.0,SECOND CALL,60-64,WHITE,MALE,BRADLEY,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,TOO LIBERAL,TOO LIBERAL,2,COMPLETE,NORTH AND SOUTHEAST,60+,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,MCCAIN,FAVORABLE,YES,UNFAVORABLE,UNFAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.088
26.0,7.0,9.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,BEFORE THAT,ABORTION,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,2,COMPLETE,NORTH AND SOUTHEAST,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,UNFAVORABLE,YES,FAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.654
26.0,7.0,10.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NONE,NO,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,2,COMPLETE,NORTH AND SOUTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,OMITS,UNFAVORABLE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,NONE,0.654
