STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,LOYALREP,INTERNET,MCTEMPER,MIGRATE,BEATDEM,CAMPFIN,WEIGHT
3.0,202.0,1.0,FIRST CALL,75+,FEMALE,3,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,SAME,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,YES,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,75+,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,NO,LOYAL REPUBLICAN,NO,YES,NO,MCCAIN,HELP,0.421
3.0,202.0,2.0,FIRST CALL,30-39,MALE,1,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,SAME,TAX CUT,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,NO,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.322
3.0,202.0,3.0,FIRST CALL,50-59,MALE,3,THIS YEAR,,,OMITS,YES,ILLEGAL IN MOST CASES,NO,WORSE,OMITS,INDEPENDENT,,NO,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,NEITHER,YES,NEITHER,YES,NO,LOYAL REPUBLICAN,NO,YES,NO,MCCAIN,HELP,0.388
3.0,202.0,4.0,FIRST CALL,50-59,MALE,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BOTH,YES,BOTH,NO,NO,LOYAL REPUBLICAN,YES,YES,NO,BUSH,HELP,0.322
3.0,202.0,5.0,FIRST CALL,40-44,FEMALE,2,THIS YEAR,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,WORSE,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,YES,NO,YES,BUSH,HURT,0.215
3.0,202.0,6.0,FIRST CALL,65-74,MALE,3,THIS YEAR,,OMITS,OMITS,YES,ILLEGAL IN MOST CASES,NO,WORSE,OMITS,INDEPENDENT,COLLEGE GRADUATE,OMITS,,OMITS,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,NEITHER,YES,NEITHER,YES,YES,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,HELP,0.41300000000000003
3.0,202.0,7.0,FIRST CALL,30-39,MALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,30-39,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.388
3.0,202.0,8.0,FIRST CALL,30-39,MALE,1,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,BUSH,NO,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,BUSH,HELP,0.322
3.0,202.0,9.0,FIRST CALL,65-74,,3,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,,NO,,,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,NO,LOYAL REPUBLICAN,YES,YES,YES,MCCAIN,HELP,0.41300000000000003
3.0,202.0,10.0,FIRST CALL,50-59,MALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,YES,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,NO,MCCAIN,HELP,0.388
