STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,STANDLIV,ISSUE,QUALITY,CLINTON,SURPLUS,HLTHPLAN,CLINGORE,ISSVQUAL,FINSIT,UNION,PARTYID,EDUC,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,RACEREL,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BCPERSON,INTERNET,STEC,RELPUB,BRADHLTH,WEIGHT
8.0,5.0,1.0,FIRST CALL,50-59,BLACK,MALE,GORE,BEFORE THAT,WILL FALL,ECONOMY/JOBS,CAN WIN IN NOVEMBER,APPROVE,BOTH,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS POSITIONS ON ISSUES,SAME,NO,SOMETHING ELSE,POST GRADUATE STUDY,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,NO,GOOD,PUBLIC,NO,0.867
8.0,5.0,2.0,FIRST CALL,,BLACK,FEMALE,GORE,BEFORE THAT,WILL RISE,SS/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,YES,DEMOCRAT,COLLEGE GRADUATE,YES,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,,,ONLY GORE,COMPLETE,KENT AND SUSSEX COUNTY,,,DEMOCRAT,,,FAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.901
8.0,5.0,3.0,FIRST CALL,75+,WHITE,FEMALE,GORE,WITHIN LAST WEEK,WILL RISE,EDUCATION,,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS PERSONAL QUALITIES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,75+,ONLY GORE,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,NO,GOOD,PUBLIC,YES,1.303
8.0,5.0,4.0,FIRST CALL,60-64,WHITE,MALE,BRADLEY,THIS YEAR,WILL RISE,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,DISAPPROVE,ONLY BRADLEY,BOTH THE SAME,VERY IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,YES,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,DEMOCRAT,50-64,50-64,FAVORABLE,YES,GOOD,NOT PUBLIC,NO,1.372
8.0,5.0,5.0,FIRST CALL,75+,WHITE,MALE,GORE,BEFORE THAT,WILL RISE,SS/MEDICARE,NOT TYPICAL POLITICIAN,APPROVE,ONLY GORE,GORE PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,SAME,NO,INDEPENDENT,POST GRADUATE STUDY,YES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,ONLY GORE,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,NO,EXCELLENT,PUBLIC,NO,1.2530000000000001
8.0,5.0,6.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,BEFORE THAT,WILL RISE,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,YES,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,EXCELLENT,NOT PUBLIC,NO,1.189
8.0,5.0,7.0,SECOND CALL,65-74,BLACK,MALE,GORE,THIS YEAR,WILL FALL,OMITS,,APPROVE,BOTH,BOTH THE SAME,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,GOOD,PUBLIC,NO,1.1420000000000001
8.0,5.0,8.0,SECOND CALL,60-64,BLACK,FEMALE,GORE,BEFORE THAT,OMITS,EDUCATION,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY GORE,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,DEMOCRAT,50-64,50-64,FAVORABLE,NO,EXCELLENT,NOT PUBLIC,NO,1.189
8.0,5.0,9.0,SECOND CALL,60-64,BLACK,MALE,GORE,WITHIN LAST WEEK,WILL FALL,ECONOMY/JOBS,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,GORE PLAN BETTER,NOT IMPORTANT AT ALL,OMITS,OMITS,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,NOT COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,,50-64,50-64,OMITS,,OMITS,OMITS,YES,1.1420000000000001
8.0,5.0,10.0,SECOND CALL,65-74,WHITE,MALE,BRADLEY,TODAY,WILL FALL,SS/MEDICARE,STRONG LEADER,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,EXCELLENT,NOT PUBLIC,OMITS,1.372
8.0,5.0,11.0,SECOND CALL,45-49,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,WILL RISE,ECONOMY/JOBS,,APPROVE,ONLY BRADLEY,BOTH THE SAME,NOT TOO IMPORTANT,CANDS PERSONAL QUALITIES,SAME,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,OMITS,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,1.083
8.0,5.0,12.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,WILL FALL,HEALTH CARE,CAN WIN IN NOVEMBER,APPROVE,ONLY GORE,GORE PLAN BETTER,NOT TOO IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,OMITS,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,NO,EXCELLENT,PUBLIC,YES,1.303
8.0,5.0,13.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,OMITS,WILL RISE,OMITS,NOT TYPICAL POLITICIAN,APPROVE,ONLY GORE,OMITS,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,INDEPENDENT,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,YES,EXCELLENT,NOT PUBLIC,YES,1.303
8.0,5.0,14.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,WILL RISE,WORLD AFFAIRS,STANDS UP FOR BELIEFS,APPROVE,ONLY GORE,BRADLEY PLAN BETTER,VERY IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,YES,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,YES,GOOD,NOT PUBLIC,YES,0.988
8.0,5.0,15.0,SECOND CALL,45-49,WHITE,FEMALE,BRADLEY,THIS YEAR,WILL RISE,EDUCATION,OMITS,APPROVE,ONLY BRADLEY,BOTH THE SAME,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,1.083
8.0,5.0,16.0,SECOND CALL,40-44,WHITE,MALE,GORE,BEFORE THAT,WILL FALL,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,APPROVE,ONLY BRADLEY,GORE PLAN BETTER,NOT TOO IMPORTANT,OMITS,BETTER,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,ONLY GORE,COMPLETE,KENT AND SUSSEX COUNTY,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.9500000000000001
8.0,5.0,17.0,SECOND CALL,50-59,WHITE,MALE,GORE,THIS YEAR,WILL FALL,SS/MEDICARE,,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS PERSONAL QUALITIES,SAME,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,NO,GOOD,PUBLIC,NO,0.9500000000000001
8.0,5.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,WILL FALL,TAXES,CAN WIN IN NOVEMBER,DISAPPROVE,ONLY BRADLEY,OMITS,VERY IMPORTANT,CANDS PERSONAL QUALITIES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,YES,GOOD,NOT PUBLIC,NO,1.083
8.0,5.0,19.0,THIRD CALL,65-74,BLACK,FEMALE,GORE,THIS YEAR,OMITS,OMITS,,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,ONLY GORE,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,1.189
8.0,5.0,20.0,THIRD CALL,30-39,WHITE,MALE,GORE,TODAY,WILL RISE,ECONOMY/JOBS,STRONG LEADER,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,NO,GOOD,PUBLIC,NO,0.9500000000000001
8.0,5.0,21.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,THIS YEAR,WILL RISE,EDUCATION,CAN WIN IN NOVEMBER,DISAPPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,1.042
8.0,5.0,22.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,TODAY,WILL RISE,TAXES,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH,BOTH THE SAME,SOMEWHAT IMPORTANT,CANDS PERSONAL QUALITIES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,18-29,18-24,DEMOCRAT,18-24,18-24,UNFAVORABLE,YES,GOOD,NOT PUBLIC,YES,1.025
