QTYPE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,WEIGHT,GEOCODE,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,LOYALREP,INTERNET,BUSHENGL,BEATDEM,CAMPFIN
STATE,23.0,6.0,1.0,FIRST CALL,50-59,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,1.026,SOUTHWEST,BOTH,YES,BOTH,YES,NO,LOYAL REPUBLICAN,NO,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,2.0,FIRST CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,SAME,OMITS,NO,REPUBLICAN,COLLEGE GRADUATE,YES,"$75,000-$99,999",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,1.103,SOUTHWEST,NEITHER,NO,NEITHER,YES,YES,NOT TIED TO PARTY LEADERS,YES,NOT MUCH,MCCAIN,HELP
STATE,23.0,6.0,3.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,THIS YEAR,MORAL VALUES,OMITS,OMITS,NO,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,1.169,SOUTHWEST,BOTH,NO,OMITS,YES,NO,LOYAL REPUBLICAN,NO,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,MCCAIN,BEFORE THAT,OMITS,OMITS,OMITS,NO,OMITS,NO,SAME,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,YES,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,1.076,SOUTHWEST,MCCAIN,YES,MCCAIN,NO,NO,OMITS,NO,NOT AT ALL,MCCAIN,HELP
STATE,23.0,6.0,5.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,BEFORE THAT,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,BETTER,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,0.9440000000000001,SOUTHWEST,MCCAIN,NO,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,MCCAIN,HELP
STATE,23.0,6.0,6.0,FIRST CALL,40-44,WHITE,MALE,BUSH,THIS YEAR,WORLD AFFAIRS,HAS THE RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,BETTER,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,1.026,SOUTHWEST,BUSH,NO,NEITHER,YES,NO,LOYAL REPUBLICAN,NO,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,7.0,FIRST CALL,30-39,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,UNFAVORABLE,1.026,SOUTHWEST,BUSH,YES,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT MUCH,BUSH,HELP
STATE,23.0,6.0,8.0,FIRST CALL,30-39,WHITE,MALE,BUSH,BEFORE THAT,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,1.026,SOUTHWEST,MCCAIN,YES,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,SOMEWHAT,BUSH,HELP
STATE,23.0,6.0,9.0,FIRST CALL,40-44,WHITE,MALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,HAS THE RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,1.026,SOUTHWEST,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NOT MUCH,BUSH,HURT
STATE,23.0,6.0,10.0,FIRST CALL,30-39,WHITE,MALE,KEYES,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,NO,BETTER,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,YES,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,UNFAVORABLE,FAVORABLE,0.793,SOUTHWEST,NEITHER,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,BUSH,HURT
