STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRID,GORE,BRADLEY,BCPERSON,HISPANIC,REL5,HILLARY,GIULIANI,WEIGHT,QRACE
33.0,5.0,1.0,FIRST CALL,65-74,WHITE,MALE,BRADLEY,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,NO,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,2,COMPLETE,RURAL UPSTATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,0.753,WHITE
33.0,5.0,2.0,FIRST CALL,65-74,WHITE,FEMALE,BRADLEY,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,SAME,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"UNDER $15,000",YES,MODERATE,MODERATE,65+,18-74,BRADLEY,OMITS,ABOUT RIGHT,2,COMPLETE,RURAL UPSTATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NO,CATHOLIC,UNFAVORABLE,UNFAVORABLE,0.797,WHITE
33.0,5.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,BEFORE THAT,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,OMITS,ABOUT RIGHT,2,COMPLETE,RURAL UPSTATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,OMITS,GORE,MCCAIN,YES,OMITS,FAVORABLE,UNFAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,OMITS,0.716,WHITE
33.0,5.0,4.0,FIRST CALL,50-59,HISPANIC/LATINO,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,DISAPPROVE,OMITS,OMITS,LEGAL IN MOST CASES,SAME,YES,SOMETHING ELSE,HIGH SCHOOL GRADUATE,CATHOLIC,NO,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,OMITS,TOO LIBERAL,NOT LIBERAL ENOUGH,2,COMPLETE,RURAL UPSTATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,YES,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,CATHOLIC,UNFAVORABLE,FAVORABLE,0.72,WHITE
33.0,5.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,YES,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,2,COMPLETE,RURAL UPSTATE,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,1.06,WHITE
33.0,5.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,TODAY,EDUCATION,NEW IDEAS,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"UNDER $15,000",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,2,COMPLETE,RURAL UPSTATE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NO,CATHOLIC,UNFAVORABLE,FAVORABLE,0.716,WHITE
33.0,5.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NONE,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,2,COMPLETE,RURAL UPSTATE,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,NO,NONE,FAVORABLE,UNFAVORABLE,1.06,WHITE
33.0,5.0,8.0,FIRST CALL,75+,WHITE,MALE,GORE,OMITS,ECONOMY/JOBS,CAN WIN IN NOVEMBER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,SOMETHING ELSE,NO,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,65+,75+,NEITHER,ABOUT RIGHT,OMITS,2,COMPLETE,RURAL UPSTATE,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,NO,SOMETHING ELSE,FAVORABLE,UNFAVORABLE,1.117,WHITE
33.0,5.0,9.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,YES,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,2,COMPLETE,RURAL UPSTATE,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,1.181,WHITE
33.0,5.0,10.0,SECOND CALL,45-49,WHITE,MALE,BRADLEY,TODAY,CAMPAIGN FINANCE REFORM,NEW IDEAS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,YES,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,2,COMPLETE,RURAL UPSTATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,NO,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,UNFAVORABLE,0.676,WHITE
