STATE,PCT,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,GOREBUSH,GOREMCAN,PREVPRID,GUNHH,GUNCHOIC,THRDCAND,GORE,BRADLEY,BCPERSON,REGDEMCO,MEXICAN,QRACE,REL5,WEIGHT
6.0,1.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,WITHIN LAST 3 DAYS,OMITS,OMITS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,DENVER/BOULDER,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,GORE,GORE,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,1.71
6.0,1.0,2.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,OMITS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,OMITS,"$30,000-$49,000",OMITS,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,OMITS,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.0060000000000002
6.0,1.0,3.0,FIRST CALL,65-74,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.087
6.0,1.0,4.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,30-44,30-39,DEMOCRAT,30-39,30-39,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,1.694
6.0,1.0,5.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,WITHIN LAST WEEK,OMITS,OMITS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,OMITS,"$30,000-$49,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,OMITS,OMITS,COMPLETE,DENVER/BOULDER,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,OMITS,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,OMITS,UNFAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,1.71
6.0,1.0,6.0,THIRD CALL,30-39,WHITE,FEMALE,BRADLEY,TODAY,HEALTH CARE,STRONG LEADER,DISAPPROVE,OMITS,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,OMITS,"$30,000-$49,000",OMITS,MODERATE,MODERATE,18-64,18-74,TOO LIBERAL,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,30-44,30-39,DEMOCRAT,30-39,30-39,BUSH,MCCAIN,NO,YES,PROTECT GUN RIGHTS,SATISFIED,UNFAVORABLE,OMITS,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.4060000000000001
6.0,1.0,7.0,THIRD CALL,60-64,HISPANIC/LATINO,MALE,BRADLEY,BEFORE THAT,ECONOMY/JOBS,CAN WIN IN NOVEMBER,APPROVE,CANDS POSITIONS ON ISSUES,OMITS,BETTER,YES,DEMOCRAT,,CATHOLIC,NO,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,50-64,50-64,GORE,GORE,YES,NO,OMITS,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,1.701
6.0,1.0,8.0,THIRD CALL,60-64,HISPANIC/LATINO,MALE,GORE,THIS YEAR,ECONOMY/JOBS,STRONG LEADER,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,50-64,50-64,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,2.069
6.0,1.0,9.0,THIRD CALL,65-74,ASIAN,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,NO,ASIAN,,2.087
6.0,2.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,THIS YEAR,EDUCATION,STRONG LEADER,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,DENVER/BOULDER,45-59,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.869
6.0,2.0,2.0,SECOND CALL,60-64,,MALE,GORE,THIS YEAR,RACE RELATIONS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,50-64,50-64,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,,,PROTESTANT/OTHER CHRISTIAN,1.061
6.0,2.0,3.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,YES,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,DENVER/BOULDER,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.869
