QTYPE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,DEMVOTE,ISSUE,QUALITY,CLINTON,UNION,PARTYID,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,CAUCUS,AGE4,AGEABC,PARTY,AGE65,AGE75,DEBATES,BCPERSON,INTERNET,WEIGHT
STATE,WEST,16.0,2.0,1.0,FIRST CALL,45-49,MALE,BRADLEY,TAXES,NEW IDEAS,DISAPPROVE,NO,REPUBLICAN,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,YES,45-59,40-49,DEMOCRAT,40-49,40-49,NO,UNFAVORABLE,NO,1.705
STATE,WEST,16.0,2.0,2.0,FIRST CALL,75+,MALE,GORE,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,,DEMOCRAT,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,75+,YES,60+,60+,DEMOCRAT,65+,75+,NO,FAVORABLE,NO,1.974
STATE,WEST,16.0,2.0,3.0,FIRST CALL,65-74,MALE,GORE,HAS RIGHT EXPERIENCE,HAS RIGHT EXPERIENCE,APPROVE,NO,REPUBLICAN,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,60+,60+,DEMOCRAT,65+,65-74,NO,UNFAVORABLE,NO,1.974
STATE,WEST,16.0,2.0,4.0,FIRST CALL,65-74,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,NO,INDEPENDENT,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,YES,60+,60+,INDEPENDENT/OTHER,65+,65-74,NO,UNFAVORABLE,NO,1.974
STATE,WEST,16.0,2.0,5.0,FIRST CALL,40-44,FEMALE,GORE,HAS RIGHT EXPERIENCE,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,30-44,40-49,DEMOCRAT,40-49,40-49,NO,UNFAVORABLE,YES,1.974
STATE,WEST,16.0,2.0,6.0,FIRST CALL,50-59,FEMALE,GORE,HEALTH CARE,HAS RIGHT EXPERIENCE,DISAPPROVE,NO,INDEPENDENT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,NO,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NO,UNFAVORABLE,YES,1.974
STATE,WEST,16.0,2.0,7.0,FIRST CALL,50-59,MALE,UNCOMMITTED,SOCIAL SECURITY/MEDICARE,OMITS,DISAPPROVE,NO,DEMOCRAT,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,45-59,50-59,DEMOCRAT,50-64,50-64,NO,FAVORABLE,NO,2.7800000000000002
STATE,EAST,16.0,3.0,1.0,SECOND CALL,65-74,FEMALE,BRADLEY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,NO,REPUBLICAN,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,,FAVORABLE,NO,3.473
STATE,EAST,16.0,3.0,2.0,SECOND CALL,65-74,MALE,BRADLEY,ECONOMY/JOBS,NEW IDEAS,APPROVE,YES,DEMOCRAT,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,NO,FAVORABLE,NO,3.473
STATE,EAST,16.0,3.0,3.0,SECOND CALL,65-74,FEMALE,BRADLEY,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,YES,DEMOCRAT,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,NO,UNFAVORABLE,YES,3.473
STATE,CENTRAL,16.0,5.0,1.0,FIRST CALL,50-59,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,YES,INDEPENDENT,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NO,FAVORABLE,YES,3.592
STATE,CENTRAL,16.0,5.0,2.0,FIRST CALL,75+,FEMALE,BRADLEY,SOCIAL SECURITY/MEDICARE,NEW IDEAS,DISAPPROVE,NO,,"UNDER $15,000",MODERATE,MODERATE,65+,75+,YES,60+,60+,,65+,75+,,UNFAVORABLE,NO,5.215
STATE,CENTRAL,16.0,5.0,3.0,FIRST CALL,65-74,MALE,GORE,OMITS,OMITS,APPROVE,NO,DEMOCRAT,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,60+,60+,DEMOCRAT,65+,65-74,YES,FAVORABLE,NO,3.592
STATE,CENTRAL,16.0,5.0,4.0,FIRST CALL,65-74,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,DISAPPROVE,NO,DEMOCRAT,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,YES,60+,60+,DEMOCRAT,65+,65-74,NO,FAVORABLE,NO,3.592
STATE,CENTRAL,16.0,5.0,5.0,FIRST CALL,75+,,GORE,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,YES,DEMOCRAT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,NO,60+,60+,DEMOCRAT,65+,75+,NO,UNFAVORABLE,NO,3.592
STATE,CENTRAL,16.0,5.0,6.0,FIRST CALL,75+,,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,YES,DEMOCRAT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,NO,60+,60+,DEMOCRAT,65+,75+,YES,FAVORABLE,NO,3.592
STATE,EAST,16.0,7.0,1.0,FIRST CALL,45-49,MALE,BRADLEY,CAMPAIGN FINANCE REFORM,NEW IDEAS,APPROVE,NO,DEMOCRAT,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,45-59,40-49,DEMOCRAT,40-49,40-49,,OMITS,YES,0.908
STATE,EAST,16.0,7.0,2.0,FIRST CALL,45-49,MALE,BRADLEY,HEALTH CARE,CAN WIN IN NOVEMBER,APPROVE,YES,DEMOCRAT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,YES,45-59,40-49,DEMOCRAT,40-49,40-49,YES,FAVORABLE,YES,0.908
STATE,EAST,16.0,7.0,3.0,FIRST CALL,65-74,MALE,BRADLEY,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,APPROVE,NO,REPUBLICAN,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,NO,FAVORABLE,NO,0.908
STATE,EAST,16.0,7.0,4.0,FIRST CALL,40-44,FEMALE,GORE,HAS RIGHT EXPERIENCE,STRONG LEADER,APPROVE,NO,DEMOCRAT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,30-44,40-49,DEMOCRAT,40-49,40-49,,UNFAVORABLE,YES,0.797
STATE,EAST,16.0,7.0,5.0,FIRST CALL,30-39,FEMALE,GORE,HAS RIGHT EXPERIENCE,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,YES,30-44,30-39,DEMOCRAT,30-39,30-39,NO,FAVORABLE,YES,0.797
STATE,EAST,16.0,7.0,6.0,FIRST CALL,45-49,FEMALE,GORE,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,NO,DEMOCRAT,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,45-59,40-49,DEMOCRAT,40-49,40-49,,OMITS,NO,0.797
STATE,EAST,16.0,7.0,7.0,FIRST CALL,30-39,MALE,GORE,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,NO,DEMOCRAT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,30-44,30-39,DEMOCRAT,30-39,30-39,YES,UNFAVORABLE,YES,0.797
