STATE,PREC,SEQ,OTHPRIDI,OVER65,OVER75,REGDEM,BACKSIDE,GEOCODE,AGE4,AGEABC,AGE65,AGE75,OTHERPRI,REFORMVT,BEATREP,CALL,AGE9,SEX,DEMVOTE,TIME,CANDSOK,STANDLIV,ISSUE,QUALITY,ADSGORE,CLINTON,SURPLUS,HLTHPLAN,CLINGORE,ISSVQUAL,ADSBRAD,DEMSEEN,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,PARTY,DEBATES,GORE,BRADLEY,BCPERSON,INTERNET,STEC,ETAX,NEWWAYS,MARRIED,CHILD,RELPUB,DESCRIBE,IMPRESS,ELIFE,BRADHLTH,SOTUNION,REL5,WEIGHT
30.0,1.0,1.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 1,45-49,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,EDUCATION,STANDS UP FOR BELIEFS,,,,,NOT TOO IMPORTANT,,,,,,,,,,,,,,,,FAVORABLE,FAVORABLE,,,EXCELLENT,,,YES,NO,,,,,NO,,,0.899
30.0,1.0,2.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 1,45-49,FEMALE,GORE,,WOULD LIKE SOMEONE ELSE,WILL RISE,HEALTH CARE,HAS THE RIGHT EXPERIENCE,,APPROVE,GORE,GORE'S PLAN,SOMEWHAT IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"$50,000-$74,999",,VERY LIBERAL,LIBERAL,INDEPENDENT/OTHER,,FAVORABLE,UNFAVORABLE,FAVORABLE,,EXCELLENT,,,YES,NO,,,,,YES,NO,,0.899
30.0,1.0,3.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 1,45-49,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,HEALTH CARE,NEW IDEAS,,DISAPPROVE,BRADLEY,BRADLEY'S PLAN,SOMEWHAT IMPORTANT,,,,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,EXCELLENT,,,YES,NO,,,,,NO,NO,,0.6910000000000001
30.0,1.0,4.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 1,45-49,FEMALE,BRADLEY,,,WILL RISE,,NOT A TYPICAL POLITICIAN,,DISAPPROVE,BRADLEY,,VERY IMPORTANT,,,,SAME,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,NOT SO GOOD,,,YES,NO,,,,,NO,YES,,0.6910000000000001
30.0,1.0,5.0,NO,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,NO,NO,GORE,CALL 1,45-49,MALE,GORE,WITHIN 3 DAYS,,,,,YES,APPROVE,,,,,NO,THREE OR MORE,,,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,INDEPENDENT/OTHER,NOT TOO CLOSELY,,,FAVORABLE,YES,,NO,FAMILIAR APPROACH,YES,NO,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,TELEVISION,GREAT DEAL,,,CATHOLIC,0.9570000000000001
30.0,1.0,6.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,"YES, FOR MCCAIN",NO,GORE,CALL 1,50-59,MALE,GORE,THIS YEAR,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,,"$100,000 OR MORE",,MODERATE,MODERATE,INDEPENDENT/OTHER,NOT CLOSELY AT ALL,,,,YES,,NO,FAMILIAR APPROACH,YES,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,INTERNET,GREAT DEAL,,,CATHOLIC,0.9570000000000001
30.0,1.0,7.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,30-44,30-39,30-39,30-39,"YES, FOR MCCAIN",NO,GORE,CALL 1,30-39,FEMALE,GORE,TODAY,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,INDEPENDENT,SOME COLLEGE/ASSOCIATE,PROTESTANT,YES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,INDEPENDENT/OTHER,NOT TOO CLOSELY,,,UNFAVORABLE,YES,,NO,NEW WAYS,YES,YES,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,TELEVISION,LITTLE,,,PROTESTANT/OTHER CHRISTIAN,0.899
30.0,1.0,8.0,"YES, FOR MCCAIN",18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,30-44,40-49,40-49,40-49,"YES, FOR MCCAIN",NO,BRADLEY,CALL 1,40-44,FEMALE,BRADLEY,WITHIN LAST WEEK,,,,,YES,,,,,,YES,THREE OR MORE,,,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,VERY CLOSELY,,,UNFAVORABLE,YES,,NO,NEW WAYS,YES,YES,PUBLICLY DISCUSSED,STRONGLY FAVOR MY CAND,NEWSPAPERS,GREAT DEAL,,,CATHOLIC,0.6910000000000001
30.0,1.0,9.0,,65+,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,60+,60+,65+,65-74,,,,CALL 2,65-74,,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,,APPROVE,BRADLEY,BRADLEY'S PLAN,SOMEWHAT IMPORTANT,CAND'S PERSONAL QUALITIES,,,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,,,"$15,000-$29,999",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,1.006
30.0,1.0,10.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,18-29,25-29,25-29,25-29,,,,CALL 2,25-29,FEMALE,GORE,,SATISFIED WITH CANDS,WILL FALL,WORLD AFFAIRS,STANDS UP FOR BELIEFS,,APPROVE,GORE,BOTH ABOUT THE SAME,NOT IMPORTANT AT ALL,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,YES,NO,,,,,NO,NO,,0.9480000000000001
