BUSHUNFR,VETVOTER,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,TIME,NONPVOTE,CLINTON,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,MCRRIGHT,VERSION,ONLYDEMS,ONLYREPS,REALWIN,GORE,BRADLEY,BCPERSON,BEATDEM,GAY,SENCA,PROP22,HISPANIC,QRACE,REL5,REGCA,NOVCHOIC,WEIGHT
YES,,5.0,2.0,1.0,FIRST CALL,50-59,BLACK,MALE,THIS YEAR,BUSH,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,INDEPENDENT,,,YES,"$100,000 OR MORE",YES,YES,MODERATE,MODERATE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,BAY AREA,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,,,,BUSH,OMITS,,BUSH,NEITHER,YES,,YELLOW,WOULD NOT VOTE,BUSH,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,SATISFIED,0.803
YES,NO,5.0,2.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,,BRADLEY,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,COLLEGE GRADUATE,NONE,,"$30,000-$49,000",,YES,VERY LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,BAY AREA,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,YES,FEINSTEIN,YES,NO,WHITE,NONE,DEMOCRAT,,0.681
YES,,5.0,2.0,3.0,SECOND CALL,40-44,WHITE,FEMALE,WITHIN LAST 3 DAYS,BRADLEY,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,,INDEPENDENT,,,NO,"$15,000-$29,000",NO,YES,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,BRADLEY,WOULD NOT VOTE,AMONG ALL VOTERS,,,UNFAVORABLE,,YES,,,NO,WHITE,,DEMOCRAT,SATISFIED,0.6970000000000001
OMITS,,5.0,2.0,4.0,SECOND CALL,30-39,WHITE,FEMALE,TODAY,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,DEMOCRAT,,,OMITS,"$15,000-$29,000",OMITS,OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,30-44,30-39,DEMOCRAT,30-39,30-39,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,AMONG ALL VOTERS,,,FAVORABLE,,YES,,,NO,WHITE,,DEMOCRAT,SATISFIED,0.799
NO,,5.0,2.0,5.0,SECOND CALL,50-59,WHITE,FEMALE,TODAY,BRADLEY,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,DEMOCRAT,,,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,45-59,50-59,DEMOCRAT,50-64,50-64,,,,GORE,GORE,,MCCAIN,NEITHER,YES,,YELLOW,BRADLEY,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,SATISFIED,0.6970000000000001
YES,,5.0,2.0,6.0,SECOND CALL,75+,WHITE,MALE,BEFORE THAT,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,DEMOCRAT,,,NO,"$30,000-$49,000",NO,NO,MODERATE,MODERATE,65+,75+,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,60+,60+,DEMOCRAT,65+,75+,,,,GORE,GORE,,MCCAIN,NEITHER,YES,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,SATISFIED,1.29
OMITS,,5.0,2.0,7.0,SECOND CALL,30-39,HISPANIC/LATINO,FEMALE,WITHIN LAST WEEK,MCCAIN,APPROVE,OMITS,,,,BETTER,,NO,SOMETHING ELSE,,,OMITS,"$50,000-$74,999",OMITS,OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,OMITS,,,FAVORABLE,,YES,,,YES,HISPANIC/LATINO,,OTHER,SATISFIED,0.753
NO,,5.0,2.0,8.0,SECOND CALL,50-59,BLACK,MALE,THIS YEAR,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,YES,DEMOCRAT,,,NO,"$75,000-$99,999",NO,NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,45-59,50-59,DEMOCRAT,50-64,50-64,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,BUSH,AMONG PARTY REGISTERED VOTERS,,,UNFAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,SATISFIED,0.855
YES,,5.0,2.0,9.0,SECOND CALL,75+,BLACK,FEMALE,BEFORE THAT,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,BETTER,,YES,DEMOCRAT,,,YES,"$75,000-$99,999",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,60+,60+,DEMOCRAT,65+,75+,,,,GORE,GORE,,NEITHER,BOTH,YES,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,SATISFIED,1.167
YES,,5.0,2.0,10.0,SECOND CALL,65-74,BLACK,,THIS YEAR,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,DEMOCRAT,,,OMITS,"$15,000-$29,000",OMITS,NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,OMITS,STATE,COMPLETED,BAY AREA,60+,60+,DEMOCRAT,65+,65-74,,,,GORE,GORE,,MCCAIN,OMITS,YES,,YELLOW,GORE,WOULD NOT VOTE,AMONG ALL VOTERS,,,FAVORABLE,,YES,,,NO,BLACK,,DEMOCRAT,SATISFIED,1.2710000000000001
