QTYPE,VETERAN,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,ISSUE,QUALITY,PARTYID,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,CAUCUS,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,DEBATES,INTERNET,WEIGHT
STATE,YES,16.0,203.0,1.0,SECOND CALL,75+,MALE,BUSH,NO,MORAL VALUES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,YES,EAST,60+,60+,REPUBLICAN,65+,75+,NO,,2.978
STATE,YES,16.0,203.0,2.0,SECOND CALL,75+,FEMALE,BUSH,NO,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"UNDER $30,000",MODERATE,MODERATE,65+,75+,YES,EAST,60+,60+,REPUBLICAN,65+,75+,YES,NO,2.978
STATE,YES,16.0,203.0,3.0,SECOND CALL,75+,FEMALE,BUSH,YES,OMITS,STRONG LEADER,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,YES,EAST,60+,60+,REPUBLICAN,65+,75+,NO,YES,2.978
STATE,YES,16.0,203.0,4.0,SECOND CALL,65-74,FEMALE,BUSH,YES,SOCIAL SECURITY/MEDICARE,CARES ABOUT AVERAGE AMERICAN,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,2.978
STATE,NO,16.0,203.0,5.0,SECOND CALL,50-59,FEMALE,FORBES,NO,TAXES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,,YES,2.187
STATE,NO,16.0,203.0,6.0,SECOND CALL,50-59,MALE,FORBES,NO,TAXES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,NO,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,YES,YES,2.187
STATE,YES,16.0,203.0,7.0,SECOND CALL,65-74,MALE,FORBES,NO,TAXES,UNDERSTANDS COMPLEX ISSUE,INDEPENDENT,"$50,000-$74,999",MODERATE,MODERATE,65+,18-74,YES,EAST,60+,60+,INDEPENDENT/OTHER,65+,65-74,YES,NO,2.187
STATE,YES,16.0,203.0,8.0,SECOND CALL,60-64,FEMALE,FORBES,YES,SOCIAL SECURITY/MEDICARE,OMITS,INDEPENDENT,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,EAST,60+,60+,INDEPENDENT/OTHER,50-64,50-64,YES,NO,2.187
STATE,YES,16.0,203.0,9.0,SECOND CALL,65-74,MALE,BUSH,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,NO,EAST,60+,60+,REPUBLICAN,65+,65-74,YES,NO,2.978
STATE,YES,16.0,203.0,10.0,SECOND CALL,65-74,FEMALE,BUSH,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,2.978
STATE,YES,16.0,203.0,11.0,SECOND CALL,60-64,FEMALE,KEYES,NO,ABORTION,UNDERSTANDS COMPLEX ISSUE,INDEPENDENT,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,NO,EAST,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NO,YES,2.369
STATE,NO,16.0,207.0,1.0,FIRST CALL,25-29,MALE,BUSH,NO,TAXES,OMITS,STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,18-29,25-29,REPUBLICAN,25-29,25-29,,YES,5.119
STATE,NO,16.0,207.0,2.0,FIRST CALL,40-44,MALE,BUSH,NO,EDUCATION,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,30-44,40-49,REPUBLICAN,40-49,40-49,NO,YES,5.119
STATE,NO,16.0,207.0,3.0,FIRST CALL,40-44,MALE,KEYES,NO,MORAL VALUES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,30-44,40-49,REPUBLICAN,40-49,40-49,NO,YES,5.3340000000000005
STATE,NO,16.0,207.0,4.0,FIRST CALL,40-44,MALE,KEYES,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,30-44,40-49,REPUBLICAN,40-49,40-49,NO,YES,5.3340000000000005
STATE,NO,16.0,207.0,5.0,FIRST CALL,50-59,MALE,KEYES,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,5.3340000000000005
STATE,NO,16.0,207.0,6.0,FIRST CALL,30-39,MALE,FORBES,NO,EDUCATION,OMITS,NOT STRONG REPUBLICAN,"$30,000-$49,999",MODERATE,MODERATE,18-64,18-74,YES,EAST,30-44,30-39,REPUBLICAN,30-39,30-39,NO,NO,5.048
STATE,YES,16.0,209.0,1.0,SECOND CALL,18-24,MALE,KEYES,NO,MORAL VALUES,STANDS UP FOR BELIEFS,NOT STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,18-29,18-24,REPUBLICAN,18-24,18-24,YES,YES,1.371
STATE,NO,16.0,209.0,2.0,SECOND CALL,18-24,MALE,MCCAIN,NO,MORAL VALUES,STANDS UP FOR BELIEFS,INDEPENDENT,"UNDER $30,000",MODERATE,MODERATE,18-64,18-74,NO,EAST,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,NO,YES,1.292
STATE,YES,16.0,209.0,3.0,SECOND CALL,30-39,MALE,BUSH,YES,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,NOT STRONG REPUBLICAN,"UNDER $30,000",MODERATE,MODERATE,18-64,18-74,YES,EAST,30-44,30-39,REPUBLICAN,30-39,30-39,,YES,1.722
STATE,NO,16.0,209.0,4.0,SECOND CALL,50-59,FEMALE,BUSH,NO,MORAL VALUES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,1.722
STATE,YES,16.0,209.0,5.0,SECOND CALL,18-24,,MCCAIN,NO,OMITS,STANDS UP FOR BELIEFS,DEMOCRAT,"UNDER $30,000",MODERATE,MODERATE,18-64,18-74,YES,EAST,18-29,18-24,DEMOCRAT,18-24,18-24,YES,YES,1.292
STATE,YES,16.0,209.0,6.0,SECOND CALL,60-64,MALE,BUSH,YES,MORAL VALUES,UNDERSTANDS COMPLEX ISSUE,DEMOCRAT,,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,EAST,60+,60+,DEMOCRAT,50-64,50-64,,YES,1.722
STATE,NO,16.0,209.0,7.0,SECOND CALL,60-64,,BUSH,YES,OMITS,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,60+,60+,REPUBLICAN,50-64,50-64,NO,YES,1.722
STATE,YES,16.0,209.0,8.0,SECOND CALL,60-64,FEMALE,BUSH,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,60+,60+,REPUBLICAN,50-64,50-64,NO,YES,1.722
STATE,YES,16.0,209.0,9.0,SECOND CALL,60-64,MALE,KEYES,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,60+,60+,REPUBLICAN,50-64,50-64,,YES,1.371
STATE,YES,16.0,209.0,10.0,SECOND CALL,18-24,MALE,MCCAIN,NO,WORLD AFFAIRS,STRONG LEADER,INDEPENDENT,"UNDER $30,000",MODERATE,MODERATE,18-64,18-74,NO,EAST,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,,YES,1.292
STATE,YES,16.0,209.0,11.0,SECOND CALL,18-24,MALE,BUSH,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,18-29,18-24,REPUBLICAN,18-24,18-24,,YES,1.722
STATE,NO,16.0,209.0,12.0,SECOND CALL,40-44,MALE,FORBES,NO,MORAL VALUES,CARES ABOUT AVERAGE AMERICAN,INDEPENDENT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,NO,YES,1.2650000000000001
STATE,NO,16.0,209.0,13.0,SECOND CALL,18-24,FEMALE,KEYES,NO,MORAL VALUES,STANDS UP FOR BELIEFS,NOT STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,18-29,18-24,REPUBLICAN,18-24,18-24,YES,YES,1.371
STATE,YES,16.0,209.0,14.0,SECOND CALL,50-59,MALE,BAUER,YES,ABORTION,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,,NO,1.93
STATE,NO,16.0,209.0,15.0,SECOND CALL,18-24,MALE,KEYES,NO,TAXES,STANDS UP FOR BELIEFS,DEMOCRAT,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,NO,EAST,18-29,18-24,DEMOCRAT,18-24,18-24,NO,YES,1.371
STATE,YES,16.0,209.0,16.0,SECOND CALL,65-74,,BUSH,NO,MORAL VALUES,STRONG LEADER,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,1.722
STATE,NO,16.0,209.0,17.0,SECOND CALL,45-49,FEMALE,BAUER,OMITS,MORAL VALUES,HAS THE RIGHT EXPERIENCE,INDEPENDENT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NO,YES,1.93
STATE,NO,16.0,209.0,18.0,SECOND CALL,50-59,FEMALE,FORBES,NO,TAXES,STANDS UP FOR BELIEFS,DEMOCRAT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,45-59,50-59,DEMOCRAT,50-64,50-64,NO,YES,1.2650000000000001
STATE,YES,16.0,209.0,19.0,SECOND CALL,65-74,MALE,BUSH,NO,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,INDEPENDENT,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,INDEPENDENT/OTHER,65+,65-74,NO,YES,1.722
STATE,NO,16.0,209.0,20.0,SECOND CALL,30-39,MALE,KEYES,YES,ABORTION,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,30-44,30-39,REPUBLICAN,30-39,30-39,,YES,1.371
STATE,NO,16.0,209.0,21.0,SECOND CALL,18-24,MALE,KEYES,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,18-29,18-24,REPUBLICAN,18-24,18-24,NO,YES,1.371
STATE,NO,16.0,209.0,22.0,SECOND CALL,30-39,MALE,BUSH,NO,EDUCATION,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,30-44,30-39,REPUBLICAN,30-39,30-39,YES,YES,1.722
STATE,NO,16.0,209.0,23.0,SECOND CALL,30-39,FEMALE,BUSH,NO,EDUCATION,UNDERSTANDS COMPLEX ISSUE,INDEPENDENT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NO,YES,1.722
STATE,NO,16.0,209.0,24.0,SECOND CALL,40-44,FEMALE,BAUER,YES,MORAL VALUES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,30-44,40-49,REPUBLICAN,40-49,40-49,NO,YES,1.93
STATE,YES,16.0,209.0,25.0,SECOND CALL,65-74,,KEYES,YES,MORAL VALUES,UNDERSTANDS COMPLEX ISSUE,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,NO,YES,1.371
STATE,YES,16.0,209.0,26.0,SECOND CALL,60-64,MALE,FORBES,NO,TAXES,CARES ABOUT AVERAGE AMERICAN,NOT STRONG REPUBLICAN,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,NO,EAST,60+,60+,REPUBLICAN,50-64,50-64,NO,NO,1.2650000000000001
STATE,NO,16.0,209.0,27.0,SECOND CALL,45-49,MALE,MCCAIN,NO,CAMPAIGN FINANCE REFORM,CARES ABOUT AVERAGE AMERICAN,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,45-59,40-49,REPUBLICAN,40-49,40-49,NO,YES,1.292
STATE,YES,16.0,209.0,28.0,SECOND CALL,18-24,MALE,BUSH,YES,MORAL VALUES,CAN WIN IN NOVEMBER,NOT STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,18-29,18-24,REPUBLICAN,18-24,18-24,,YES,1.722
STATE,NO,16.0,209.0,29.0,SECOND CALL,50-59,MALE,MCCAIN,NO,MORAL VALUES,STANDS UP FOR BELIEFS,INDEPENDENT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,YES,EAST,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,,NO,1.292
STATE,NO,16.0,209.0,30.0,SECOND CALL,18-24,MALE,MCCAIN,YES,EDUCATION,HAS THE RIGHT EXPERIENCE,NOT STRONG REPUBLICAN,,MODERATE,MODERATE,18-64,18-74,NO,EAST,18-29,18-24,REPUBLICAN,18-24,18-24,,YES,1.292
STATE,NO,16.0,209.0,31.0,SECOND CALL,40-44,FEMALE,KEYES,YES,MORAL VALUES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,30-44,40-49,REPUBLICAN,40-49,40-49,NO,YES,1.371
STATE,YES,16.0,209.0,32.0,SECOND CALL,25-29,,MCCAIN,NO,WORLD AFFAIRS,UNDERSTANDS COMPLEX ISSUE,NOT STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,EAST,18-29,25-29,REPUBLICAN,25-29,25-29,YES,YES,1.292
STATE,YES,16.0,209.0,33.0,SECOND CALL,30-39,MALE,BAUER,YES,ABORTION,REPRESENTS CONSERVATIVE VALUES,INDEPENDENT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NO,YES,1.93
STATE,NO,16.0,209.0,34.0,SECOND CALL,50-59,MALE,BAUER,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,1.93
STATE,NO,16.0,209.0,35.0,SECOND CALL,25-29,MALE,FORBES,NO,TAXES,UNDERSTANDS COMPLEX ISSUE,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,18-29,25-29,REPUBLICAN,25-29,25-29,NO,NO,1.2650000000000001
STATE,NO,16.0,209.0,36.0,SECOND CALL,65-74,MALE,BUSH,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,YES,NO,1.722
STATE,YES,16.0,209.0,37.0,SECOND CALL,50-59,MALE,BUSH,NO,MORAL VALUES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,1.722
STATE,NO,16.0,209.0,38.0,SECOND CALL,18-24,FEMALE,FORBES,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,EAST,18-29,18-24,REPUBLICAN,18-24,18-24,NO,NO,1.2650000000000001
STATE,NO,16.0,209.0,39.0,SECOND CALL,18-24,MALE,MCCAIN,NO,EDUCATION,HAS THE RIGHT EXPERIENCE,INDEPENDENT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,NO,EAST,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,,YES,1.292
STATE,YES,16.0,209.0,40.0,SECOND CALL,60-64,,FORBES,NO,TAXES,STRONG LEADER,INDEPENDENT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NO,NO,1.2650000000000001
STATE,NO,16.0,209.0,41.0,SECOND CALL,45-49,FEMALE,MCCAIN,YES,WORLD AFFAIRS,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,YES,EAST,45-59,40-49,REPUBLICAN,40-49,40-49,,YES,1.292
STATE,NO,16.0,209.0,42.0,SECOND CALL,45-49,MALE,FORBES,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,NOT STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,45-59,40-49,REPUBLICAN,40-49,40-49,NO,NO,1.2650000000000001
STATE,YES,16.0,209.0,43.0,SECOND CALL,50-59,FEMALE,BUSH,YES,MORAL VALUES,UNDERSTANDS COMPLEX ISSUE,INDEPENDENT,"$30,000-$49,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NO,YES,1.722
STATE,YES,16.0,214.0,1.0,SECOND CALL,50-59,FEMALE,BUSH,NO,TAXES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,YES,NO,0.988
STATE,YES,16.0,214.0,2.0,SECOND CALL,65-74,MALE,FORBES,YES,OMITS,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$30,000-$49,999",MODERATE,MODERATE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,,NO,0.725
STATE,NO,16.0,214.0,3.0,SECOND CALL,65-74,FEMALE,BAUER,YES,ABORTION,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,,YES,1.108
STATE,NO,16.0,214.0,4.0,SECOND CALL,65-74,,BAUER,YES,ABORTION,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,,YES,1.108
STATE,NO,16.0,214.0,5.0,SECOND CALL,18-24,FEMALE,BUSH,NO,EDUCATION,STANDS UP FOR BELIEFS,NOT STRONG REPUBLICAN,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,NO,EAST,18-29,18-24,REPUBLICAN,18-24,18-24,NO,YES,0.988
STATE,NO,16.0,214.0,6.0,SECOND CALL,40-44,MALE,BAUER,YES,MORAL VALUES,STANDS UP FOR BELIEFS,INDEPENDENT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,NO,YES,1.108
STATE,NO,16.0,214.0,7.0,SECOND CALL,45-49,FEMALE,BUSH,NO,EDUCATION,STRONG LEADER,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,45-59,40-49,REPUBLICAN,40-49,40-49,,YES,0.988
STATE,YES,16.0,214.0,8.0,SECOND CALL,65-74,MALE,FORBES,YES,MORAL VALUES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,NO,EAST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,0.725
STATE,YES,16.0,214.0,9.0,SECOND CALL,65-74,MALE,BUSH,OMITS,MORAL VALUES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,EAST,60+,60+,REPUBLICAN,65+,65-74,YES,YES,0.988
STATE,NO,16.0,214.0,10.0,SECOND CALL,30-39,FEMALE,BAUER,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,EAST,30-44,30-39,REPUBLICAN,30-39,30-39,NO,NO,1.108
STATE,NO,16.0,214.0,11.0,SECOND CALL,30-39,MALE,BAUER,YES,ABORTION,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,30-44,30-39,REPUBLICAN,30-39,30-39,YES,YES,1.108
STATE,YES,16.0,214.0,12.0,SECOND CALL,75+,MALE,FORBES,YES,TAXES,REPRESENTS CONSERVATIVE VALUES,INDEPENDENT,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,NO,EAST,60+,60+,INDEPENDENT/OTHER,65+,75+,NO,NO,0.725
STATE,NO,16.0,214.0,13.0,SECOND CALL,50-59,FEMALE,BAUER,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,YES,NO,1.108
