BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,MCCONSRV,SSMARRY,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,SSPART,BEATDEM,REL5,WEIGHT
NOT COMPLETED,GREEN MOUNTAINS,46.0,2.0,1.0,SECOND CALL,65-74,,KEYES,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,ONLY REPUBLICANS,BUSH,OMITS,OMITS,NO,OMITS,YES,OMITS,YES,,NO,OMITS,,2.574
COMPLETED,GREEN MOUNTAINS,46.0,2.0,2.0,SECOND CALL,50-59,,BUSH,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,GORE,NOT CONSERVATIVE ENOUGH,NO,BUSH,YES,BOTH,YES,NO,NO,BUSH,CATHOLIC,3.055
COMPLETED,GREEN MOUNTAINS,46.0,2.0,3.0,SECOND CALL,50-59,MALE,BUSH,TODAY,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,GORE,TOO CONSERVATIVE,YES,BUSH,YES,NEITHER,YES,YES,YES,BUSH,CATHOLIC,3.1990000000000003
COMPLETED,GREEN MOUNTAINS,46.0,2.0,4.0,SECOND CALL,65-74,FEMALE,MCCAIN,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,,HIGH SCHOOL GRADUATE,CATHOLIC,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,,65+,65-74,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,BOTH,YES,NO,NO,BUSH,CATHOLIC,2.886
COMPLETED,GREEN MOUNTAINS,46.0,2.0,5.0,SECOND CALL,50-59,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,OMITS,NO,MCCAIN,NO,OMITS,YES,NO,NO,BUSH,CATHOLIC,2.77
COMPLETED,GREEN MOUNTAINS,46.0,2.0,6.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,NONE,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,OMITS,MCCAIN,NO,BOTH,YES,YES,YES,MCCAIN,NONE,2.9010000000000002
COMPLETED,GREEN MOUNTAINS,46.0,2.0,7.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,EDUCATION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,NO,MCCAIN,YES,MCCAIN,YES,NO,NO,MCCAIN,CATHOLIC,2.9010000000000002
COMPLETED,GREEN MOUNTAINS,46.0,2.0,8.0,SECOND CALL,65-74,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,NEITHER,YES,YES,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,3.023
COMPLETED,GREEN MOUNTAINS,46.0,2.0,9.0,SECOND CALL,65-74,,MCCAIN,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,YES,YES,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,3.023
COMPLETED,GREEN MOUNTAINS,46.0,2.0,10.0,SECOND CALL,45-49,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,YES,MCCAIN,YES,NO,NO,MCCAIN,CATHOLIC,2.9010000000000002
NOT COMPLETED,GREEN MOUNTAINS,46.0,2.0,11.0,SECOND CALL,65-74,,MCCAIN,BEFORE THAT,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,ALL VOTERS,OMITS,MCCAIN,OMITS,NO,OMITS,NO,OMITS,YES,,NO,OMITS,,2.886
COMPLETED,GREEN MOUNTAINS,46.0,2.0,12.0,SECOND CALL,45-49,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,JEWISH,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,GORE,TOO CONSERVATIVE,NO,MCCAIN,NO,NEITHER,YES,NO,YES,MCCAIN,JEWISH,2.9010000000000002
COMPLETED,GREEN MOUNTAINS,46.0,2.0,13.0,SECOND CALL,75+,MALE,MCCAIN,TODAY,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,NO,BOTH,OMITS,NEITHER,YES,YES,OMITS,OMITS,PROTESTANT/OTHER CHRISTIAN,3.023
COMPLETED,GREEN MOUNTAINS,46.0,2.0,14.0,SECOND CALL,50-59,FEMALE,MCCAIN,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,MCCAIN,YES,NO,NO,MCCAIN,CATHOLIC,2.77
COMPLETED,GREEN MOUNTAINS,46.0,2.0,15.0,THIRD CALL,18-24,MALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,SOMETHING ELSE,HIGH SCHOOL GRADUATE,NONE,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,NO,NO,YES,MCCAIN,NONE,3.382
COMPLETED,GREEN MOUNTAINS,46.0,2.0,16.0,THIRD CALL,75+,FEMALE,MCCAIN,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,OMITS,OMITS,NO,MCCAIN,NO,MCCAIN,YES,NO,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,2.886
COMPLETED,GREEN MOUNTAINS,46.0,2.0,17.0,THIRD CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,SOMETHING ELSE,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,NO,YES,YES,MCCAIN,SOMETHING ELSE,2.9010000000000002
COMPLETED,GREEN MOUNTAINS,46.0,2.0,18.0,THIRD CALL,50-59,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,SOMETHING ELSE,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,GORE,GORE,TOO CONSERVATIVE,YES,MCCAIN,NO,MCCAIN,YES,YES,YES,MCCAIN,SOMETHING ELSE,2.9010000000000002
COMPLETED,GREEN MOUNTAINS,46.0,2.0,19.0,THIRD CALL,50-59,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,JEWISH,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,NO,NO,YES,MCCAIN,JEWISH,2.9010000000000002
